N	2gram	Bakhtin_Fr	Komedia
1	и в	73	77
2	и не	13	47
3	iv в	1	45
4	в том	13	44
5	том что	8	42
6	о том	13	33
7	едва ли	1	32
8	но и	15	32
9	может быть	5	30
10	из них	6	29
11	таким образом	34	29
12	в то	14	28
13	и его	18	28
14	в этом	21	27
15	потому что	9	27
16	что он	8	26
17	к тому	2	26
18	тому же	1	25
19	не только	11	25
20	вместе с	9	25
21	так как	9	24
22	как и	19	23
23	ни в	7	23
24	в доме	2	23
25	что в	14	23
26	в самом	9	22
27	что и	6	22
28	то же	16	21
29	в конце	9	21
30	так и	13	21
31	а в	10	21
32	в его	18	20
33	к этому	5	19
34	во время	12	19
35	по адресу	3	19
36	в этой	18	18
37	тем что	8	17
38	же время	12	17
39	в нем	18	17
40	и здесь	5	17
41	в комедиях	1	17
42	еще не	3	17
43	при этом	5	16
44	все же	2	16
45	у него	13	16
46	сих пор	3	16
47	до нас	10	16
48	он не	4	16
49	действующих лиц	2	16
50	и сам	2	16
51	до сих	3	16
52	тот же	3	16
53	не в	12	15
54	в своем	13	15
55	точки зрения	6	15
56	его в	3	15
57	в которой	3	15
58	между тем	2	15
59	один из	5	15
60	и на	12	15
61	было бы	5	15
62	прежде всего	18	15
63	этой комедии	1	15
64	и с	17	14
65	к нему	7	14
66	в свою	3	14
67	все это	19	14
68	об этом	2	14
69	самом деле	4	13
70	о чем	2	13
71	в них	14	13
72	в одном	5	13
73	того же	7	13
74	как раз	3	13
75	мы можем	1	13
76	в двух	1	13
77	так что	2	13
78	то что	12	13
79	того чтобы	2	13
80	но в	12	13
81	в котором	4	12
82	так же	11	12
83	с другой	3	12
84	несмотря на	3	12
85	хотя и	5	12
86	в качестве	11	12
87	как это	2	12
88	комедии и	1	12
89	из которых	2	12
90	как в	9	12
91	уже в	9	12
92	в истории	3	12
93	не по	1	12
94	нового времени	5	12
95	в начале	4	12
96	не может	4	12
97	но не	1	12
98	и даже	4	11
99	с тем	2	11
100	по отношению	3	11
101	наряду с	1	11
102	что его	2	11
103	с ним	6	11
104	то время	1	11
105	должны были	1	11
106	речь идет	1	11
107	как мы	19	11
108	на этот	1	11
109	и для	8	11
110	в их	5	11
111	в частности	2	11
112	одного из	3	11
113	с этим	4	10
114	он был	7	10
115	свою очередь	3	10
116	на него	2	10
117	с одной	3	10
118	к себе	3	10
119	в чем	3	10
120	как бы	15	10
121	и что	5	10
122	в отношении	6	10
123	и все	19	10
124	на основании	1	10
125	одной из	5	10
126	с его	5	10
127	ничего не	4	10
128	мы не	2	10
129	г и	1	10
130	на его	1	10
131	тем более	1	10
132	что касается	1	10
133	еще в	4	10
134	отношение к	3	10
135	же в	2	10
136	в целом	1	10
137	все что	5	9
138	но все	5	9
139	в своей	4	9
140	одной стороны	3	9
141	и еще	2	9
142	время как	1	9
143	только в	7	9
144	в тех	1	9
145	и по	4	9
146	из его	1	9
147	комедии с	1	9
148	в образе	6	9
149	того как	7	9
150	а также	8	9
151	вовсе не	11	9
152	отличие от	1	9
153	в ней	10	9
154	и особенно	3	9
155	отношению к	3	9
156	у аристофана	1	8
157	с этой	4	8
158	а затем	1	8
159	другой стороны	2	8
160	то это	1	8
161	по поводу	1	8
162	что у	3	8
