N	3gram	Propp_Russ	OGranits
1	с точки зрения	3	5
2	не может быть	1	4
3	по отношению к	1	3
4	в том что	27	2
5	ничего общего с	1	2
6	не что иное	3	2
7	и наконец в	1	2
8	в данном случае	7	2
9	но так как	1	2
10	что иное как	3	2
11	с одной стороны	1	2
12	и один из	1	1
13	на самом деле	1	1
14	и связанных с	1	1
15	и как бы	1	1
16	том основании что	1	1
17	иметь в виду	2	1
18	но может быть	1	1
19	на том основании	1	1
20	подобно тому как	3	1
21	ничего общего не	2	1
22	в одном ряду	1	1
23	так же как	5	1
24	на то что	2	1
25	для того чтобы	6	1
26	только потому что	1	1
27	том что в	7	1
28	можно говорить о	1	1
29	но тем не	2	1
30	с одним из	1	1
31	не только на	3	1
32	что в основе	1	1
33	в собственном смысле	1	1
34	что в этом	2	1
35	только одно из	1	1
36	тех случаях когда	2	1
37	в другом месте	1	1
38	в отличие от	4	1
39	с г в	2	1
40	и в некоторых	2	1
41	как и в	1	1
42	в связи с	4	1
43	то что в	1	1
44	к тому что	4	1
45	на эту связь	1	1
46	тем не менее	3	1
47	несмотря на все	1	1
48	эту точку зрения	1	1
49	в этом отношении	1	1
50	общего не имеет	1	1
51	более или менее	1	1
52	в виду что	2	1
53	в течение всего	1	1
54	можно было бы	2	1
55	мы не можем	5	1
56	в тех случаях	2	1
57	состоит в том	16	1
58	потому что они	1	1
59	может быть и	3	1
