N	4gram	Losev_Prob	Istorich
1	в то время как	2	13
2	не что иное как	5	11
3	во всех этих случаях	1	11
4	так же как и	1	9
5	как мы увидим ниже	2	7
6	но тем не менее	1	6
7	и т д все	1	6
8	до сих пор мы	3	5
9	и т д и	4	5
10	есть не что иное	5	5
11	то это значит что	2	4
12	и т д здесь	1	4
13	мы до сих пор	1	4
14	и тем не менее	8	4
15	как мы видели выше	1	3
16	один и тот же	1	3
17	с одной стороны и	2	3
18	точно так же и	3	3
19	внимание на то что	2	3
20	только в связи с	1	3
21	о том что в	1	3
22	не только то что	1	2
23	как один из видов	1	2
24	уже с самого начала	2	2
25	одной и той же	1	2
26	все больше и больше	1	2
27	сколько бы мы ни	1	2
28	вернее будет сказать что	1	2
29	одно и то же	1	2
30	мы здесь не будем	2	2
31	речь может идти только	1	2
32	даже если бы мы	1	2
33	о том как он	1	2
34	всех этих случаях мы	1	2
35	на самом же деле	1	2
36	это не значит что	1	2
37	не сам по себе	1	2
38	дело в том что	3	2
39	указывает на то что	3	2
40	и т д это	1	2
41	и не может быть	1	2
42	но мы еще не	1	2
43	мы еще не знаем	1	2
44	в том числе и	2	2
45	может идти только о	1	2
46	но в таком случае	7	2
47	сих пор мы рассматривали	1	2
48	с представлением о смерти	1	2
49	мы уже видели что	1	2
50	вовсе не есть нечто	1	1
51	отличаются друг от друга	1	1
52	является не чем иным	1	1
53	вопрос о том что	1	1
54	во всяком случае не	1	1
55	еще ничего не говорит	1	1
56	с другой стороны однако	2	1
57	при ближайшем рассмотрении оказывается	1	1
58	всегда так или иначе	1	1
59	в том что в	1	1
60	может быть только тогда	1	1
61	необходимо иметь в виду	1	1
62	по этому поводу необходимо	1	1
63	с нашей точки зрения	1	1
64	что здесь кроется нечто	1	1
65	тем не менее если	1	1
66	в связи с этим	2	1
67	а не потому что	1	1
68	он содержит в себе	1	1
69	и в других случаях	1	1
70	для нас прежде всего	1	1
71	свидетельствует о том что	3	1
72	если один и тот	1	1
73	ничем не отличается от	1	1
74	заключается в том что	2	1
75	мысль о том что	2	1
76	тем не менее они	1	1
77	в связи с ее	1	1
78	речь идет только о	1	1
79	мы ничего не знаем	1	1
80	о том что такое	1	1
81	несмотря на то что	1	1
82	в таких случаях в	1	1
83	же в этих случаях	1	1
84	то же самое и	1	1
85	об этом ничего не	1	1
86	быть только тогда когда	1	1
87	в том случае когда	1	1
88	т д все это	1	1
89	а может быть даже	1	1
90	но как только мы	1	1
91	обратить внимание еще на	1	1
92	не имеют ничего общего	4	1
93	прийти к выводу что	1	1
94	иметь в виду то	1	1
95	один из них не	1	1
96	ничего не говорит о	1	1
97	мы имеем дело не	1	1
98	он не может быть	1	1
99	весьма близко подходит к	1	1
100	можно ли сказать что	3	1
101	говоря уже о том	1	1
102	все дело в том	1	1
103	так как он его	1	1
104	уже о том что	1	1
105	тем не менее он	2	1
106	а тем самым и	1	1
107	не говоря уже о	5	1
108	к тому или иному	1	1
109	а на самом деле	1	1
110	не чем иным как	2	1
111	ни один из них	1	1
112	т д и т	3	1
113	имеют ничего общего с	1	1
114	с тем что в	1	1
115	только с одним условием	1	1
116	ближайшем рассмотрении оказывается что	1	1
117	до сих пор говорили	1	1
118	они все еще не	1	1
119	ни в каких доказательствах	1	1
120	бы обратить внимание еще	1	1
121	д и т д	2	1
122	имеем дело не с	1	1
123	хотелось бы обратить внимание	1	1
124	и с другой стороны	1	1
125	что же это за	1	1
