N	3gram	Trubetskoy	Vvedenie
1	для того чтобы	6	22
2	в том что	7	15
3	о том что	2	13
4	не может быть	4	10
5	тем не менее	1	9
6	до сих пор	5	7
7	в применении к	1	6
8	в самом деле	1	6
9	не трудно видеть	1	6
10	в то же	10	6
11	в этом случае	3	6
12	то же время	10	6
13	в том чтобы	1	5
14	на этот вопрос	1	5
15	во всяком случае	6	5
16	трудно видеть что	1	5
17	вопрос о том	1	5
18	и в том	2	4
19	по отношению к	1	4
20	по крайней мере	1	4
21	с точки зрения	9	4
22	можно было бы	3	4
23	в данном случае	3	4
24	но все же	1	4
25	в этом отношении	1	4
26	и в этом	1	4
27	той или иной	3	3
28	вместе с тем	3	3
29	чтобы понять что	2	3
30	заключается в том	1	3
31	дело в том	1	3
32	но в то	1	3
33	тех или иных	1	3
34	и то что	3	3
35	то же самое	1	3
36	сама по себе	2	3
37	в том виде	1	3
38	в свою очередь	1	2
39	мы уже знаем	1	2
40	в значительной мере	2	2
41	не могут не	2	2
42	только в том	2	2
43	состоит в том	1	2
44	данной национальной культуры	1	2
45	а между тем	5	2
46	смысле этого слова	1	2
47	в конце концов	3	2
48	точно так же	2	2
49	всяком случае не	1	2
50	и того же	1	2
51	представить себе что	1	2
52	в связи с	1	2
53	в другом месте	1	2
54	одного и того	1	2
55	народов и в	1	2
56	лишь в том	2	1
57	так чтобы в	1	1
58	от этого не	1	1
59	том виде как	1	1
60	в том же	1	1
61	может оказаться для	1	1
62	может быть назван	1	1
63	о котором мы	1	1
64	которая как мы	1	1
65	и те кто	1	1
66	одной из этих	1	1
67	от того что	1	1
68	конкретно представить себе	1	1
69	есть только один	1	1
70	на самом деле	6	1
71	лишь к тому	1	1
72	но ведь в	1	1
73	что не только	1	1
74	тот факт что	2	1
75	не может ли	1	1
76	как видно из	1	1
77	в том числе	1	1
78	все что может	2	1
79	говорить о том	1	1
80	только в этом	1	1
81	смотреть как на	1	1
82	более или менее	4	1
83	в лучшем случае	3	1
84	это есть та	1	1
85	того или иного	2	1
86	его можно было	1	1
87	с идеями национального	1	1
88	потому что и	1	1
89	так смотрят на	1	1
90	совершенно ясно что	1	1
91	вся эта работа	2	1
92	в настоящее время	2	1
93	ее отношения к	1	1
94	могут не быть	1	1
95	о котором идет	2	1
96	течение очень долгого	1	1
97	нечего и говорить	1	1
98	так же как	1	1
99	беспристрастном взгляде на	1	1
100	во многих случаях	1	1
101	и прежде всего	1	1
102	но не к	1	1
103	было бы обозначить	1	1
104	у разных народов	1	1
105	а в том	1	1
106	с самого начала	1	1
107	чтобы сделать эти	1	1
108	то ни было	1	1
109	также и то	1	1
110	идет речь не	1	1
111	не может не	3	1
112	себя между прочим	1	1
113	и вопрос о	1	1
114	в нем все	1	1
115	но и обратно	1	1
116	заключает в себе	1	1
117	в течение очень	1	1
118	же время в	1	1
119	к тому что	2	1
120	ни к какому	1	1
121	только то что	1	1
122	и это особенно	1	1
123	это то же	1	1
124	при беспристрастном взгляде	1	1
125	бы то ни	4	1
126	русского языка и	1	1
127	между прочим и	1	1
128	в начале этой	1	1
129	жизни данного народа	1	1
130	из которых каждый	2	1
131	в значительной степени	1	1
132	прежде всего в	1	1
133	данном случае и	1	1
134	потому что они	1	1
