N	3gram	Voloshinov	Vvedenie
1	для того чтобы	1	22
2	в том что	1	15
3	о том что	2	13
4	не может быть	3	10
5	в этом смысле	3	10
6	до сих пор	3	7
7	в применении к	1	6
8	в самом деле	2	6
9	не что иное	1	5
10	что иное как	1	5
11	во всяком случае	3	5
12	по крайней мере	3	4
13	с точки зрения	6	4
14	по сравнению с	3	4
15	на вопрос о	1	4
16	можно было бы	1	4
17	в данном случае	1	4
18	с одной стороны	1	4
19	в этом отношении	1	4
20	и в этом	2	4
21	той или иной	1	3
22	вместе с тем	1	3
23	в свое время	1	3
24	можно сказать что	3	3
25	дело в том	1	3
26	то же самое	1	3
27	что может быть	1	3
28	мы уже знаем	1	2
29	но вместе с	1	2
30	обратим внимание на	1	2
31	этой точки зрения	1	2
32	с этой точки	1	2
33	вообще не может	1	2
34	всяком случае не	1	2
35	и того же	1	2
36	подобно тому как	1	2
37	не могут быть	2	2
38	в связи с	1	2
39	одного и того	1	2
40	все эти разнородные	1	1
41	увидим что оно	1	1
42	все то что	2	1
43	из всего сказанного	1	1
44	в известных пределах	1	1
45	как мы знаем	1	1
46	в том смысле	1	1
47	как это было	1	1
48	на самом деле	4	1
49	его отношение к	1	1
50	как один из	1	1
51	для нашего времени	1	1
52	говорить о том	1	1
53	связи с этим	1	1
54	в следующем в	1	1
55	может быть только	1	1
56	каждое из этих	1	1
57	все же в	1	1
58	на этом пути	1	1
59	в них и	1	1
60	но в общем	2	1
61	то что можно	1	1
62	во всех его	2	1
63	прежде всего к	1	1
64	со стороны формы	1	1
65	самом деле есть	1	1
66	нечего и говорить	2	1
67	так же как	2	1
68	а потому и	2	1
69	имеем в виду	1	1
70	во многих случаях	1	1
71	и прежде всего	1	1
72	мы имеем в	1	1
73	этом смысле они	1	1
74	с самого начала	4	1
75	то ни было	1	1
76	она может быть	1	1
77	и говорить о	1	1
78	да притом еще	1	1
79	бы то ни	1	1
80	было до сих	1	1
81	только в одном	1	1
82	имеем дело с	1	1
83	же самое и	1	1
