N	3gram	Tiupa_Hudo	OGranits
1	с точки зрения	5	5
2	не может быть	5	4
3	по отношению к	15	3
4	автора героя и	2	2
5	в том что	15	2
6	не чем иным	1	2
7	ничего общего с	1	2
8	того или иного	4	2
9	в полном соответствии	1	2
10	в данном случае	3	2
11	полном соответствии с	1	2
12	чем иным как	1	2
13	в самом деле	5	2
14	в г в	1	2
15	с одной стороны	4	2
16	с другой стороны	1	2
17	с самого начала	1	2
18	чтение про себя	1	1
19	в узком смысле	1	1
20	в этот момент	1	1
21	на самом деле	1	1
22	в науке о	1	1
23	в течение всей	1	1
24	как это обычно	1	1
25	которым можно было	2	1
26	сказал что они	1	1
27	но в то	3	1
28	человека и его	1	1
29	между тем как	1	1
30	подобно тому как	4	1
31	в конечном счете	4	1
32	по себе а	1	1
33	если говорить о	2	1
34	или иного конкретного	1	1
35	так же как	2	1
36	на то что	2	1
37	для того чтобы	2	1
38	только потому что	2	1
39	том что в	4	1
40	но тем не	2	1
41	а не как	1	1
42	не только на	1	1
43	тому что он	4	1
44	то или иное	1	1
45	в отличие от	1	1
46	даже для себя	1	1
47	этой точки зрения	1	1
48	узком смысле слова	1	1
49	ту или иную	2	1
50	как и в	5	1
51	в связи с	3	1
52	то же самое	3	1
53	своего рождения и	1	1
54	к тому что	8	1
55	та или иная	4	1
56	что ведь и	1	1
57	тем не менее	6	1
58	нет и не	1	1
59	что же такое	1	1
60	в этом отношении	4	1
61	отношению к другим	1	1
62	то же время	11	1
63	более или менее	1	1
64	в то же	11	1
65	но и его	1	1
66	прежде всего в	1	1
67	с этой точки	1	1
68	можно было бы	5	1
69	никоим образом не	1	1
70	состоит в том	3	1
71	а также и	1	1
72	является не чем	1	1
