N	2gram	Nazirov_Tr	PoTuStor
1	может быть	7	17
2	и в	18	16
3	таким образом	1	9
4	в этом	9	9
5	прежде всего	4	9
6	совершенно не	1	8
7	и с	7	8
8	не может	5	8
9	и его	6	8
10	не только	8	7
11	с его	2	7
12	при этом	3	6
13	для него	3	6
14	самом деле	1	6
15	я и	1	6
16	и это	2	6
17	ни в	2	5
18	все эти	3	5
19	в чем	1	5
20	еще не	4	5
21	как бы	7	5
22	ту сторону	1	5
23	отношение к	2	5
24	нуждается в	1	5
25	и на	7	4
26	все это	4	4
27	в его	3	4
28	так и	5	4
29	его в	2	4
30	и даже	4	4
31	и все	4	4
32	с ними	1	4
33	только в	1	4
34	и не	7	4
35	но мы	1	4
36	с самого	1	4
37	но и	4	4
38	хотя бы	1	4
39	и их	1	4
40	самого начала	1	4
41	в этой	4	4
42	как мы	1	4
43	отнюдь не	3	4
44	в нем	4	4
45	с ее	3	4
46	и ее	2	4
47	и наконец	1	4
48	но в	6	4
49	и вот	1	3
50	если б	2	3
51	ребенка и	2	3
52	в основном	3	3
53	к себе	1	3
54	в том	2	3
55	и как	3	3
56	что в	4	3
57	и она	1	3
58	том что	4	3
59	вместе с	1	3
60	на этом	1	3
61	сравнению с	1	3
62	матери и	1	3
63	во всех	1	3
64	с сознанием	1	3
65	во всяком	1	3
66	и потому	1	3
67	и притом	1	3
68	по сравнению	1	3
69	и теперь	1	3
70	как это	3	3
71	только на	1	3
72	в одном	2	3
73	даже не	1	3
74	то что	4	3
75	на две	1	3
76	и др	1	3
77	могут быть	1	3
78	и есть	1	3
79	в общем	1	3
80	в области	1	3
81	всяком случае	1	3
82	в самом	2	2
83	мы видим	1	2
84	что оно	1	2
85	почти не	1	2
86	ненависть к	2	2
87	с этой	1	2
88	что это	5	2
89	для нас	1	2
90	но как	1	2
91	что и	2	2
92	быть может	1	2
93	у него	6	2
94	не могут	2	2
95	в душе	2	2
96	в них	1	2
97	а на	1	2
98	что не	1	2
99	вообще не	1	2
100	из тех	1	2
101	является по	1	2
102	как и	5	2
103	что он	6	2
104	есть в	1	2
105	похожим на	1	2
106	не есть	1	2
107	в переводе	1	2
108	в своей	1	2
109	не менее	1	2
110	во сне	2	2
111	на них	1	2
112	между собой	1	2
113	ту же	1	2
114	он не	2	2
115	в развитии	1	2
116	с помощью	1	2
117	в частности	2	2
118	есть и	1	2
119	за пределы	1	2
120	так же	4	2
121	к ним	1	2
122	и о	1	2
123	что на	1	2
124	о том	2	2
125	в голову	1	2
126	всю жизнь	1	2
127	один из	3	2
128	и по	1	2
129	с ним	3	2
130	но это	4	2
131	то же	5	2
132	за счет	1	2
133	шутки и	1	2
134	никогда не	2	2
135	для самого	1	1
136	к сожалению	1	1
137	протест против	1	1
138	с яркой	1	1
139	во всем	1	1
140	по мнению	2	1
141	от нее	1	1
142	так ли	1	1
143	и то	2	1
144	не нашел	1	1
145	с последним	1	1
146	в центре	1	1
147	и здесь	2	1
148	для ребенка	1	1
149	ницше или	1	1
150	в ребенке	1	1
151	статье мы	1	1
152	данном случае	2	1
153	на неудачу	1	1
154	в момент	1	1
155	она как	2	1
156	только что	1	1
157	на вопрос	1	1
158	желание в	1	1
159	главное для	1	1
160	с одной	1	1
161	уже в	3	1
162	мог бы	3	1
163	дело с	1	1
164	в применении	1	1
165	любовь к	1	1
166	это и	1	1
167	несмотря на	5	1
168	на работу	1	1
169	психика не	1	1
170	его за	2	1
171	это часто	1	1
172	а это	1	1
173	с тем	2	1
174	что при	1	1
175	только не	1	1
176	думается нам	1	1
177	говорит о	2	1
178	б я	1	1
179	о нем	1	1
180	в году	9	1
181	и всегда	1	1
182	из предшествующего	1	1
183	в человеке	1	1
184	политические идеи	1	1
185	в виду	1	1
186	я не	4	1
187	в русском	2	1
188	можно было	1	1
189	власти и	1	1
190	разу не	1	1
191	борьбу с	1	1
192	связи с	1	1
193	на этот	1	1
194	столь же	2	1
195	и сам	3	1
196	он пуст	1	1
197	но эта	2	1
198	это мы	1	1
199	но не	1	1
200	и эта	1	1
201	как его	1	1
202	все события	1	1
203	развития в	1	1
204	в эпоху	1	1
205	ужас и	1	1
206	в конце	3	1
207	в связи	1	1
208	очень важный	1	1
209	было до	1	1
210	страха и	1	1
211	душу и	1	1
212	в мире	3	1
213	все же	5	1
214	при таком	1	1
215	жизни в	1	1
216	на все	1	1
217	не имеет	2	1
218	и могут	1	1
219	и жизнь	1	1
220	этой борьбе	1	1
221	века в	1	1
222	это было	1	1
223	в душу	1	1
224	роль в	1	1
225	который до	1	1
226	но если	1	1
227	но особенно	2	1
228	уже не	2	1
229	к тому	2	1
230	это самое	1	1
231	всем его	1	1
232	не был	2	1
233	что эти	2	1
234	сам же	1	1
235	ко всему	1	1
236	он был	2	1
237	в данном	2	1
238	вопрос о	2	1
239	применении к	1	1
240	и т.д	1	1
241	то и	2	1
242	черты инфантильной	1	1
243	она не	1	1
244	противоположном конце	1	1
245	того чтобы	1	1
246	в другом	1	1
247	в каких	1	1
248	быть не	1	1
249	в ней	1	1
250	с совершенно	1	1
251	что судьба	1	1
252	в отношениях	1	1
253	мы узнаем	1	1
254	значение и	1	1
255	перенес в	1	1
256	своего происхождения	1	1
257	в образах	1	1
258	а не	1	1
259	значение для	1	1
260	и что	4	1
261	как он	1	1
262	отказ от	1	1
263	конечно в	1	1
264	еще в	2	1
265	на другой	1	1
266	и посвящена	1	1
267	ни разу	1	1
268	она хочет	1	1
269	чего же	1	1
270	это может	1	1
271	человека и	1	1
272	говорили что	1	1
273	отметить что	1	1
274	на всю	1	1
275	это же	1	1
276	последнее слово	1	1
277	лишь в	1	1
278	известной степени	1	1
279	я в	1	1
280	и еще	1	1
281	в точности	1	1
282	жизнь как	1	1
283	как некое	1	1
284	ее не	1	1
285	году в	2	1
286	той же	1	1
287	в самую	2	1
288	но несмотря	1	1
289	о его	2	1
290	этот маленький	2	1
291	именно так	1	1
292	часто и	1	1
293	что я	4	1
294	в высшей	1	1
295	с этими	1	1
296	на противоположном	1	1
297	в известной	2	1
298	первый объект	1	1
299	с которым	1	1
300	все время	1	1
301	в духе	1	1
302	что она	2	1
303	одна из	2	1
304	с сыном	1	1
305	году и	1	1
306	в период	1	1
307	право на	1	1
308	по поводу	2	1
309	для достижения	1	1
310	человек не	1	1
311	это в	1	1
312	это уже	2	1
313	к ее	1	1
314	не случайно	2	1
315	и особенно	1	1
316	ничего не	2	1
317	на путях	1	1
318	намек на	1	1
319	к нему	3	1
320	это желание	1	1
321	высшей степени	1	1
