N	3gram	Bakhtin_Fr	Sotsiolo
1	по отношению к	2	2
2	в том что	6	2
3	в конце концов	1	2
4	и в то	2	1
5	в то же	5	1
6	друг от друга	1	1
7	а между тем	1	1
8	ни на что	2	1
9	выходит за пределы	4	1
10	с одной стороны	2	1
11	в связи с	1	1
12	на первый план	1	1
13	чуть ли не	1	1
14	все это по	1	1
15	главным образом в	1	1
16	то же время	5	1
17	только то что	1	1
18	бы они ни	1	1
19	в наше время	1	1
20	нашей работы в	1	1
21	это вовсе не	1	1
22	во всяком случае	2	1
23	очень далеки от	1	1
24	именно в том	1	1
25	в настоящее время	1	1
