N	2gram	Trubetskoy	Morfolog
1	может быть	10	61
2	и пр	1	45
3	таким образом	22	26
4	могут быть	1	21
5	так как	9	20
6	мы имеем	2	19
7	не может	4	19
8	в этом	15	18
9	в этих	4	17
10	представляет собой	3	17
11	и в	26	17
12	представляют собой	1	16
13	и не	8	16
14	мы видим	1	15
15	с этим	1	14
16	прежде всего	2	14
17	по существу	2	13
18	видим что	1	12
19	при помощи	1	12
20	связи с	9	12
21	а не	5	11
22	заметить что	1	11
23	чаще всего	1	11
24	что в	9	10
25	то же	4	10
26	не всегда	2	10
27	но если	2	10
28	в том	11	10
29	так и	6	10
30	что и	6	10
31	в связи	3	10
32	то что	7	10
33	все же	6	9
34	с другой	8	9
35	но и	9	9
36	не только	10	8
37	в результате	3	8
38	имеем в	1	8
39	мы не	1	8
40	в качестве	3	8
41	но не	8	8
42	а в	4	8
43	во втором	1	7
44	один из	2	7
45	и здесь	2	7
46	если в	3	7
47	не могут	2	7
48	не менее	3	7
49	том что	7	7
50	потому что	7	7
51	по отношению	1	7
52	точки зрения	13	7
53	тем не	3	7
54	а также	2	7
55	отношению к	3	7
56	и другие	3	6
57	о том	6	6
58	большей частью	3	6
59	как бы	12	6
60	но это	1	6
61	это не	1	6
62	с точки	6	6
63	в образе	2	6
64	в нашем	1	6
65	и как	3	6
66	во всех	2	6
67	во время	4	6
68	из которых	4	5
69	другой стороны	1	5
70	в первом	1	5
71	вслед за	2	5
72	начинается с	1	5
73	что он	4	5
74	как в	1	5
75	хотя бы	3	5
76	было бы	1	5
77	к тому	6	5
78	ничего не	1	5
79	что они	1	5
80	два раза	1	5
81	прежде чем	1	5
82	учение о	4	5
83	ясно что	3	5
84	все эти	6	5
85	между собой	1	5
86	на его	1	5
87	в других	3	5
88	там где	1	5
89	мы можем	2	5
90	между тем	2	5
91	он не	4	5
92	далеко не	4	5
93	главным образом	8	5
94	и ее	1	5
95	и к	5	4
96	смысле слова	1	4
97	на этом	1	4
98	как и	1	4
99	самом деле	1	4
100	но все	7	4
101	тем что	1	4
102	никто не	1	4
103	уже не	3	4
104	еще не	2	4
105	не является	1	4
106	входит в	1	4
107	того чтобы	5	4
108	на пути	2	4
109	так же	5	4
110	сказать что	2	4
111	и для	5	4
112	из них	7	4
113	но в	7	4
114	к началу	1	4
115	несмотря на	6	4
116	его в	1	4
117	что его	1	4
118	случае не	3	4
119	к этому	3	4
120	в то	4	4
121	сказки не	1	4
122	мы уже	1	4
123	этот вопрос	1	4
124	о его	1	4
125	утверждать что	2	3
126	то время	1	3
127	та же	1	3
128	только что	2	3
129	сказки в	1	3
130	с этой	3	3
131	и при	3	3
132	что это	3	3
133	это уже	1	3
134	в сущности	1	3
135	ни в	1	3
136	этого момента	1	3
137	связывается с	3	3
138	то с	3	3
139	с собой	1	3
140	только в	4	3
141	время как	1	3
142	из двух	1	3
143	можно назвать	2	3
144	и другим	1	3
145	состоит из	1	3
146	первом случае	1	3
147	некоторые из	2	3
148	не существует	1	3
149	и что	4	3
150	рассматриваться как	1	3
151	связана с	2	3
152	для того	5	3
153	и тогда	4	3
154	целый ряд	4	3
155	состоит в	2	3
156	настоящее время	1	3
157	так например	2	3
158	же она	1	3
159	здесь не	1	3
160	с его	2	3
161	кроме того	1	3
162	в настоящее	1	3
163	с того	2	3
164	он должен	1	3
165	к нему	7	3
166	бы то	2	3
167	то в	1	3
168	что эти	3	3
169	они не	1	3
170	благодаря этому	2	3
171	сам он	1	3
172	обращаются с	1	3
173	а и	1	3
174	того что	3	3
175	что такое	1	3
176	у нас	1	3
177	это и	1	3
178	и есть	1	3
179	в ином	1	3
180	в виде	4	3
181	к чему	1	3
182	но для	1	3
183	это было	1	3
184	и у	8	3
185	и отсюда	1	3
186	то ни	2	3
187	совсем не	1	3
188	если бы	3	3
189	друг друга	1	3
190	мы должны	6	3
191	не в	2	3
192	в которой	3	3
193	а по	1	3
194	и их	1	3
195	в начале	2	3
196	в этой	4	3
197	вступают в	1	3
198	приводит к	2	3
199	же в	1	3
200	на то	2	3
201	и его	1	3
202	и по	4	3
203	и только	4	3
204	не так	1	2
205	а потому	1	2
206	к другу	2	2
207	сделать из	1	2
208	и этот	1	2
209	друг к	1	2
210	живое существо	1	2
211	если он	1	2
212	из таких	1	2
213	или по	2	2
214	не с	2	2
215	происходит с	1	2
216	лишь на	1	2
217	и тот	1	2
218	в своих	1	2
219	более или	5	2
220	с этого	1	2
221	образом если	2	2
222	в россии	2	2
223	с тем	18	2
224	многих других	1	2
225	их в	1	2
226	вряд ли	1	2
227	в которых	4	2
228	только для	2	2
229	не имеет	5	2
230	роль в	1	2
231	в каком	1	2
232	во всяком	6	2
233	можно сказать	3	2
234	того как	1	2
235	в данном	1	2
236	и более	1	2
237	что мы	2	2
238	в очень	1	2
239	чему не	1	2
240	одной стороны	7	2
241	на друга	2	2
242	том как	1	2
243	и больше	2	2
244	точно так	3	2
245	в одном	3	2
246	превращается в	2	2
247	тогда как	1	2
248	так называемых	1	2
249	в глаза	1	2
250	друг на	2	2
251	или вообще	1	2
252	без всякого	1	2
