N	3gram	Berdyaev_M	KFilosof
1	по отношению к	4	22
2	не может быть	22	11
3	с точки зрения	1	10
4	мир в котором	1	7
5	не проникает в	1	5
6	отношению к нему	1	4
7	ни в чем	2	4
8	в чем не	2	4
9	это не есть	1	3
10	не было бы	5	3
11	на самом деле	1	3
12	есть лишь момент	3	3
13	между тем как	2	3
14	во всех своих	1	3
15	в нем и	1	3
16	и в этом	1	3
17	и не быть	1	2
18	в том что	3	2
19	бы он ни	1	2
20	и для него	2	2
21	он ни был	1	2
22	из себя в	1	2
23	имеем в виду	1	2
24	бы и не	1	2
25	и та же	2	2
26	а не из	1	2
27	во всех этих	1	2
28	одна и та	2	2
29	а не в	4	2
30	и в нем	3	2
31	себя и для	1	1
32	ничего не остается	1	1
33	в этот момент	1	1
34	сих пор не	1	1
35	мог бы быть	1	1
36	лежит в основе	1	1
37	том смысле в	1	1
38	это не значит	2	1
39	вместе с тем	5	1
40	он любит и	1	1
41	для него и	2	1
42	в себе в	1	1
43	во всяком случае	1	1
44	а не к	2	1
45	человека и человеческого	1	1
46	с разных точек	1	1
47	на то что	1	1
48	он должен быть	1	1
49	и потому только	1	1
50	и кажется что	1	1
51	не только от	1	1
52	в том смысле	2	1
53	на том что	1	1
54	и менее всего	2	1
55	и землю и	1	1
56	во всех его	1	1
57	как момент в	1	1
58	потому только что	1	1
59	хотя бы и	2	1
60	не знает границ	1	1
61	в том случае	1	1
62	он не может	2	1
63	к нему подхода	1	1
64	для себя и	1	1
65	а следовательно и	1	1
66	для того чтобы	4	1
67	все это лишь	1	1
68	не значит что	1	1
69	когда мы говорим	1	1
70	не в том	1	1
71	потому что в	4	1
72	в этом смысл	2	1
73	только в этом	1	1
74	в своей истории	1	1
75	к которой мы	1	1
76	себя в своем	2	1
77	не единство а	1	1
78	не есть для	1	1
79	не выходит из	1	1
80	и по отношению	1	1
81	до сих пор	5	1
82	не потому что	1	1
83	и не должно	1	1
84	смысле этого слова	1	1
85	люди а не	1	1
86	в нем нет	1	1
87	уже не только	2	1
88	все человеческое для	1	1
89	он за тобой	1	1
90	не имеет смысла	1	1
91	если он не	1	1
92	в нем не	2	1
93	к которой он	1	1
94	но и от	1	1
95	в движении в	2	1
96	в зависимости от	1	1
97	но не в	1	1
98	в котором не	1	1
99	не может не	2	1
100	друг для друга	2	1
101	никогда не может	2	1
102	к тому что	1	1
103	ее уже нет	1	1
104	не имеет для	1	1
105	на этом пути	4	1
106	никогда не было	2	1
107	только тогда когда	1	1
108	это и есть	7	1
109	но это не	3	1
110	это-то и есть	1	1
111	в значительной степени	2	1
112	что и в	3	1
113	но не было	1	1
114	до конца и	1	1
115	нет и не	1	1
116	на своем я	1	1
117	и все человеческое	1	1
118	будет ли она	1	1
119	и не знает	1	1
120	себе в своем	1	1
121	в иной мир	2	1
122	если бы не	1	1
123	может быть и	2	1
