N	3gram	Vinokur_Vv	Hudozhes
1	по отношению к	4	10
2	в том что	15	8
3	в то же	6	7
4	в отличие от	4	7
5	то же время	6	7
6	с другой стороны	5	6
7	более или менее	1	6
8	той или иной	3	5
9	для того чтобы	22	5
10	состоит в том	2	5
11	так или иначе	4	4
12	того или иного	1	4
13	не может быть	10	4
14	мы имеем в	1	3
15	с точки зрения	4	3
16	в этом смысле	10	3
17	имеем в виду	1	3
18	и в самом	3	3
19	в том числе	1	3
20	тем не менее	9	3
21	можно сказать что	3	3
22	и то же	2	3
23	одного и того	2	3
24	одно и то	2	3
25	подобно тому как	2	3
26	и того же	2	3
27	в связи с	2	3
28	с одной стороны	4	3
29	в той или	1	2
30	в свою очередь	2	2
31	бы то ни	1	2
32	и прежде всего	1	2
33	значении этого термина	2	2
34	этой точки зрения	2	2
35	ту или иную	1	2
36	с этой точки	2	2
37	в самом деле	6	2
38	в таком случае	1	2
39	тех или иных	3	2
40	том что он	1	2
41	тем или иным	2	2
42	то ни было	1	2
43	как уже говорилось	1	2
44	сама по себе	3	2
45	к тому что	1	2
46	о полку игореве	1	2
47	в известном смысле	3	2
48	в значительной степени	1	2
49	может быть названо	4	2
50	мы имеем дело	1	2
51	может быть и	2	2
52	точно так же	2	1
53	в тексте не	1	1
54	на вопрос что	1	1
55	мере в какой	6	1
56	в одном и	1	1
57	все то что	1	1
58	может быть назван	1	1
59	и др в	1	1
60	и потому что	2	1
61	и том же	1	1
62	языка на котором	1	1
63	в той мере	6	1
64	в соответствии с	2	1
65	та или иная	1	1
66	на задний план	2	1
67	действительность в ее	3	1
68	заключает в себе	1	1
69	том отношении что	3	1
70	себе отчет в	1	1
71	обратим внимание на	2	1
72	по крайней мере	4	1
73	заключается в том	3	1
74	из этих двух	1	1
75	вопрос что такое	1	1
76	о том что	13	1
77	то или иное	1	1
78	мы говорим о	1	1
79	все что может	1	1
80	то что входит	1	1
81	в свое время	3	1
82	одной стороны и	3	1
83	дело не в	1	1
84	отчет в том	1	1
85	исторического бытия и	1	1
86	какой бы то	1	1
87	а в другом	1	1
88	в реальной действительности	1	1
89	как один из	1	1
90	как видно из	1	1
91	в таких случаях	1	1
92	он мог бы	1	1
93	нами не как	1	1
94	логической точки зрения	1	1
95	на котором он	2	1
96	в этом втором	1	1
97	специфическом значении этого	1	1
98	связи с этим	1	1
99	в этих случаях	2	1
100	в настоящее время	1	1
101	литературы как и	1	1
102	этом втором случае	1	1
103	отношению к нему	1	1
104	именно в этом	3	1
105	в особенности в	1	1
106	именно потому что	1	1
107	не что иное	5	1
108	в самой себе	1	1
109	прежде всего к	1	1
110	но в то	3	1
111	в сравнении с	1	1
112	в лучшем случае	1	1
113	как раз в	1	1
114	в зависимости от	3	1
115	в момент своего	1	1
116	не менее не	1	1
117	по тем или	2	1
118	так же как	1	1
119	в прошлом и	1	1
120	в том или	2	1
121	в этом случае	6	1
122	можно говорить о	3	1
123	а в том	1	1
124	той мере в	6	1
125	каждой из них	2	1
126	есть не что	3	1
127	в данном отношении	2	1
128	не могут быть	2	1
129	в русском языке	1	1
130	в частности в	1	1
131	то же самое	3	1
132	особое отношение к	1	1
133	на время в	1	1
134	языка но и	1	1
135	том или ином	2	1
136	что иное как	5	1
137	еще и потому	1	1
138	в том отношении	3	1
139	только то что	1	1
140	но в силу	1	1
141	на этом пути	1	1
142	в одном случае	1	1
143	из того что	1	1
144	что входит в	1	1
145	одном и том	1	1
146	а не только	1	1
147	имея в виду	1	1
148	в какой их	1	1
149	по содержанию своему	1	1
150	платона и аристотеля	1	1
151	прежде всего в	1	1
152	и в том	4	1
153	имеем дело с	1	1
154	что несмотря на	2	1
155	в чистом виде	1	1
