N	4gram	Trubetskoy	Myslijsy
1	в то же время	10	13
2	одного и того же	1	9
3	а в том что	1	4
4	дело в том что	1	4
5	заключается в том что	1	3
6	и то и другое	1	3
7	и в этом случае	1	3
8	во всяком случае не	1	2
9	в том случае когда	1	2
10	в том случае если	3	2
11	по себе еще не	1	2
12	бы то ни было	1	2
13	только в том случае	2	1
14	что бы то ни	3	1
15	сводится к тому что	1	1
16	и вместе с тем	2	1
17	во что бы то	3	1
18	друг с другом и	2	1
19	смысле этого слова но	1	1
20	что и то и	1	1
21	и в том и	2	1
22	бы то ни стало	3	1
23	точно так же и	1	1
24	до сих пор был	1	1
25	указывает на то что	1	1
26	и не может быть	1	1
27	в себе внутренние противоречия	1	1
28	не подлежит сомнению и	1	1
29	в том что только	1	1
30	это то же самое	1	1
31	в том числе и	1	1
32	но на самом деле	1	1
33	лишь в том случае	2	1
34	то это потому что	2	1
35	то и другое возможно	1	1
36	одну и ту же	1	1
37	на том основании что	1	1
38	точно так же как	1	1
