N	3gram	Berdyaev_N	VLabPisa
1	не может быть	4	8
2	с другой стороны	2	8
3	в том что	1	5
4	в зависимости от	1	5
5	вместе с тем	2	4
6	равно как и	2	4
7	не могут быть	1	4
8	о том что	1	3
9	подобно тому как	3	3
10	та или иная	1	3
11	это и есть	1	3
12	во всяком случае	1	2
13	в том чтобы	1	2
14	в том числе	1	2
15	не в том	1	2
16	до сих пор	1	2
17	том числе и	1	2
18	не только в	1	2
19	с одной стороны	2	2
20	можно было бы	1	2
21	и не может	1	2
22	так же как	2	1
23	в этой системе	1	1
24	как будто бы	1	1
25	по существу своему	1	1
26	но и в	1	1
27	в том смысле	1	1
28	в этом смысле	2	1
29	как это было	1	1
30	но она не	1	1
31	в том случае	1	1
32	то время как	1	1
33	мы говорим о	1	1
34	заключает в себе	1	1
35	то что в	1	1
36	и во всех	1	1
37	не значит что	3	1
38	в то время	1	1
39	и мы не	1	1
40	со всех сторон	3	1
41	сами по себе	1	1
42	творческий процесс в	1	1
43	ни одна из	2	1
44	хотим сказать что	1	1
45	и вместе с	1	1
46	могут быть отнесены	1	1
47	же как и	1	1
48	в существе своем	1	1
49	в новое время	1	1
50	том случае если	1	1
51	лицом к лицу	3	1
52	вопрос о том	2	1
53	о природе и	1	1
