N	3gram	Propp_Isto	Komedia
1	в том что	6	29
2	к тому же	1	21
3	до сих пор	11	16
4	о том что	5	13
5	и т п	1	11
6	для того чтобы	1	11
7	в то время	3	11
8	едва ли не	1	10
9	по отношению к	6	9
10	вместе с тем	7	9
11	с одной стороны	7	9
12	то время как	3	9
13	с другой стороны	7	8
14	так или иначе	1	7
15	бы то ни	2	7
16	то ни было	2	7
17	с самого начала	4	7
18	в отличие от	3	6
19	говоря уже о	1	6
20	в связи с	5	6
21	до тех пор	1	6
22	не говоря уже	1	6
23	после того как	2	6
24	что он не	4	5
25	о том как	2	5
26	то же самое	3	5
27	и т д	35	5
28	за то что	2	5
29	в тех же	1	5
30	в этом отношении	1	5
31	тем не менее	7	5
32	том что он	1	5
33	и тот же	2	4
34	в одном из	1	4
35	что у него	1	4
36	именно потому что	1	4
37	т е в	1	4
38	к тому что	1	4
39	но все же	7	4
40	в это время	2	4
41	можно было бы	5	4
42	обстоит дело с	2	4
43	что и в	1	4
44	то что он	1	3
45	несмотря на всю	1	3
46	друг от друга	1	3
47	более или менее	5	3
48	друг с другом	3	3
49	в соответствии с	1	3
50	в высшей степени	1	3
51	о том чтобы	1	3
52	равно как и	1	3
53	на то что	5	3
54	но и в	4	3
55	может быть даже	1	3
56	один и тот	2	3
57	не мешает ему	1	3
58	в этой связи	1	3
59	в другой раз	1	3
60	таким образом в	1	3
61	наряду с этим	1	3
62	если бы он	1	3
63	ни одно из	1	3
64	одной стороны и	1	2
65	а может быть	2	2
66	как будто бы	2	2
67	в большинстве случаев	4	2
68	в этом смысле	1	2
69	сих пор в	1	2
70	мы не найдем	1	2
71	как он был	1	2
72	мы знаем их	2	2
73	том что она	1	2
74	в первом случае	1	2
75	первых же слов	1	2
76	что он в	1	2
77	в зависимости от	3	2
78	точно так же	8	2
79	как правило в	1	2
80	том что в	1	2
81	не было и	1	2
82	из них не	1	2
83	для этой цели	1	2
84	в тех случаях	1	2
85	но и здесь	1	2
86	но об этом	1	2
87	но столь же	1	2
88	ни одной из	1	2
89	не означает что	2	2
90	в одной из	1	2
91	таким образом и	1	2
92	подобно тому как	3	2
93	ли не самым	1	2
94	так же как	6	2
95	не только в	5	2
96	мы имеем в	4	2
97	в этом случае	3	2
98	аргументом в пользу	1	2
99	тех случаях когда	1	2
100	по его мнению	2	2
101	должны были бы	2	1
102	и что их	1	1
103	начала до конца	1	1
104	ничего не вижу	1	1
105	следует понимать как	1	1
106	но все эти	1	1
107	может быть объяснена	1	1
108	соответствии с этим	2	1
109	они так же	1	1
110	что она не	1	1
111	на столе и	1	1
112	и для этого	1	1
113	но вместе с	1	1
114	он уверен в	1	1
115	никак не может	1	1
116	можем сказать что	1	1
117	не может быть	8	1
118	в самых общих	1	1
119	один из них	1	1
120	населения и прежде	1	1
121	взять на себя	2	1
122	как будут развиваться	1	1
123	они должны были	3	1
124	должно было бы	1	1
125	до наших дней	2	1
126	на вопрос откуда	1	1
127	уходя из дому	1	1
128	и детей из	1	1
129	же и мы	1	1
130	герой тем самым	1	1
131	здесь мы видим	2	1
