N	4gram	Propp_Isto	Narrotol
1	дело в том что	2	3
2	внимание на то что	1	3
3	дело не только в	1	2
4	есть на самом деле	1	2
5	точно так же как	1	2
6	не что иное как	3	1
7	сам по себе а	1	1
8	с одной стороны и	1	1
9	с большей или меньшей	1	1
10	в том что и	1	1
11	бы то ни было	2	1
12	в то время как	3	1
13	начинается с того что	2	1
14	один и тот же	2	1
15	к тому или иному	1	1
16	о том что в	1	1
17	никогда не было и	1	1
18	иметь в виду что	1	1
19	не само по себе	1	1
20	по мере того как	4	1
21	в том что он	1	1
22	не сами по себе	1	1
23	отнюдь не означает что	1	1
24	и тем не менее	2	1
25	какой бы то ни	1	1
26	ответ на этот вопрос	1	1
27	есть не что иное	2	1
