N	2gram	Tiupa_Anal	Tragedij
1	и в	30	18
2	в романе	2	10
3	в этом	31	9
4	в году	1	9
5	не только	30	8
6	и на	10	7
7	и не	33	7
8	может быть	33	7
9	и с	2	7
10	как бы	15	7
11	он сам	1	7
12	что он	3	6
13	у него	5	6
14	ивана петровича	1	6
15	же время	7	6
16	в образе	1	6
17	но в	11	6
18	и его	9	6
19	это не	7	5
20	несмотря на	5	5
21	что это	1	5
22	так и	16	5
23	все же	4	5
24	то же	12	5
25	как и	23	5
26	не может	26	5
27	в то	10	5
28	а я	1	5
29	что в	7	4
30	в себе	17	4
31	и даже	10	4
32	он всегда	1	4
33	все это	2	4
34	прежде всего	8	4
35	и все	5	4
36	я не	2	4
37	об этом	1	4
38	еще не	5	4
39	но и	29	4
40	том что	21	4
41	и что	2	4
42	так же	1	4
43	то что	11	4
44	в этой	12	4
45	что я	1	4
46	в нем	3	4
47	но это	1	4
48	что достоевский	1	4
49	в целом	9	4
50	своего рода	12	3
51	и он	1	3
52	что с	1	3
53	один из	4	3
54	должно быть	2	3
55	уже в	1	3
56	в его	15	3
57	для него	5	3
58	в своем	2	3
59	с ним	6	3
60	о чем	3	3
61	и сам	4	3
62	в конце	4	3
63	эпизод с	1	3
64	и как	6	3
65	в мире	14	3
66	как в	3	3
67	никто не	3	3
68	в поле	4	3
69	то есть	19	3
70	при этом	20	3
71	жизнь и	1	3
72	один в	2	3
73	как это	5	3
74	тем самым	9	3
75	с ее	2	3
76	как будто	6	3
77	отнюдь не	22	3
78	все эти	3	3
79	к нему	4	3
80	о жизни	3	2
81	в самом	12	2
82	не так	3	2
83	и то	4	2
84	в душе	1	2
85	еще раз	1	2
86	и здесь	1	2
87	данном случае	3	2
88	и за	3	2
89	в том	36	2
90	он и	3	2
91	с тем	1	2
92	в ее	2	2
93	для искусства	1	2
94	говорит о	5	2
95	как у	1	2
96	даже если	1	2
97	что и	5	2
98	из своих	2	2
99	ни в	5	2
100	бы и	1	2
101	но при	2	2
102	я все	1	2
103	по словам	1	2
104	что все	2	2
105	не могут	3	2
106	в виде	1	2
