N	2gram	Vinokur_Ku	Istorich
1	и в	44	181
2	и т	62	160
3	т д	21	142
4	т е	54	133
5	может быть	25	115
6	не только	29	114
7	что он	7	111
8	мы имеем	11	102
9	что в	25	90
10	но и	13	85
11	в этом	31	81
12	так как	16	75
13	то что	14	73
14	таким образом	17	72
15	вместе с	8	71
16	и не	23	67
17	все же	17	65
18	в этих	5	64
19	еще не	10	63
20	не может	13	61
21	этих случаях	2	60
22	так же	8	57
23	то же	12	56
24	никогда не	2	56
25	в лес	1	53
26	в том	47	53
27	том что	30	53
28	а в	7	52
29	с другой	14	52
30	потому что	40	52
31	и что	11	51
32	и здесь	8	51
33	что и	5	51
34	мы видели	3	49
35	а не	17	48
36	о том	10	48
37	связь с	1	47
38	его в	1	47
39	не в	18	47
40	другой стороны	12	46
41	превращается в	4	45
42	и пр	23	44
43	мы должны	2	44
44	но в	11	44
45	это не	13	43
46	и его	8	43
47	мы знаем	3	42
48	в нем	7	42
49	только в	15	42
50	показывает что	1	42
51	как в	6	42
52	представление о	3	41
53	или в	5	39
54	тем что	9	38
55	и на	8	38
56	в его	16	38
57	для нас	6	38
58	как и	3	37
59	уже не	13	37
60	мы уже	1	37
61	он не	4	37
62	что здесь	1	37
63	так и	10	37
64	знаем что	3	36
65	мы увидим	3	36
66	мы можем	2	36
67	что они	5	35
68	с тем	5	35
69	мы не	1	35
70	здесь мы	2	35
71	все эти	17	35
72	не всегда	4	34
73	связи с	8	34
74	но не	11	34
75	а именно	4	34
76	у него	3	34
77	что это	11	34
78	же как	3	33
79	там где	7	33
80	об этом	4	33
81	сих пор	5	32
82	в качестве	12	32
83	один из	8	31
84	прежде всего	14	31
85	то это	3	31
86	так в	2	31
87	ничего не	6	31
88	с этим	6	30
89	с одной	3	30
90	до сих	5	30
91	к нему	1	30
92	этом случае	4	29
93	но все	5	29
94	одной стороны	2	29
95	как мы	2	29
96	но это	4	29
97	и другие	1	28
98	что она	5	28
99	и с	11	28
100	например в	5	28
101	здесь можно	2	27
102	так что	5	27
103	могут быть	5	27
104	того что	11	27
105	как он	1	27
106	как это	6	26
107	и др	1	26
108	предположить что	2	26
109	в ней	6	26
110	вопрос о	11	25
111	в дальнейшем	1	25
112	и он	4	25
113	не менее	12	24
114	видно что	2	24
115	к этому	4	24
116	было бы	28	24
117	того как	6	24
118	в виде	1	24
119	если бы	21	24
120	что мы	6	24
121	их в	1	23
122	как бы	11	23
123	точно так	4	23
124	и это	3	23
125	тем не	10	23
126	в этой	8	23
127	имеем в	1	23
128	все это	10	23
129	когда он	4	23
130	в частности	6	23
131	и по	4	22
132	с ним	5	22
133	при этом	6	22
134	в некоторых	1	22
135	связано с	3	21
136	в другом	2	21
137	в одном	4	21
138	сказать что	5	21
139	совершенно ясно	2	21
140	в связи	4	21
141	связан с	2	21
142	должны были	1	21
143	здесь не	5	21
144	к тому	8	21
145	они не	4	21
146	ее в	2	21
147	из них	4	20
148	эти случаи	2	20
149	из этих	5	20
150	она не	1	20
151	наряду с	2	20
152	одна из	1	20
153	в свете	1	20
154	в других	1	20
155	очень часто	2	20
156	в силу	16	20
157	после чего	2	20
158	так например	3	19
159	что у	3	19
160	на том	4	19
161	но он	2	19
162	в тех	4	19
163	есть и	1	19
164	на то	6	19
165	и как	3	19
166	после того	3	19
167	и говорит	2	18
168	в то	4	18
169	что этот	2	18
170	не все	4	18
171	в данном	8	18
172	вовсе не	18	18
173	в них	10	17
174	можно найти	1	17
175	очень много	3	17
176	том как	3	17
177	то и	4	17
178	по существу	9	17
179	дело не	4	17
180	и только	2	17
181	во всех	1	16
182	этот вопрос	7	16
183	возможно что	1	16
184	всех этих	4	16
185	то мы	4	16
186	в котором	4	16
187	и все	4	16
188	со стороны	8	16
189	перед нами	4	16
190	связана с	1	16
191	даже в	4	15
192	в пределах	8	15
193	случаи когда	3	15
194	увидим что	2	15
195	но есть	2	15
196	в особенности	6	15
197	и то	7	15
198	в своей	4	15
199	в которых	8	15
200	данном случае	2	15
201	его и	1	15
202	и там	2	15
203	в одной	1	15
204	и эти	3	15
205	как будто	2	15
206	и даже	5	15
207	на его	3	15
208	и тем	7	15
209	в целом	5	15
210	с этой	4	14
211	по отношению	9	14
212	находится в	2	14
213	можно было	14	14
214	в него	1	14
215	одной из	1	14
216	у нас	19	14
217	должна быть	6	14
218	но они	1	14
219	и есть	3	14
220	из которых	3	14
221	увидим ниже	1	14
222	с того	1	14
223	должен был	1	14
224	а также	3	14
225	отношение к	2	14
226	отношению к	9	14
227	на себя	3	14
228	в своем	4	13
229	по себе	10	13
230	сказки и	1	13
231	после смерти	1	13
232	тогда как	2	13
233	и для	3	13
234	в себе	4	13
235	в таких	7	13
236	все что	1	13
237	своего рода	4	13
238	не просто	7	13
239	и у	3	13
240	на этом	4	13
241	в форме	3	13
242	и от	2	13
243	с ними	6	13
244	не имеет	6	13
245	в книге	1	13
246	к своему	2	13
247	в руки	1	13
248	его не	1	13
249	и если	4	13
250	что иное	2	13
251	таким же	1	13
252	во всем	1	12
253	кроме того	2	12
254	хотя бы	19	12
255	к себе	4	12
256	утверждать что	2	12
257	в основном	1	12
258	ответ на	2	12
259	о нем	2	12
260	в их	3	12
261	на более	3	12
262	к этой	3	12
263	как только	2	12
264	не знает	4	12
265	одним из	2	12
266	что не	10	12
267	между прочим	4	12
268	ни один	1	12
269	чаще всего	2	12
270	в более	2	12
271	случаях когда	2	12
272	не знаю	2	12
273	и их	2	12
274	у нее	1	12
