N	4gram	Tiupa_Disk	StatiiOP
1	дело в том что	3	9
2	в то же время	7	9
3	заключается в том что	1	6
4	говорит о том что	1	5
5	в том что в	3	4
6	не говоря уже о	2	3
7	в том что он	1	3
8	одним и тем же	1	3
9	состоит в том что	2	2
10	в том что и	1	2
11	в том числе и	3	2
12	внимание на то что	1	2
13	и в то же	2	2
14	том что он не	1	2
15	дело не в том	1	2
16	в той или иной	1	2
17	не в том что	1	2
18	именно в том что	1	1
19	обратить внимание на то	1	1
20	мысль о том что	1	1
21	одни и те же	1	1
22	и в том и	1	1
23	нас не дошли но	1	1
24	в одной из двух	1	1
25	не только потому что	1	1
26	в том что не	1	1
27	только в том случае	1	1
28	до нас не дошли	1	1
29	что он не может	1	1
30	можно даже сказать что	1	1
31	следует обратить внимание на	1	1
32	только в том что	1	1
33	не только в том	1	1
34	состоит в том чтобы	1	1
35	одно и то же	2	1
36	но в большинстве случаев	1	1
37	той или иной мере	1	1
38	свидетельствует о том что	1	1
39	с одной стороны он	1	1
40	не дошли но есть	1	1
41	одному и тому же	1	1
42	мы имеем дело с	1	1
