N	4gram	Kanaev_Sov	Psycholo
1	одной и той же	1	12
2	не что иное как	1	6
3	один и тот же	1	5
4	все более и более	1	4
5	то же самое что	1	4
6	одна и та же	1	4
7	то же самое в	1	4
8	в то же время	1	3
9	одни и те же	1	3
10	дело в том что	1	3
11	в такой же мере	1	2
12	до сих пор в	1	2
13	с одной стороны и	1	2
14	бы то ни было	1	2
15	есть не что иное	1	2
16	имеет только один смысл	1	1
17	мы не можем назвать	1	1
18	мы уже знаем что	1	1
19	такой же мере в	1	1
20	друг с другом мы	1	1
21	в том что эта	1	1
22	по самому своему существу	1	1
23	но они не могут	1	1
24	не хотим сказать что	1	1
25	в том случае когда	1	1
26	в каждом отдельном случае	5	1
27	совершенно так же как	1	1
28	значение каждого из них	1	1
29	вовсе не хотим сказать	1	1
30	с точки зрения своего	1	1
31	это то же самое	1	1
32	и не было бы	1	1
33	не только ничего не	1	1
34	в данном случае и	1	1
35	что дело идет о	1	1
36	какой бы то ни	1	1
