N	2gram	Kanaev_Sov	Stilisti
1	и в	7	42
2	как бы	4	30
3	не только	4	28
4	и т.п	1	25
5	прежде всего	5	22
6	и т.д	3	21
7	то же	3	16
8	и не	6	14
9	может быть	12	13
10	не может	17	13
11	как и	6	12
12	мы уже	1	11
13	точки зрения	12	11
14	в этом	7	10
15	в себе	3	10
16	мы должны	4	10
17	как мы	2	10
18	отнюдь не	3	10
19	мы не	9	9
20	при этом	3	9
21	все же	3	9
22	в то	1	9
23	таким образом	11	8
24	так как	4	8
25	и это	1	8
26	в ней	1	8
27	что же	5	8
28	с его	1	8
29	ничего не	6	8
30	мы можем	6	7
31	только в	1	7
32	в которой	2	7
33	зависимости от	4	7
34	и его	1	7
35	же время	1	7
36	было бы	3	7
37	и той	1	7
38	той же	2	7
39	и от	1	7
40	в зависимости	4	7
41	а не	3	7
42	никогда не	1	7
43	во всех	1	6
44	в его	2	6
45	не в	3	6
46	в нем	3	6
47	в конце	3	6
48	в процессе	1	6
49	но ведь	1	6
50	на его	2	6
51	в свою	2	6
52	с помощью	4	6
53	или как	1	6
54	когда мы	3	6
55	в этой	3	6
56	точку зрения	4	6
57	мы будем	1	6
58	или иной	2	6
59	в области	3	6
60	в самом	2	5
61	уже в	3	5
62	и их	1	5
63	с точки	5	5
64	те же	1	5
65	не является	1	5
66	в живом	2	5
67	все время	1	5
68	самом деле	2	5
69	но все	2	5
70	но в	3	5
71	вместе с	4	5
72	и следовательно	1	5
73	а в	4	5
74	же самое	2	5
75	в нашем	2	5
76	же мы	2	5
77	независимо от	1	5
78	и наконец	5	5
79	мы видели	4	5
80	одной и	1	4
81	и к	3	4
82	мы видим	2	4
83	один из	1	4
84	что это	2	4
85	что такое	2	4
86	все это	3	4
87	в одном	3	4
88	его в	1	4
89	если бы	1	4
90	и все	3	4
91	с самого	3	4
92	так сказать	2	4
93	у нас	3	4
94	уже не	2	4
95	о том	1	4
96	той или	1	4
97	самого начала	3	4
98	в каждом	8	4
99	если мы	4	4
100	и пр	2	4
101	заключает в	1	4
102	не что	1	4
103	можно было	1	4
104	свою очередь	2	4
105	на это	1	4
106	так же	1	4
107	в целом	4	4
108	в данной	1	4
109	мы называем	3	4
110	тем же	2	4
111	не знаем	2	4
112	точка зрения	1	4
113	этом случае	1	3
114	видели что	3	3
115	та же	1	3
116	совершенно не	2	3
117	для нас	3	3
118	в том	4	3
119	несмотря на	1	3
120	хотя и	1	3
121	из которых	2	3
122	мы в	1	3
123	на самом	1	3
124	между ними	1	3
125	и само	1	3
126	но что	1	3
127	и развития	1	3
128	в будущем	1	3
129	связи с	1	3
130	и даже	2	3
131	допустим что	1	3
132	но для	1	3
133	может стать	1	3
134	все эти	5	3
135	том что	1	3
136	вследствие этого	1	3
137	роль в	2	3
138	еще не	3	3
139	его и	1	3
140	то он	1	3
141	ведь в	1	3
142	в какой-нибудь	1	3
143	для наших	1	3
144	не знает	1	3
145	только на	1	3
146	в начале	1	3
147	конечно не	1	3
148	ведь если	1	3
149	их в	4	3
150	нет и	4	3
151	не будет	1	3
152	сказать что	1	3
153	жизни и	4	3
154	и эта	1	3
155	и для	1	3
156	это не	4	3
157	из них	4	3
158	он должен	2	3
159	только одна	6	2
160	что иное	1	2
161	и эту	1	2
162	должно быть	1	2
163	увидим что	1	2
164	теперь же	2	2
165	наших целей	1	2
166	выбор и	1	2
167	стадии своего	1	2
168	и при	1	2
169	и потому	3	2
170	мы имеем	1	2
171	еще более	2	2
172	как нет	1	2
173	человек с	1	2
174	с ним	1	2
175	еще мало	2	2
176	кроме того	1	2
177	и все-таки	1	2
178	но как	1	2
179	для них	1	2
180	но это	1	2
181	а на	2	2
182	в своих	1	2
183	не было	1	2
184	в предыдущей	1	2
185	на этот	2	2
186	или в	1	2
187	из двух	3	2
188	к чему	2	2
189	в наших	3	2
190	равно как	1	2
191	но эта	1	2
192	но не	1	2
193	т.е от	1	2
194	в связи	1	2
195	ясно что	3	2
196	эти три	1	2
197	для каждого	1	2
198	в мире	1	2
199	на эту	1	2
200	мы имели	1	2
201	ли он	1	2
202	при которых	1	2
203	чего же	1	2
204	должен быть	1	2
205	но мы	3	2
206	сих пор	1	2
207	и вообще	1	2
208	жизни мы	2	2
209	в дальнейшем	4	2
210	с этим	2	2
211	нуждаются в	1	2
212	к этому	1	2
213	достаточно для	1	2
214	человека в	1	2
215	при условии	1	2
216	социальном общении	1	2
217	между собой	3	2
218	вопрос о	4	2
219	возникновения и	1	2
220	видим что	1	2
221	мы конечно	1	2
222	да еще	1	2
223	из этих	2	2
224	и ни	1	2
225	в какой	1	2
226	одни и	1	2
227	и тогда	1	2
228	что вся	1	2
229	он не	1	2
230	этот процесс	1	2
231	между двумя	1	2
232	по отношению	1	2
233	времени и	2	2
234	и те	1	2
235	этот вопрос	1	2
236	человека и	1	2
237	себе в	1	2
238	развития в	2	2
239	как например	1	2
240	и несколько	1	2
241	тот или	2	2
242	которые в	1	2
243	вовсе не	1	2
244	одной из	1	2
245	тот же	2	2
246	к которому	1	2
247	роль играет	1	2
248	есть не	1	2
249	отношению к	1	2
250	природы и	1	2
251	важную роль	1	2
252	и нет	1	2
253	не из	1	2
254	таким же	1	2
255	иное как	1	2
256	которая и	1	2
257	к нему	1	2
258	что в	2	1
259	лишь там	1	1
260	именно к	1	1
261	дает нам	2	1
262	какого-нибудь явления	1	1
263	и будет	2	1
264	только не	1	1
265	все что	1	1
266	до сих	1	1
267	все его	1	1
268	он уже	1	1
269	еще раз	1	1
270	можно говорить	1	1
271	имеют место	1	1
272	которую играет	1	1
273	оно из	1	1
274	здесь нет	1	1
275	в самый	1	1
276	становится необходимым	1	1
277	если в	1	1
278	через несколько	1	1
279	же этот	1	1
280	его с	1	1
281	но еще	1	1
282	явлений жизни	1	1
283	значительно позже	1	1
284	в социальном	1	1
285	одна и	1	1
286	которых он	1	1
287	из всех	1	1
288	же мере	1	1
289	уже знаем	1	1
290	это уже	1	1
291	тем не	2	1
292	такое же	1	1
293	дело если	1	1
294	до наших	1	1
295	а затем	1	1
296	искать в	1	1
297	поэтому в	1	1
298	и всегда	1	1
299	всего мы	1	1
300	от общего	1	1
301	носят название	1	1
302	остановиться на	1	1
303	громадную роль	1	1
304	для своего	1	1
305	одному и	1	1
306	но каким	1	1
307	из нескольких	1	1
308	ни в	1	1
309	внешней стороне	1	1
310	значит он	1	1
311	в результате	6	1
312	развития мы	2	1
313	представлять себе	2	1
314	положение данного	1	1
315	весь мир	1	1
316	и начало	1	1
317	необходимо для	1	1
318	у него	2	1
319	не могут	2	1
320	все равно	1	1
321	в виде	2	1
322	каждый раз	6	1
323	должен был	1	1
324	в конечном	1	1
325	наконец мы	1	1
326	другая группа	1	1
327	а о	1	1
328	из приведенных	1	1
329	наших дней	1	1
330	все-таки в	1	1
331	что его	1	1
332	ли оно	2	1
333	так называемый	1	1
334	крайней мере	1	1
335	наконец не	2	1
336	теперь мы	1	1
337	мало для	1	1
338	эта схема	1	1
339	же как	1	1
340	по существу	1	1
341	дальнейшем мы	1	1
342	уже совершенно	1	1
343	именно в	1	1
344	и действительно	1	1
345	конечном счете	1	1
346	мы это	1	1
347	при которой	1	1
348	в таком	2	1
349	в нормальных	1	1
350	и именно	2	1
351	всю эту	1	1
352	мы спрашиваем	1	1
353	по себе	1	1
354	этой стадии	2	1
355	себе даже	1	1
356	может не	3	1
357	вполне достаточно	1	1
358	все свои	1	1
359	те явления	1	1
360	своего предмета	2	1
361	именно эта	1	1
362	может ведь	1	1
363	но уже	1	1
364	познакомиться с	1	1
365	из одного	2	1
366	организм из	1	1
367	нет в	1	1
368	по крайней	1	1
369	же обусловлено	1	1
370	которой организм	1	1
371	дома и	1	1
372	нас есть	1	1
373	как угодно	2	1
374	совокупность условий	1	1
375	все они	1	1
376	самый тип	1	1
377	жизнь человека	1	1
378	к одному	1	1
379	в большинстве	1	1
380	не менее	2	1
381	это и	1	1
382	и та	1	1
383	может иметь	2	1
384	одна из	3	1
385	современной нам	1	1
386	зрения и	1	1
387	не допускает	1	1
388	для его	2	1
389	это конечно	1	1
390	бы к	1	1
391	осуществляется в	1	1
392	в действительности	1	1
393	в любом	1	1
394	хотя конечно	1	1
395	на этом	2	1
396	которой он	2	1
397	не имеют	1	1
398	без определенного	1	1
399	раз и	1	1
400	это как	1	1
401	заключать в	1	1
402	указать на	1	1
403	она не	1	1
404	в течение	1	1
405	чтобы он	1	1
406	позволяет ему	1	1
407	и если	1	1
408	в другом	1	1
409	это только	1	1
410	только так	2	1
411	другое дело	1	1
412	когда в	1	1
413	путем и	1	1
414	в развитии	4	1
415	зрения с	1	1
416	только один	2	1
417	и вся	1	1
418	если же	2	1
419	но они	1	1
420	что свои	1	1
421	говорить о	2	1
422	что эта	1	1
423	в первых	1	1
424	за собой	1	1
425	которые им	1	1
426	правда и	1	1
427	от всяких	1	1
428	и что	2	1
429	не будем	2	1
430	как он	3	1
431	она развивается	1	1
432	определенным образом	1	1
433	конечно в	2	1
434	факт что	1	1
435	он в	3	1
436	с общим	2	1
437	и до	1	1
438	ничто не	1	1
439	тот факт	1	1
440	образом если	1	1
441	бы два	1	1
442	конечно нет	1	1
443	с понятием	1	1
444	отметить что	1	1
445	природы но	1	1
446	с человеком	1	1
447	двух частей	1	1
448	а из	1	1
449	всегда будет	1	1
450	так называемых	3	1
451	в жизненной	1	1
452	происходившие в	1	1
453	процессе развития	1	1
454	речи мы	1	1
455	с другой	1	1
456	одного из	1	1
457	на две	3	1
458	состоит из	3	1
459	говорить что	1	1
460	нас на	1	1
461	жизни как	1	1
462	возможность и	2	1
463	и благодаря	1	1
464	и во	2	1
465	не можем	7	1
466	благодаря этому	1	1
467	в основу	1	1
468	происходящего в	1	1
469	быть в	1	1
470	в своем	1	1
471	группа из	1	1
472	и есть	2	1
473	чему мы	1	1
474	во всей	1	1
475	природы не	1	1
476	он может	3	1
477	же в	1	1
478	но если	1	1
479	же делает	1	1
480	оно может	1	1
481	и по	2	1
482	бы ее	1	1
483	там где	1	1
484	является ли	1	1
485	здесь в	1	1
486	просто не	1	1
487	является только	1	1
488	еще в	1	1
489	при исследовании	1	1
490	того же	1	1
491	входящих в	1	1
492	что при	2	1
493	только о	1	1
494	являются чистейшей	1	1
495	в заключение	1	1
496	поэтому мы	3	1
497	без помощи	1	1
