N	3gram	Vygotskiy_	Sotsiolo
1	по отношению к	19	2
2	в том что	33	2
3	в конце концов	2	2
4	в то же	1	1
5	друг от друга	5	1
6	ни на что	1	1
7	с одной стороны	10	1
8	в связи с	6	1
9	их друг от	1	1
10	то же самое	7	1
11	на первый план	2	1
12	чуть ли не	1	1
13	то что в	1	1
14	развития и затем	1	1
15	о том как	3	1
16	в этой области	3	1
17	только то что	2	1
18	сама по себе	4	1
19	благодаря тому что	1	1
20	а с другой	3	1
21	в систему его	1	1
22	во всяком случае	2	1
23	в целом все	1	1
24	все эти вопросы	1	1
25	в том и	1	1
26	не может не	3	1
27	а тем более	1	1
28	в настоящее время	2	1
29	в лучшем случае	3	1
30	не было бы	1	1
31	они ни были	1	1
32	тем более не	1	1
33	он различает два	1	1
