N	4gram	Nazirov_Tv	Vladivir
1	дело в том что	4	11
2	в то же время	18	9
3	письма т ii с	2	6
4	в том что в	3	5
5	и в то же	2	5
6	не что иное как	1	4
7	на самом же деле	1	3
8	а с другой стороны	1	3
9	заключается в том что	1	3
10	бы то ни было	1	2
11	и тем не менее	1	2
12	но в то же	5	2
13	за три года до	1	1
14	в то же самое	1	1
15	в мае года он	1	1
16	нет и не может	1	1
17	по возвращении в петербург	1	1
18	мало чем отличается от	1	1
19	а вместе с тем	1	1
20	то же самое время	1	1
21	в один ряд с	1	1
22	и те и другие	1	1
23	то же время с	1	1
24	и т д в	1	1
25	что у него есть	1	1
26	ни в чем не	1	1
27	в том же году	2	1
28	говорить о том что	1	1
29	так же как и	1	1
30	и не может быть	2	1
