N	4gram	Tiupa_Lite	StatiiOP
1	дело в том что	2	9
2	в то же время	12	9
3	в начале xix века	1	5
4	в том что в	1	4
5	в борисе годунове и	1	3
6	не говоря уже о	2	3
7	не имеет ничего общего	1	3
8	в том что он	1	3
9	имеет ничего общего с	1	3
10	одним и тем же	1	3
11	состоит в том что	6	2
12	до тех пор пока	2	2
13	когда речь идет о	1	2
14	и в то же	1	2
15	но в то же	1	2
16	но с другой стороны	3	2
17	как в наше время	1	2
18	все более и более	1	2
19	бы то ни было	1	2
20	в том что этот	1	2
21	во всяком случае в	1	2
22	именно в том что	1	1
23	не может быть вообще	1	1
24	поскольку речь идет о	2	1
25	с этой точки зрения	3	1
26	только в том что	2	1
27	не только в том	2	1
28	состоит в том чтобы	1	1
29	дело не только в	2	1
30	одно и то же	1	1
31	но в большинстве случаев	1	1
32	пушкина в русской литературе	1	1
33	то же время не	2	1
34	в том же году	3	1
35	но дело в том	1	1
36	он не может быть	1	1
37	приводит к тому что	1	1
38	тем что в ней	1	1
39	мы имеем дело с	1	1
