N	2gram	Tiupa_Vved	IolandNe
1	и с	2	3
2	что в	6	2
3	он не	6	2
4	должен быть	3	2
5	бы что	1	2
6	ничего не	3	2
7	и не	24	2
8	в этом	27	2
9	говорить о	5	1
10	все эти	1	1
11	для того	1	1
12	а в	15	1
13	и о	4	1
14	перед отцом	1	1
15	и со	1	1
16	и та	1	1
17	что для	2	1
18	из мертвого	1	1
19	для него	5	1
20	вплоть до	2	1
21	при такой	1	1
22	тех же	2	1
23	тем что	2	1
24	все тех	1	1
25	не случайно	1	1
26	только что	1	1
27	бы его	1	1
28	от нее	1	1
29	не слишком	1	1
30	того же	1	1
31	нам в	1	1
32	не так	1	1
33	введение в	1	1
34	и др	2	1
35	о жизни	2	1
36	жизни и	8	1
37	с другой	10	1
38	в целом	4	1
39	было не	2	1
40	очевидно что	2	1
41	в эту	1	1
42	нее и	1	1
43	другой стороны	3	1
44	себя в	4	1
45	не разъясняет	1	1
46	могло бы	4	1
47	то и	2	1
48	и еще	1	1
49	если бы	10	1
50	она ничего	1	1
51	отношению к	11	1
52	следующим образом	1	1
53	в художественном	1	1
54	и сам	2	1
55	того что	7	1
56	них не	1	1
57	а с	4	1
58	стало быть	10	1
59	по поводу	5	1
60	и тот	1	1
61	а также	12	1
62	так и	14	1
63	автора и	1	1
64	в основе	6	1
65	в значительной	2	1
66	оказывается для	1	1
67	о ней	4	1
68	того чтобы	2	1
69	и без	1	1
70	а для	2	1
71	бы в	4	1
72	а по	1	1
73	есть только	1	1
74	и в	23	1
75	знакомство с	1	1
76	никогда не	6	1
77	своего исследования	1	1
78	все это	3	1
79	по отношению	11	1
80	со всеми	1	1
81	на котором	1	1
82	как о	2	1
83	то она	1	1
84	в них	4	1
85	во многом	1	1
