N	2gram	Savitsky_E	Poddanst
1	не только	18	17
2	и в	37	14
3	и не	14	12
4	в области	11	11
5	в этом	12	10
6	в отношении	32	10
7	в том	11	9
8	то же	15	9
9	старого света	14	9
10	в качестве	14	9
11	но в	14	9
12	хотя бы	15	8
13	в пределах	25	8
14	только в	9	7
15	же время	14	7
16	в обстановке	1	7
17	с к	1	7
18	в то	16	7
19	в ней	4	6
20	быть может	1	6
21	было бы	8	6
22	но и	14	6
23	в смысле	9	6
24	может быть	6	5
25	отношении к	15	5
26	россии в	4	5
27	с другой	7	5
28	не в	5	5
29	и о	1	5
30	в которых	3	5
31	и к	3	4
32	что в	21	4
33	в котором	2	4
34	гораздо большей	1	4
35	по себе	4	4
36	на путях	4	4
37	тех кто	1	4
38	и если	2	4
39	и потому	5	4
40	но также	2	4
41	мы должны	2	4
42	с т	2	4
43	на пути	1	4
44	европейской культуры	3	4
45	не может	9	4
46	в гораздо	2	4
47	а в	2	4
48	то что	6	4
49	революция есть	1	4
50	как бы	6	4
51	если бы	2	4
52	а также	7	4
53	россии и	3	4
54	в своем	14	4
55	же в	2	4
56	русская революция	2	4
57	том что	6	4
58	большей степени	1	4
59	наряду с	2	3
60	в себе	9	3
61	северной америке	3	3
62	что мы	1	3
63	с одной	8	3
64	мы не	4	3
65	одной стороны	8	3
66	для того	6	3
67	между тем	8	3
68	с точки	17	3
69	хотя и	2	3
70	т е	9	3
71	с тем	3	3
72	потому что	3	3
73	она есть	1	3
74	прежде всего	9	3
75	вслед за	6	3
76	россия в	11	3
77	пред лицом	1	3
78	сводится к	1	3
79	тем самым	5	3
80	в россии	5	3
81	заключается в	2	3
82	но не	5	3
83	могут быть	2	3
84	и т	1	3
85	и как	2	3
86	с ними	1	3
87	столь же	5	3
88	в порядке	2	3
89	россии как	3	3
90	в нем	1	3
91	тот же	1	3
92	точки зрения	23	3
93	с этим	2	2
94	во всех	6	2
95	в сочетании	1	2
96	в перспективе	4	2
97	российского мира	3	2
98	сказывается в	2	2
99	одних и	1	2
100	америке и	1	2
101	является в	1	2
102	и это	1	2
103	и других	2	2
104	в полной	4	2
105	осуществляется в	1	2
106	и мы	3	2
107	которую мы	5	2
108	в европе	1	2
109	если в	2	2
110	xix век	1	2
111	более чем	2	2
112	хозяйства и	2	2
113	время в	3	2
114	в значительной	2	2
115	от европы	1	2
116	том числе	1	2
117	еще более	2	2
118	по сравнению	2	2
119	эта идея	1	2
120	для тех	1	2
121	в ее	8	2
122	и тем	3	2
123	того что	7	2
124	образ россии	1	2
125	в частности	5	2
126	н с	11	2
127	в его	2	2
128	не о	1	2
129	а не	2	2
130	для нас	4	2
131	в которую	1	2
132	говорить о	1	2
133	света в	1	2
134	для них	2	2
135	признание что	1	2
136	заключает в	3	2
137	где в	1	2
138	своем значении	1	2
139	стороны и	6	2
140	в русском	1	2
141	в виде	5	2
142	в них	3	2
143	здесь нужно	1	2
144	только это	1	2
145	творчества и	1	2
146	не было	1	2
147	весьма вероятно	4	2
148	сомнения что	1	2
149	х и	1	2
150	историческом и	1	2
151	и с	2	2
152	в начале	1	2
153	как на	3	2
154	в общем	3	2
155	полной мере	1	2
156	мысль о	1	2
157	которое в	2	2
158	нужно помнить	1	2
159	в сфере	3	2
160	главным образом	2	2
161	именно в	4	2
162	значительной мере	1	2
163	должно быть	1	2
164	другие народы	2	2
165	в жизни	1	2
166	друг другу	1	2
167	и австралии	1	2
168	в последние	6	2
169	во всей	2	2
170	есть нечто	1	2
171	помнить что	2	2
172	в силу	2	2
173	в северной	2	2
174	одна из	1	2
175	между прочим	7	2
176	в мире	2	2
177	например в	1	2
178	не менее	1	2
179	реальность и	1	2
180	думать что	8	2
181	отнюдь не	9	2
182	со стороны	5	2
183	суждений о	1	2
184	не нужно	2	2
185	исключительно в	2	2
186	в эту	2	2
187	культуры в	4	2
188	из них	3	2
189	лесной и	1	2
190	есть не	2	2
191	тем более	4	2
