N	2gram	Tiupa_Anal	slovoVRo
1	и в	30	92
2	в романе	2	89
3	и т	3	82
4	т п	3	72
5	то есть	19	64
6	может быть	33	59
7	и его	9	59
8	в нем	3	59
9	и не	33	51
10	не только	30	44
11	не может	26	41
12	но и	29	39
13	в этом	31	36
14	а не	25	34
15	во всех	5	32
16	точки зрения	10	30
17	так и	16	30
18	языка и	2	29
19	могут быть	12	29
20	и др	1	29
21	в пределах	11	29
22	в его	15	27
23	слова в	1	26
24	языка в	1	25
25	все это	2	25
26	как бы	15	24
27	слово в	1	24
28	то же	12	23
29	и на	10	22
30	в сущности	10	21
31	как в	3	21
32	не в	17	21
33	вовсе не	4	21
34	в процессе	2	20
35	в то	10	20
36	прежде всего	8	19
37	как мы	3	19
38	с ним	6	18
39	как и	23	18
40	же время	7	18
41	себя в	8	18
42	или иной	8	18
43	таким образом	5	17
44	оно не	1	17
45	и даже	10	17
46	все же	4	17
47	в основе	6	17
48	все эти	3	17
49	при этом	20	16
50	в них	1	16
51	к своему	2	16
52	отличие от	8	16
53	но в	11	16
54	в той	8	15
55	и с	2	15
56	человек и	2	15
57	с точки	6	15
58	со своим	4	15
59	той или	8	15
60	только в	8	14
61	авторских интенций	1	14
62	в отличие	8	14
63	так сказать	1	14
64	в особенности	1	13
65	отношении к	1	13
66	на фоне	5	13
67	это не	7	13
68	общего языка	1	13
69	с другой	7	13
70	с его	3	13
71	чужих слов	2	13
72	и для	3	13
73	и к	5	12
74	в отношении	2	12
75	еще не	5	12
76	во всяком	1	12
77	никогда не	4	12
78	и потому	2	12
79	или в	2	12
80	а в	11	12
81	отношение к	2	12
82	и наконец	2	12
83	один из	4	11
84	в этих	3	11
85	с ними	2	11
86	для него	5	11
87	с одной	7	11
88	языка как	1	11
89	на его	4	11
90	одной стороны	6	11
91	слова как	1	11
92	и их	2	10
93	и все	5	10
94	уже не	6	10
95	все они	2	10
96	лишь в	12	10
97	своего языка	1	10
98	в своем	2	10
99	может не	2	10
100	в том	36	10
