N	2gram	Berdyaev_V	EvropaiE
1	и в	16	37
2	что в	3	21
3	не только	2	18
4	то же	1	15
5	хотя бы	3	15
6	и не	20	14
7	но и	5	14
8	в своем	1	14
9	но в	3	14
10	в этом	4	12
11	в том	3	11
12	в их	1	11
13	так и	4	10
14	прежде всего	2	9
15	только в	2	9
16	так же	1	9
17	в ее	1	8
18	в своей	3	8
19	между тем	2	8
20	к тому	3	8
21	так как	9	7
22	того что	5	7
23	как и	4	7
24	с другой	1	7
25	то есть	1	6
26	с этой	1	6
27	вслед за	2	6
28	и на	1	6
29	том что	2	6
30	вовсе не	1	6
31	во всех	3	6
32	может быть	1	6
33	того чтобы	2	6
34	для того	1	6
35	то что	9	6
36	как бы	5	6
37	в виде	1	5
38	не в	3	5
39	но не	2	5
40	от этого	3	5
41	и потому	7	5
42	как мы	1	5
43	и по	1	5
44	и человечество	1	5
45	в самом	1	4
46	бы то	1	4
47	мы не	2	4
48	для нас	2	4
49	в процессе	1	4
50	не имеет	3	4
51	вопрос о	1	4
52	то ни	1	4
53	как это	1	4
54	в ней	4	4
55	мира в	2	4
56	говорит о	1	3
57	и мы	3	3
58	можно ли	1	3
59	ее в	2	3
60	что и	3	3
61	в результате	1	3
62	можно было	2	3
63	в будущем	1	3
64	на себя	5	3
65	тем что	2	3
66	как в	1	3
67	жизни в	1	3
68	мира и	1	3
69	в которых	1	3
70	в известном	1	3
71	бы ни	1	3
72	в них	3	3
73	во всяком	2	3
74	бы и	3	3
75	потому что	4	3
76	и тем	1	3
77	не будет	2	3
78	и для	3	3
79	потребность в	1	3
80	уже и	1	3
81	в прошлом	2	3
82	к ним	1	3
83	с тем	2	3
84	известном смысле	1	3
85	и от	1	3
86	от них	1	3
87	никогда не	3	3
88	всего в	2	2
89	и то	2	2
90	и во	2	2
91	мы видим	1	2
92	если в	1	2
93	должна быть	3	2
94	в его	4	2
95	что это	1	2
96	это значит	1	2
97	хотя и	5	2
98	его на	1	2
99	и тут	1	2
100	и если	1	2
101	для них	2	2
102	другой стороны	1	2
103	в этих	3	2
104	не могут	2	2
105	но с	1	2
106	в своих	1	2
107	и с	1	2
108	и можно	1	2
