N	3gram	Berdyaev_V	slovoVRo
1	и т д	2	10
2	так и в	1	6
3	но все же	1	6
4	с другой стороны	1	6
5	в том что	2	5
6	хотя бы и	1	5
7	не могут быть	1	4
8	к тому что	3	3
9	как и в	1	3
10	а между тем	2	2
11	в известном смысле	1	2
12	и в этом	1	2
13	но прежде всего	1	2
14	но и в	2	2
15	и не было	1	2
16	ивана карамазова и	1	1
17	бы и не	2	1
18	мы видим что	1	1
19	в первый раз	3	1
20	и все это	1	1
21	в них и	1	1
22	и вообще в	1	1
23	и освобождения от	1	1
24	в нем нет	2	1
25	один из образов	1	1
26	бы то ни	1	1
27	на том пути	1	1
28	раз и навсегда	1	1
29	находится в состоянии	1	1
30	и во всяком	1	1
31	в разные эпохи	1	1
32	по крайней мере	1	1
33	но в нем	1	1
34	во всех формах	1	1
35	все это как	1	1
36	с которым это	1	1
37	к людям и	1	1
38	добра и зла	2	1
39	том что он	2	1
40	одна из сторон	1	1
