N	4gram	Losev_Prob	KFilosof
1	ни в чем не	2	4
2	один и тот же	1	3
3	и ни в чем	2	2
4	бы то ни было	4	2
5	не имеем в виду	1	2
6	только в том что	1	1
7	но это уже не	1	1
8	здесь дело не в	1	1
9	не отличаются от научных	1	1
10	ничего общего не имеет	1	1
11	в ту или иную	2	1
12	для которого все эти	1	1
13	имеем в виду и	1	1
14	дело здесь не в	2	1
15	дело в том что	3	1
16	конечно дело здесь не	1	1
17	и тем не менее	6	1
18	в то или иное	1	1
19	тем не менее в	3	1
20	и в то же	2	1
21	одного и того же	1	1
22	когда мы говорим о	1	1
