N	2gram	Medvedev_V	PoTuStor
1	может быть	23	17
2	и в	26	16
3	таким образом	32	9
4	в этом	29	9
5	прежде всего	13	9
6	совершенно не	1	8
7	точки зрения	3	8
8	не может	17	8
9	и его	6	8
10	не только	26	7
11	фрейд и	1	7
12	сказать что	5	7
13	с его	4	7
14	и к	3	6
15	для него	9	6
16	самом деле	1	6
17	и это	1	6
18	конечно не	1	6
19	по фрейду	1	5
20	что такое	2	5
21	ни в	1	5
22	все эти	8	5
23	только для	2	5
24	в чем	2	5
25	еще не	2	5
26	как бы	5	5
27	отношение к	1	5
28	бессознательное и	1	5
29	в него	1	5
30	а потому	1	4
31	все это	13	4
32	в его	15	4
33	художественного творчества	19	4
34	так и	6	4
35	его в	3	4
36	и даже	2	4
37	и все	1	4
38	с ними	4	4
39	только в	8	4
40	и не	20	4
41	можно сказать	4	4
42	но и	10	4
43	хотя бы	20	4
44	и может	2	4
45	и их	3	4
46	самого начала	1	4
47	в этой	4	4
48	как мы	1	4
49	отнюдь не	4	4
50	в нем	7	4
51	с ее	1	4
52	и ее	4	4
53	и наконец	2	4
54	но в	2	4
55	если б	1	3
56	до сих	2	3
57	на язык	2	3
58	в основном	7	3
59	в том	15	3
60	мы знаем	3	3
61	полагаем что	1	3
62	с другими	2	3
63	представлений и	2	3
64	на этой	1	3
65	между ними	3	3
66	в конечном	7	3
67	их в	7	3
68	этом смысле	1	3
69	и как	3	3
70	что в	11	3
71	и бессознательное	2	3
72	том что	8	3
73	вместе с	8	3
74	на этом	2	3
75	в этих	1	3
76	мира и	3	3
77	и художественного	3	3
78	сравнению с	1	3
79	во всех	7	3
80	во всяком	2	3
81	и потому	2	3
82	в основе	1	3
83	тех же	1	3
84	по сравнению	1	3
85	сознательное и	1	3
86	по крайней	2	3
87	как это	12	3
88	только на	1	3
89	в одном	5	3
90	даже не	2	3
91	а в	3	3
92	то что	7	3
93	никаких оснований	2	3
94	мы полагаем	1	3
95	и др	10	3
96	могут быть	8	3
97	и есть	5	3
98	сих пор	2	3
99	в общем	2	3
100	жизни и	3	3
101	в области	2	3
102	всяком случае	2	3
103	во время	4	3
104	крайней мере	2	3
105	в самом	4	2
106	об его	1	2
107	сущность его	1	2
108	мы видим	1	2
109	что оно	3	2
110	и этот	2	2
111	это делает	3	2
112	и мы	1	2
113	на протяжении	1	2
114	они не	2	2
115	снов и	1	2
116	почти не	1	2
117	мы не	1	2
118	с этой	1	2
119	можно определить	2	2
120	аналогии с	1	2
121	ее в	4	2
122	может иметь	1	2
123	для нас	1	2
124	и через	2	2
125	но как	3	2
126	что и	3	2
127	сводится к	3	2
128	сновидения и	2	2
129	у него	6	2
130	не могут	10	2
131	в них	5	2
132	из сказанного	1	2
133	и других	1	2
134	все то	1	2
135	всех его	2	2
136	по аналогии	1	2
137	что не	3	2
138	конечном счете	5	2
139	между собою	2	2
140	в жизни	2	2
141	можно назвать	1	2
142	из тех	1	2
143	но ведь	1	2
144	как и	7	2
145	что он	4	2
146	есть в	1	2
147	же как	2	2
148	только то	2	2
149	в своей	4	2
150	и так	1	2
151	сознания при	1	2
152	по своему	1	2
153	себя и	1	2
154	в итоге	1	2
155	знаем что	2	2
156	не менее	2	2
157	в каком	1	2
158	во сне	21	2
159	он склонен	1	2
160	с этим	3	2
161	при всей	2	2
162	к этому	9	2
163	между собой	1	2
164	что мы	2	2
165	в историю	1	2
166	связанных с	1	2
167	из этих	7	2
168	ту же	2	2
169	на основе	5	2
170	он не	2	2
171	кажется что	1	2
172	и образы	3	2
173	в частности	12	2
174	оно и	1	2
175	говорить о	2	2
176	всех других	3	2
177	есть и	1	2
178	в науке	2	2
179	за пределы	1	2
180	в начале	1	2
181	в пределах	5	2
182	как не	1	2
183	так же	3	2
184	момента в	1	2
185	потому и	1	2
186	было бы	8	2
187	это главное	1	2
188	к ним	2	2
189	нет и	3	2
190	в систему	1	2
191	с нею	2	2
192	находится в	1	2
193	что на	1	2
194	о том	10	2
195	во всей	2	2
196	момент в	3	2
197	один из	6	2
198	и по	3	2
199	с ним	1	2
200	определить как	2	2
201	нет никаких	2	2
202	но это	1	2
203	и для	2	2
204	для этого	1	2
205	понятия и	1	2
206	то же	10	2
207	образов и	4	2
208	о бессознательном	1	2
209	никогда не	5	2
210	быть даже	1	1
211	для самого	1	1
212	и ту	1	1
213	к сожалению	2	1
214	об их	1	1
215	на почве	1	1
216	события и	1	1
217	включая сюда	1	1
218	что они	3	1
219	вспомним хотя	1	1
220	и то	1	1
221	не нашел	1	1
