N	2gram	Bakhtin_Fr	Poddanst
1	не только	23	17
2	и в	67	14
3	и не	23	12
4	в области	2	11
5	в этом	27	10
6	в отношении	2	10
7	в том	16	9
8	то же	18	9
9	в качестве	5	9
10	но в	20	9
11	хотя бы	2	8
12	в пределах	2	8
13	только в	6	7
14	же время	14	7
15	в обстановке	1	7
16	в то	17	7
17	в ней	10	6
18	xix века	1	6
19	было бы	5	6
20	но и	23	6
21	в смысле	1	6
22	и пр	1	5
23	может быть	4	5
24	с другой	3	5
25	не в	8	5
26	и о	8	5
27	в которых	3	5
28	а я	1	5
29	и к	7	4
30	что в	14	4
31	в котором	3	4
32	тех кто	2	4
33	и если	3	4
34	и потому	1	4
35	не может	9	4
36	а в	4	4
37	то что	9	4
38	как бы	18	4
39	если бы	2	4
40	а также	4	4
41	в своем	13	4
42	том что	13	4
43	большей степени	1	4
44	в себе	3	3
45	исторического материализма	1	3
46	ей в	1	3
47	с одной	2	3
48	мы не	6	3
49	это не	5	3
50	одной стороны	2	3
51	для того	8	3
52	между тем	3	3
53	с точки	5	3
54	хотя и	6	3
55	с тем	3	3
56	потому что	8	3
57	прежде всего	19	3
58	вслед за	1	3
59	в россии	1	3
60	заключается в	1	3
61	но не	6	3
62	могут быть	1	3
63	и как	7	3
64	с ними	1	3
65	столь же	1	3
66	в нем	20	3
67	и без	3	3
68	тот же	4	3
69	точки зрения	7	3
70	с этим	6	2
71	во всех	20	2
72	к началу	3	2
73	и это	5	2
74	и других	2	2
75	в полной	1	2
76	и мы	1	2
77	было в	2	2
78	которую мы	1	2
79	если в	3	2
80	более чем	1	2
81	и вот	4	2
82	время в	1	2
83	в значительной	2	2
84	том числе	6	2
85	не будем	3	2
86	церкви и	4	2
87	еще более	1	2
88	начала и	1	2
89	на этих	2	2
90	в ее	2	2
91	того что	4	2
92	никак не	3	2
93	как раз	5	2
94	в частности	4	2
95	в его	17	2
96	не о	1	2
97	а не	6	2
98	нужно было	1	2
99	все это	15	2
100	говорить о	5	2
101	для них	2	2
102	признание что	1	2
103	и есть	5	2
104	стороны и	1	2
105	в виде	1	2
106	в них	12	2
107	здесь нужно	1	2
108	не было	3	2
109	ii в	1	2
110	и с	18	2
111	из важнейших	2	2
112	в начале	2	2
113	как на	6	2
114	слова но	2	2
115	в общем	5	2
116	полной мере	1	2
117	которое в	1	2
118	именно в	5	2
119	значительной мере	1	2
120	в жизни	4	2
121	отношения к	1	2
122	друг другу	1	2
123	в последние	1	2
124	во всей	1	2
125	есть нечто	2	2
126	в силу	1	2
127	одна из	1	2
128	между прочим	1	2
129	в мире	1	2
130	например в	6	2
131	не менее	4	2
132	в выборе	1	2
133	где бы	1	2
134	не столько	5	2
135	думать что	2	2
136	да и	2	2
137	в эту	2	2
138	культуры в	1	2
139	из них	5	2
140	но к	1	2
141	есть не	1	2
142	тем более	3	2
143	есть в	5	2
144	мира с	2	2
145	русской истории	1	1
146	этих двух	1	1
147	и государства	2	1
148	творчества они	1	1
149	говорится о	1	1
150	нет ничего	1	1
151	как к	2	1
152	во всяком	1	1
153	и тех	1	1
154	выражены в	1	1
155	и то	2	1
156	степени может	1	1
157	но как	1	1
158	выступает в	1	1
159	бы и	2	1
160	мы можем	5	1
161	на этой	3	1
162	мы видим	6	1
163	эта не	1	1
164	а с	1	1
165	в данном	4	1
166	раньше в	1	1
167	что от	1	1
168	с его	11	1
169	но несколько	1	1
