N	3gram	Bakhtin_sl	StatiiOP
1	в том что	4	47
2	и т д	7	32
3	о том что	2	29
4	в этом отношении	2	24
5	для того чтобы	1	19
6	до сих пор	4	19
7	и т п	49	19
8	с точки зрения	11	14
9	с другой стороны	5	13
10	во всяком случае	7	13
11	не может быть	11	11
12	то же время	15	9
13	на то что	1	9
14	в то же	15	9
15	дело в том	1	9
16	можно было бы	2	9
17	тем не менее	2	8
18	к тому что	2	8
19	не только в	3	8
20	в данном случае	3	7
21	но все же	1	7
22	в то время	2	7
23	и в этом	2	7
24	том что он	1	7
25	по отношению к	2	6
26	так и в	5	6
27	том что в	1	6
28	не только не	2	6
29	речь идет о	1	6
30	по крайней мере	1	6
31	в одном из	1	6
32	что он не	1	5
33	то время как	2	5
34	говорит о том	1	5
35	нужно сказать что	1	5
36	но и в	2	5
37	в свое время	1	5
38	тот факт что	1	5
39	т п в	2	5
40	с самого начала	1	5
41	в применении к	1	4
42	так или иначе	1	4
43	сами по себе	1	4
44	с одной стороны	7	4
45	как например в	1	4
46	тем или иным	1	4
47	в связи с	2	4
48	к сожалению не	1	4
49	но это не	1	4
50	того или иного	2	4
51	в мировой литературе	2	4
52	иметь в виду	1	4
53	и в том	2	4
54	это не значит	2	3
55	можно сказать что	1	3
56	то или иное	1	3
57	в том числе	1	3
58	более или менее	5	3
59	да и в	1	3
60	таким образом в	4	3
61	и сам в	1	3
62	но все это	1	3
63	бы то ни	1	3
64	а иногда и	1	3
65	и не в	1	3
66	в известном смысле	2	3
67	в лучшем случае	3	3
68	в значительной степени	6	3
69	во всех этих	2	3
70	в этом случае	4	3
71	всяком случае не	1	3
72	а вовсе не	4	3
73	прежде всего в	1	3
74	на этой почве	1	2
75	для него самого	1	2
76	и на этот	1	2
77	у него есть	1	2
78	и в другом	2	2
79	и даже не	1	2
80	в той или	12	2
81	хотя бы и	5	2
82	и др но	1	2
83	в какой степени	1	2
84	все более и	1	2
85	а между тем	2	2
86	в зависимости от	4	2
87	между тем как	1	2
88	том числе и	1	2
89	если бы мы	1	2
90	и в то	6	2
91	все же и	1	2
92	свое выражение в	3	2
93	в отличие от	12	2
94	очень похоже на	1	2
95	лежащий в основе	1	2
96	же и в	1	2
97	то ни было	1	2
98	не может не	5	2
99	а не в	1	2
100	а также и	3	2
101	века и в	1	2
102	не только по	1	2
103	в евгении онегине	3	2
104	а как бы	1	2
105	в свою очередь	3	2
106	той или иной	13	2
107	вовсе не в	1	2
108	подчеркнуть что в	1	2
109	но и здесь	3	2
110	не столько в	1	2
111	он не только	1	2
112	не укладывается в	2	2
113	в чем же	1	2
114	не до конца	1	2
115	что как раз	1	2
116	в целом ряде	1	2
117	в этих формах	2	2
118	более и более	1	2
119	в этом жанре	1	2
120	далеко не все	1	2
121	нашло свое выражение	1	2
122	но в то	6	2
123	как мы видели	2	2
124	мы имеем в	1	2
125	как бы ни	2	2
126	т п но	2	2
127	несколько слов о	2	2
128	но с другой	1	2
129	как и в	2	2
130	может быть и	2	2
131	он никогда не	2	1
132	очень велика в	1	1
133	от которого он	1	1
134	заключается именно в	1	1
135	на протяжении всего	1	1
136	отношение к слову	1	1
137	и те же	1	1
138	одному из них	1	1
139	к одному из	1	1
140	без всяких оговорок	1	1
141	в известной степени	3	1
