N	4gram	Berdyaev_M	StatiiOP
1	в то время как	2	5
2	в начале xix века	1	5
3	той мере в какой	1	3
4	в том смысле что	1	3
5	это не значит что	1	3
6	в той мере в	1	3
7	и в самом деле	1	3
8	в том что он	1	3
9	сомневаться в том что	1	2
10	и вместе с тем	4	2
11	о том что в	1	2
12	с тем что в	1	2
13	все более и более	1	2
14	и в конце концов	2	2
15	не может быть назван	1	2
16	одни и те же	1	1
17	том смысле что он	1	1
18	в том смысле в	1	1
19	не может быть и	1	1
20	но это не значит	1	1
21	что в то время	1	1
22	как и всегда у	1	1
23	одной и той же	2	1
24	может быть и речи	1	1
25	и по отношению к	1	1
26	начале xix века в	1	1
27	не может быть никакого	1	1
28	вместе с тем он	2	1
29	у нас не было	2	1
30	он не может быть	1	1
31	до сих пор не	1	1
32	том смысле в каком	1	1
33	так же как и	1	1
34	в своем отношении к	1	1
35	а не в том	1	1
36	но нужно сказать что	1	1
