N	2gram	Losev_Dial	DiskursI
1	в качестве	2	72
2	а не	24	60
3	может быть	30	56
4	не только	26	49
5	и в	35	49
6	как и	10	47
7	при этом	2	46
8	и не	51	44
9	в том	20	44
10	то есть	1	41
11	том что	18	40
12	в этом	18	38
13	в себе	23	37
14	в частности	4	36
15	но и	17	35
16	но не	9	31
17	отличие от	1	28
18	со стороны	2	28
19	но в	8	28
20	так и	18	28
21	не может	16	27
22	по своей	5	26
23	как в	3	25
24	отнюдь не	13	23
25	еще не	4	23
26	а также	1	20
27	в своей	9	19
28	все же	9	19
29	в нем	25	19
30	прежде всего	14	19
31	далеко не	2	18
32	в основе	4	18
33	то же	21	17
34	в данном	5	17
35	с другой	10	17
36	в мире	3	17
37	точки зрения	25	16
38	только в	7	16
39	о том	8	15
40	то что	25	15
41	в его	4	15
42	не менее	5	14
43	можно сказать	10	14
44	одной стороны	3	14
45	с одной	4	14
46	не в	12	14
47	ни к	2	14
48	не является	3	14
49	это не	18	14
50	или иной	4	14
51	как бы	19	13
52	для него	2	13
53	в целом	1	13
54	в своих	1	12
55	при всей	1	12
56	в своем	7	12
57	того же	1	12
58	природе своей	1	12
59	и все	11	12
60	данном случае	1	12
61	по природе	1	11
62	не было	7	11
63	столь же	1	11
64	что в	19	11
65	и как	14	11
66	той или	11	10
67	а с	2	10
68	а в	8	10
69	же время	9	10
70	также и	7	10
71	в них	4	9
72	уже не	3	9
73	себя в	2	9
74	внимание на	1	9
75	между тем	3	9
76	в силу	6	9
77	в то	10	9
78	еще в	2	9
79	тем самым	1	9
80	в этих	6	8
81	и даже	23	8
82	к тому	6	8
83	в котором	5	8
84	в противоположность	6	8
85	в одном	4	8
86	из них	5	8
87	хотя и	4	8
88	он не	5	8
89	если в	5	8
90	не на	1	8
91	жизни в	1	8
92	потому что	23	8
93	этом отношении	2	8
94	не с	5	8
95	и о	4	8
96	о чем	4	7
97	другой стороны	7	7
98	на сцене	3	7
99	таким образом	5	7
100	что и	7	7
101	тому же	3	7
102	его в	3	7
103	к этому	2	7
104	в этой	3	7
105	я в	3	7
106	могут быть	6	7
107	например в	2	7
108	ни в	20	7
109	приводит к	1	7
110	перед нами	3	7
111	той же	1	7
112	но это	12	7
113	и для	2	7
114	нового времени	1	7
115	и ее	1	7
116	и его	6	7
117	не как	4	6
118	одно из	2	6
119	именно в	4	6
120	времени в	2	6
121	одна из	1	6
122	крайней мере	11	6
123	никогда не	18	6
124	то в	8	6
125	в принципе	1	6
126	сказать и	1	6
127	с точки	18	6
128	в ее	3	6
129	не знает	2	6
130	во всех	3	6
131	в особенности	6	6
132	в сущности	2	6
133	и то	15	6
134	имеет место	1	6
135	разумеется не	1	6
136	и одновременно	1	6
137	что он	16	6
138	к его	2	6
139	в которых	2	6
140	собственно и	1	6
141	по крайней	11	6
142	в истории	1	6
143	что же	5	6
144	здесь не	1	6
145	дело в	1	6
146	в эпоху	2	6
147	времени и	10	6
148	в одной	4	6
149	тому как	1	6
150	и может	7	6
151	отношение к	5	6
152	одного из	1	6
153	в той	4	5
154	можно говорить	2	5
155	зрения на	1	5
156	общения с	1	5
157	в виду	9	5
158	мысль о	2	5
159	на мой	1	5
160	в первую	2	5
161	своей природе	1	5
162	в другом	6	5
163	не всегда	2	5
164	но они	2	5
165	говорить о	9	5
166	не обязательно	5	5
167	в прошлом	1	5
168	к ним	3	5
169	сказать что	19	5
170	несмотря на	12	5
171	проявляется в	2	5
172	как раз	7	5
173	для своего	3	5
174	я и	3	5
175	так сказать	1	5
176	же касается	1	5
177	в сторону	1	5
178	на этом	4	5
179	но при	1	5
180	тем что	2	5
181	одного и	1	5
182	первую очередь	1	5
183	один из	3	5
184	подобно тому	1	5
185	себе не	7	5
186	за пределы	4	5
187	оно не	2	5
188	известной степени	1	5
189	известного рода	1	5
190	при котором	1	5
191	ничего не	19	5
192	того что	6	5
193	в литературе	1	5
194	того как	3	5
195	здесь в	3	5
196	в ней	4	5
197	и состоит	2	5
198	мира и	2	5
199	в их	5	5
200	и потому	6	5
201	в акте	2	5
202	из этих	2	5
203	что касается	3	5
204	но она	4	5
205	стороны и	4	5
206	же самое	3	5
207	становления и	2	5
208	как будто	7	5
209	не к	2	5
210	в самом	6	4
211	и к	8	4
212	человеческой жизни	2	4
213	говорит о	6	4
214	в результате	2	4
215	по мере	3	4
216	и само	1	4
217	а напротив	1	4
218	или на	3	4
219	и до	2	4
220	в жизни	3	4
221	его на	1	4
222	отличается от	3	4
223	во всяком	5	4
224	из жизни	2	4
225	между двумя	1	4
226	чего не	1	4
227	только на	3	4
228	точка зрения	3	4
229	бытия а	1	4
230	что они	8	4
231	привело к	1	4
232	по преимуществу	1	4
233	указать на	1	4
234	об одном	3	4
235	тем не	3	4
236	к жизни	1	4
237	связи с	3	4
238	не о	5	4
239	будто бы	3	4
240	полной мере	1	4
241	что не	13	4
242	я не	9	4
243	не есть	67	4
244	по себе	39	4
245	и это	6	4
246	и весьма	1	4
247	и тем	2	4
248	как это	8	4
249	должны быть	2	4
250	хотя в	3	4
251	это в	1	4
252	силу своей	2	4
253	и есть	20	4
254	жизни а	1	4
255	с ним	9	4
256	из того	2	4
257	не могут	4	4
258	не более	1	4
259	с ней	2	4
260	к другому	1	4
261	в становлении	2	4
262	принципиально не	1	4
263	во мне	5	4
264	для меня	5	4
265	на примере	1	4
266	и во	1	4
267	до известной	1	4
268	у них	3	4
269	зависит от	1	4
270	того и	3	4
271	мы имеем	4	4
272	не для	1	4
273	в основании	1	4
274	во внешнем	1	4
275	есть в	2	4
276	и др	2	4
277	или в	2	4
278	объекта и	2	4
279	с той	2	4
280	в какой	3	4
281	однако это	2	4
282	по своему	4	4
283	но уже	3	4
284	на его	1	4
285	а на	1	4
286	того или	1	4
287	может иметь	6	4
288	а к	1	4
289	в полной	2	4
290	одну из	1	4
291	а по	1	4
292	человеческого сознания	2	4
293	может и	5	4
294	более не	1	3
295	говоря уже	1	3
296	характер и	1	3
297	не бывает	2	3
298	у пушкина	6	3
299	более или	5	3
300	в мифе	23	3
301	но все	5	3
302	и сам	1	3
303	к другим	1	3
304	их в	2	3
305	в одно	5	3
306	чем не	2	3
307	на первый	2	3
308	первый взгляд	2	3
309	с этим	5	3
310	вопрос о	3	3
311	в пределе	1	3
312	имея в	1	3
313	различия между	3	3
314	как на	1	3
315	имеем дело	1	3
316	момент в	2	3
317	речь о	1	3
318	тут же	2	3
319	базируется на	1	3
320	на почве	2	3
321	и он	6	3
322	в жертву	1	3
323	вплоть до	3	3
324	к которому	1	3
325	опираясь на	1	3
326	стремится к	2	3
327	в опыте	1	3
328	и притом	7	3
329	или не	5	3
330	в которой	3	3
331	к чему	1	3
332	и приводит	1	3
333	на себя	1	3
334	в области	2	3
335	как у	3	3
336	здесь как	2	3
337	о себе	1	3
338	но как	7	3
339	одно и	8	3
340	и что	17	3
341	в тех	2	3
342	не просто	19	3
343	но так	2	3
344	было бы	14	3
345	не будучи	3	3
346	его как	1	3
347	и от	5	3
348	и по	5	3
349	еще одно	1	3
350	этого термина	1	3
351	мире и	3	3
352	они и	1	3
353	целью и	1	3
354	них в	1	3
355	исторического бытия	1	3
356	должна быть	5	3
357	но также	1	3
358	содержит в	6	3
359	не требует	1	3
360	заключается в	4	3
361	обоих случаях	2	3
362	отношения к	3	3
363	как не	4	3
364	вместе с	3	3
365	перед лицом	2	3
366	не имеет	15	3
367	да и	11	3
368	о котором	2	3
369	всей своей	1	3
370	он мог	2	3
371	это и	6	3
372	и более	7	3
373	своей собственной	2	3
374	который не	2	3
375	идет о	1	3
