N	3gram	Vinokur_St	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	2	7
3	с точки зрения	10	6
4	во всяком случае	8	6
5	по крайней мере	2	5
6	а с другой	1	5
7	до сих пор	12	5
8	для того чтобы	13	5
9	в том числе	3	5
10	более или менее	2	5
11	том числе и	2	4
12	и вместе с	1	4
13	но все же	3	4
14	о том что	19	4
15	к тому же	2	4
16	в том что	29	3
17	в конце концов	2	3
18	и таким образом	1	3
19	так же как	5	3
20	всяком случае не	2	3
21	точно так же	2	3
22	тем не менее	4	3
23	так или иначе	3	3
24	ничего общего с	3	2
25	некоторые из них	1	2
26	той или иной	1	2
27	то что он	3	2
28	на то что	5	2
29	сих пор еще	1	2
30	таким образом в	1	2
31	с самого начала	3	2
32	может быть даже	1	2
33	то или иное	3	2
34	то ни было	1	2
35	с тех пор	1	2
36	по сравнению с	1	2
37	бы то ни	2	2
38	в этом отношении	13	2
39	то же время	5	2
40	в то же	5	2
41	но все это	2	2
42	и в этом	4	2
43	может быть и	2	2
44	именно в виде	1	1
45	сами по себе	2	1
46	так и в	5	1
47	и некоторые другие	1	1
48	тем фактом что	1	1
49	что и у	1	1
50	таким образом при	1	1
51	сих пор не	1	1
52	сказать что в	3	1
53	а между тем	2	1
54	в настоящее время	2	1
55	не только не	2	1
56	чуть ли не	2	1
57	нет в нем	1	1
58	иметь в виду	2	1
59	смысле этого слова	1	1
60	на них как	1	1
61	но в то	2	1
62	речь идет о	3	1
63	и это слово	1	1
64	вследствие того что	1	1
65	в то что	1	1
66	в этой области	5	1
67	тем что в	2	1
68	с нашей точки	1	1
69	в соответствии с	1	1
70	кого больше не	1	1
71	и только в	3	1
72	не может быть	5	1
73	и далее в	1	1
74	по отношению к	3	1
75	и в то	1	1
76	одно из таких	1	1
77	так как по	1	1
78	в данном случае	7	1
79	что в таком	1	1
80	из двух или	1	1
81	в отличие от	1	1
82	и никогда не	1	1
83	что в этой	2	1
84	камня на камне	1	1
85	а в том	1	1
86	не всегда и	1	1
87	виде в каком	2	1
88	после того как	5	1
89	не имеет никакого	1	1
90	и в результате	1	1
91	в народных массах	1	1
92	и так и	1	1
93	них как на	1	1
94	в первую очередь	2	1
95	в прямом смысле	2	1
96	одно из двух	1	1
97	не смотрел на	2	1
98	тем или иным	3	1
99	что в этом	1	1
100	нашей точки зрения	1	1
101	не для одной	1	1
102	не может не	1	1
103	надо иметь в	1	1
104	ясно что и	1	1
105	на этот раз	2	1
106	в самом деле	7	1
107	в котором он	2	1
108	тот факт что	5	1
109	в так называемой	1	1
110	в одном из	4	1
111	но с другой	2	1
112	совершенно так же	1	1
113	таким образом уже	1	1
114	и что он	1	1
115	только то что	1	1
116	не представляется возможным	1	1
117	с другой стороны	8	1
118	о том как	1	1
119	не в том	3	1
120	всяком случае в	2	1
121	в каком он	2	1
122	что в области	3	1
123	свидетельствует о том	1	1
124	в то время	2	1
125	могло бы быть	1	1
126	что и в	4	1
127	при таких условиях	1	1
128	в эту сторону	1	1
129	в которых он	1	1
130	лишь то что	1	1
