N	2gram	Bakhtin_KF	Komedia
1	и в	28	77
2	и не	28	47
3	в том	6	44
4	том что	4	42
5	о том	3	33
6	едва ли	2	32
7	но и	9	32
8	может быть	45	30
9	в то	3	28
10	и его	18	28
11	в этом	15	27
12	потому что	2	27
13	что он	2	26
14	к тому	1	26
15	не только	5	25
16	вместе с	1	25
17	так как	1	24
18	как и	5	23
19	ни в	12	23
20	что в	4	23
21	в самом	1	22
22	что и	7	22
23	если бы	8	22
24	то же	5	21
25	ясно что	3	21
26	так и	2	21
27	а в	5	21
28	в его	42	20
29	к этому	2	19
30	со стороны	8	19
31	в этой	2	18
32	тем что	3	17
33	же время	2	17
34	в нем	32	17
35	и здесь	7	17
36	еще не	5	17
37	при этом	4	16
38	все же	5	16
39	не менее	3	16
40	сих пор	1	16
41	он не	6	16
42	до сих	1	16
43	тот же	3	16
44	не в	13	15
45	в своем	17	15
46	точки зрения	13	15
47	его в	5	15
48	в которой	1	15
49	между тем	4	15
50	один из	2	15
51	и на	3	15
52	было бы	8	15
53	прежде всего	4	15
54	и с	1	14
55	столь же	1	14
56	к нему	12	14
57	в свою	3	14
58	все это	10	14
59	об этом	1	14
60	только что	1	13
61	самом деле	3	13
62	в одном	5	13
63	что она	1	13
64	того же	1	13
65	как раз	1	13
66	мы можем	1	13
67	то что	7	13
68	того чтобы	2	13
69	но в	5	13
70	в котором	24	12
71	для того	3	12
72	несмотря на	1	12
73	хотя и	1	12
74	в качестве	2	12
75	как это	1	12
76	из которых	2	12
77	как в	2	12
78	в истории	1	12
79	не по	4	12
80	нового времени	1	12
81	не может	29	12
82	но не	12	12
83	и даже	1	11
84	с тем	2	11
85	по отношению	26	11
86	с ним	5	11
87	как мы	1	11
88	и для	10	11
89	в их	9	11
90	к ней	1	11
91	с этим	1	10
92	свою очередь	1	10
93	к себе	2	10
94	в чем	4	10
95	как бы	9	10
96	в отношении	1	10
97	и все	9	10
98	более чем	1	10
99	одной из	1	10
100	с его	2	10
101	ничего не	3	10
102	мы не	3	10
103	на его	1	10
104	отношение к	6	10
105	же в	1	10
106	в целом	10	10
107	все что	1	9
108	но все	6	9
109	в своей	11	9
110	говорить о	2	9
111	тому что	2	9
112	только в	18	9
113	друг друга	1	9
114	о его	1	9
115	и по	1	9
116	независимо от	3	9
117	из его	3	9
118	вовсе не	7	9
119	в ней	3	9
120	отношению к	22	9
121	а затем	1	8
122	по поводу	1	8
123	не было	8	8
124	не знает	5	8
125	во всех	11	8
126	то ни	2	8
127	если не	2	8
128	по своему	3	8
129	и других	2	8
