N	3gram	Trubetskoy	Sovremen
1	с точки зрения	6	5
2	не может быть	1	4
3	мы видели что	1	3
4	не может не	1	3
5	с самого начала	2	3
6	друг с другом	5	2
7	в свою очередь	1	2
8	то же самое	2	2
9	во всяком случае	6	2
10	тем не менее	3	2
11	в отличие от	1	2
12	в настоящее время	1	2
13	может быть и	2	2
14	предполагается что все	1	1
15	всяком случае не	3	1
16	и действительно если	1	1
17	то ни было	2	1
18	между собой поэтому	1	1
19	в том что	3	1
20	мы должны признать	2	1
21	один и тот	1	1
22	не более как	1	1
23	до сих пор	5	1
24	только не в	1	1
25	все более и	1	1
26	влечет за собой	2	1
27	ясно что все	1	1
28	сами по себе	1	1
29	и тот же	1	1
30	в связи с	3	1
31	и все же	1	1
32	может быть в	1	1
33	в самом деле	1	1
34	тот факт что	1	1
35	той или иной	2	1
36	в данном случае	1	1
37	но все же	4	1
38	совершенно так же	1	1
39	в этом направлении	1	1
40	каждая из этих	1	1
41	и что она	1	1
42	будет продолжаться но	1	1
43	с одной стороны	7	1
44	в этой области	1	1
45	и не можем	1	1
46	более и более	1	1
47	так же как	3	1
48	то же время	2	1
49	не в том	1	1
50	таким образом он	1	1
51	по отношению к	1	1
52	в то же	2	1
53	но они не	1	1
54	бы то ни	2	1
55	заключает в себе	2	1
56	на этот раз	1	1
57	и в этом	2	1
58	по крайней мере	5	1
59	и есть то	1	1
60	друг на друга	2	1
61	и в то	1	1
62	но тем не	1	1
63	мы видим что	1	1
64	и в настоящее	1	1
