N	2gram	Berdyaev_N	Psycholo
1	то что	4	193
2	и в	16	190
3	в том	8	163
4	что в	9	123
5	потому что	4	114
6	том что	2	113
7	и что	2	108
8	может быть	7	107
9	в этом	7	100
10	все время	2	86
11	в самом	1	82
12	для того	1	78
13	того чтобы	2	78
14	что он	1	76
15	не только	5	75
16	и не	11	73
17	что она	2	71
18	не может	16	68
19	так же	2	63
20	так как	1	63
21	было бы	1	56
22	о том	4	54
23	и мы	4	54
24	как и	7	51
25	а не	17	50
26	сказать что	3	46
27	по себе	1	46
28	только в	1	46
29	в сущности	1	46
30	говорит что	1	45
31	к тому	3	45
32	не в	6	45
33	в этой	1	43
34	никогда не	6	42
35	и все	4	42
36	вместе с	2	41
37	как это	2	40
38	но и	3	40
39	и это	2	37
40	с тем	3	35
41	как на	1	34
42	и его	1	34
43	что все	2	33
44	в себе	2	32
45	все это	5	32
46	он не	8	31
47	мы не	2	31
48	в его	1	31
49	в ней	5	31
50	как будто	2	30
51	как в	3	30
52	с одной	2	29
53	и для	4	29
54	одной стороны	2	29
55	в нем	5	29
56	и когда	1	28
57	что мы	1	28
58	в основе	3	27
59	и на	2	27
60	а в	2	27
61	с другой	3	27
62	жизни и	8	25
63	до сих	1	24
64	тем что	1	24
65	в своем	1	23
66	сих пор	1	23
67	для этого	2	23
68	могут быть	2	23
69	с этим	2	22
70	из них	1	22
71	и даже	2	22
72	когда мы	2	22
73	в котором	1	21
74	том чтобы	2	21
75	в своей	3	21
76	ни в	6	21
77	в конце	1	21
78	и только	1	21
79	другой стороны	2	20
80	в то	2	20
81	она не	3	20
82	это не	4	20
83	все эти	2	20
84	мы уже	1	19
85	мы должны	1	19
86	в ее	3	19
87	у него	2	19
88	в которой	1	18
89	можно было	2	18
90	но в	2	18
91	зависимости от	1	18
92	в каком	1	18
93	но не	2	18
94	и есть	10	18
95	в виду	1	17
96	во всяком	1	17
97	время как	2	17
98	из этих	1	17
99	но это	6	17
100	одна из	2	17
101	у нас	1	17
102	и к	5	16
103	обратиться к	1	16
104	то это	1	16
105	же как	2	16
106	не имеет	4	16
107	формы и	2	16
108	так и	2	16
109	тому как	3	16
110	от того	1	16
111	в них	4	15
112	во всех	3	15
113	не могут	1	15
114	и потому	4	15
115	в зависимости	1	15
116	еще не	3	15
117	хотя бы	2	14
118	но он	1	14
119	то время	1	14
120	это и	2	14
121	прежде всего	4	14
122	заключает в	1	14
123	такой же	2	14
124	в жизни	5	14
125	должна быть	3	14
126	это есть	7	14
127	всяком случае	1	14
128	по существу	2	14
129	есть только	1	14
130	в области	1	14
131	с ним	1	14
132	не могли	2	13
133	в той	1	13
134	когда она	1	13
135	в этих	1	12
136	их в	1	12
137	не менее	4	12
138	в основу	1	12
139	того же	1	12
140	я не	2	12
141	в свою	1	12
142	но если	1	12
143	и этот	1	12
144	и очень	1	12
145	и с	2	12
146	что этот	1	12
147	что его	1	12
148	что не	1	12
149	и до	1	12
150	конечно не	3	11
151	не было	4	11
152	не будет	7	11
153	и сейчас	1	11
154	подобно тому	3	11
155	и заключается	2	11
156	бы сказать	1	11
157	уже в	1	11
158	отличие от	1	11
159	есть в	2	11
160	ли это	2	11
161	и из	1	11
162	с его	6	11
163	думать что	2	11
164	на это	1	11
165	во всем	1	10
166	том и	2	10
167	сами по	1	10
168	должно быть	4	10
169	в состоянии	1	10
170	и у	1	10
171	совсем не	12	10
172	и от	2	10
173	мы в	1	10
174	это было	3	10
175	и их	1	10
176	не есть	3	9
177	вопрос о	3	9
178	в чем	1	9
179	с ее	5	9
180	в отличие	1	9
181	по своему	4	9
182	но все	1	9
183	роль в	2	9
184	можно сказать	1	9
185	к чему	1	9
186	в силу	1	9
187	оно есть	1	9
188	который не	1	9
189	должен быть	5	9
190	том случае	1	9
191	не к	2	9
192	это значит	1	8
193	себе и	1	8
194	жизни с	1	8
195	будто бы	1	8
196	он в	1	8
197	в такой	1	8
198	место в	2	8
199	из всех	1	8
200	наряду с	3	8
201	по преимуществу	1	8
202	уже давно	1	8
203	чтобы понять	1	8
204	этом смысле	2	8
205	в нее	1	8
206	во время	1	8
207	к нему	1	8
208	и более	1	8
209	и во	1	8
210	он может	1	8
211	мысли и	2	7
212	сам собой	1	7
213	от этого	1	7
214	во все	1	7
215	что такое	3	7
216	должны быть	1	7
217	для чего	2	7
218	шекспира и	1	7
219	они не	1	7
220	к ним	3	7
221	не существует	3	7
222	случае если	1	7
223	все что	1	7
224	для всех	1	7
225	к этой	1	7
226	от этой	1	7
227	к жизни	3	7
228	себя и	1	7
229	времени и	2	7
230	оказывается совершенно	1	7
231	а на	1	7
232	отказаться от	1	7
233	слова в	1	7
234	вот что	1	6
235	показал что	1	6
236	что вся	1	6
237	людей и	1	6
238	того и	1	6
239	не могла	2	6
240	одного и	1	6
241	смысле слова	3	6
242	оно не	1	6
243	приводит к	1	6
244	и вся	1	6
245	от других	1	6
246	ее на	1	6
247	нуждается в	1	6
248	в русском	2	6
249	от всех	1	6
250	на нее	1	6
251	как ни	1	6
252	к ней	1	6
253	и которые	1	6
254	гораздо больше	1	6
255	говорить о	1	6
256	есть по	1	6
257	и вместе	1	6
258	за пределы	3	6
259	уже не	2	6
260	значит что	4	6
261	как не	8	6
262	в обществе	2	6
263	ничем не	1	6
264	эту мысль	1	6
265	она должна	1	6
266	совершается в	1	6
267	ни одна	2	5
268	нас и	1	5
269	в смысле	2	5
270	и еще	1	5
271	к которому	1	5
272	не должна	1	5
273	в эту	1	5
274	эти слова	1	5
275	оно может	1	5
276	в одну	2	5
277	нет никакого	1	5
278	к таким	1	5
279	нет ни	1	5
280	том смысле	1	5
281	быть не	1	5
282	значение и	1	5
283	нет и	2	5
284	зависит от	2	5
285	нас к	1	5
286	к одному	1	5
287	мысли в	2	5
288	но она	2	5
289	человека и	3	5
290	социальной жизни	1	5
291	только для	1	5
292	силы и	2	5
293	и было	2	5
294	хотя и	2	5
295	не знает	6	5
296	и она	1	5
297	искусство не	1	5
298	не значит	3	5
299	себя в	2	5
300	в известном	1	5
301	знает что	1	5
302	не имеют	2	5
303	все они	2	5
304	человека в	1	5
305	все другие	1	5
306	или не	1	5
307	все более	1	5
308	характер и	1	4
309	из ее	2	4
310	с собой	1	4
311	человека не	1	4
312	и формы	2	4
313	но для	2	4
314	мы опять	1	4
315	на место	1	4
316	можно назвать	2	4
317	которую она	2	4
318	как например	1	4
319	вот этот	1	4
320	только потому	1	4
321	значение в	1	4
322	перейти к	3	4
323	не по	1	4
324	не с	1	4
325	все еще	1	4
326	в это	1	4
327	и того	1	4
328	процесс в	1	4
329	в каких	1	4
330	вот почему	2	4
331	заключается что	2	4
332	всю жизнь	1	4
333	я думаю	1	4
334	ней и	1	4
335	который в	2	4
336	в мире	3	4
337	вступить в	1	4
338	никогда еще	1	4
339	не на	1	4
340	мы говорим	2	4
341	ли он	1	4
342	если взять	1	4
343	зависимость от	1	4
344	в истории	3	4
345	высшей степени	6	4
346	сам себя	1	4
347	не для	1	4
348	применить к	1	4
349	не могу	1	4
350	к тем	1	4
351	что образ	1	4
352	в центре	2	3
353	возможны только	1	3
354	же и	1	3
355	не столько	1	3
356	жизнь в	1	3
