N	3gram	Propp_Isto	Poddanst
1	в том что	8	4
2	не только в	3	4
3	сами по себе	1	3
4	с точки зрения	1	3
5	с одной стороны	2	3
6	и если бы	1	2
7	но и в	2	2
8	заключается в том	1	2
9	не только это	1	2
10	в северной америке	1	2
11	в том числе	1	2
12	и не только	1	2
13	и т д	30	1
14	друг с другом	2	1
15	в этом стремлении	1	1
16	совершенно ясно что	1	1
17	никакого сомнения что	2	1
18	он живет в	1	1
19	за то что	1	1
20	нет никакого сомнения	1	1
21	вместе с тем	1	1
22	с того света	1	1
23	прежде всего мы	1	1
24	в качестве исторической	1	1
25	и вот как	1	1
26	мы знаем что	8	1
27	не может быть	4	1
28	во многих случаях	1	1
29	в большинстве случаев	2	1
30	мы видим в	3	1
31	том что в	2	1
32	и пр есть	1	1
33	по сравнению с	2	1
34	и то что	4	1
35	что в этом	1	1
36	выражается в том	1	1
37	но в этом	1	1
38	главным образом на	1	1
39	и эти черты	1	1
40	во всяком случае	2	1
41	с другой стороны	10	1
42	и не может	1	1
43	мы не будем	2	1
44	но и другие	1	1
45	тем более что	1	1
46	так же как	7	1
47	не только как	1	1
48	в себя воздух	1	1
