N	4gram	Bakhtin_fo	FransuaR
1	в то же время	10	55
2	но в то же	2	20
3	в том числе и	4	17
4	до сих пор еще	1	15
5	как мы уже говорили	4	15
6	мы уже говорили что	1	13
7	дело в том что	2	13
8	и в то же	6	12
9	как мы уже сказали	4	11
10	в той или иной	2	10
11	и до сих пор	1	6
12	той или иной форме	1	6
13	тела и телесной жизни	1	5
14	мы имеем в виду	2	5
15	с одной стороны и	2	5
16	в средние века и	3	5
17	в связи с этим	4	4
18	между вещами и явлениями	1	4
19	мы еще вернемся в	3	4
20	мы уже говорили о	1	3
21	одного и того же	6	3
22	в литературе и в	1	3
23	средние века и в	1	3
24	были чрезвычайно распространены в	1	3
25	той или иной степени	1	3
26	можно прямо сказать что	2	3
27	одна и та же	2	2
28	в значительной мере и	1	2
29	в фабльо и шванках	1	2
30	ломал руки и ноги	1	2
31	еды и питья и	1	2
32	остановимся прежде всего на	1	2
33	все более и более	2	2
34	в то время когда	1	2
35	с другой стороны в	1	2
36	такой же характер носит	1	2
37	переплетаются друг с другом	1	2
38	в конце концов он	1	2
39	но дело в том	1	2
40	мы будем говорить в	1	2
41	говорит о том что	1	2
42	же что и у	1	2
43	но все же в	1	2
44	на другой день после	1	2
45	таких высоких материях и	1	2
46	о таких высоких материях	1	2
47	до сих пор не	1	2
48	то есть все то	1	2
49	принадлежит к самой природе	1	2
50	и прежде всего в	1	2
51	другим ломал руки и	1	2
52	для него существует только	1	2
53	только во время еды	1	2
54	как мы увидим дальше	1	2
55	не может быть и	2	2
56	как и во всех	1	2
57	мы уже указывали что	1	2
58	которых так много в	1	2
59	позднего средневековья и возрождения	1	2
60	а также и в	2	2
61	или во всяком случае	1	2
62	может быть и речи	2	2
63	то же время он	1	2
64	ни с одной из	1	2
65	тем чем они были	1	2
66	так же как и	2	2
67	в эпизоде воспитания гаргантюа	1	2
68	почти ничего не осталось	1	2
69	этому вопросу мы еще	1	1
70	на протяжении всего романа	2	1
71	какая же у тебя	1	1
72	принадлежит к самому существу	1	1
