N	4gram	Voloshinov	Problemy
1	бы то ни было	1	6
2	и в этом смысле	2	3
3	одна и та же	1	2
4	во всяком случае не	1	2
5	мы можем сказать что	1	2
6	дело в том что	1	2
7	ни в чем не	3	2
8	переносит центр тяжести в	1	1
9	с точки зрения сознания	1	1
10	до сих пор еще	1	1
11	каких бы то ни	1	1
12	остановимся прежде всего на	1	1
13	если б я не	1	1
14	и быть не может	1	1
15	одного и того же	1	1
16	одних и тех же	1	1
17	а вместе с тем	1	1
18	бы оно ни было	1	1
19	не чем иным как	1	1
20	в его целом это	1	1
21	или во всяком случае	1	1
22	мы имеем в виду	1	1
23	за свой страх и	1	1
24	не может быть даже	1	1
25	теперь мы должны перейти	1	1
26	свой страх и риск	1	1
27	те же что и	1	1
28	и ни в чем	1	1
29	одну и ту же	1	1
30	мы должны перейти к	1	1
31	так же как и	1	1
