N	2gram	Nazirov_Tr	Myslijsy
1	потому что	2	182
2	то есть	3	142
3	и в	18	121
4	может быть	7	107
5	в том	2	103
6	то что	4	83
7	для нас	1	75
8	что в	4	73
9	и не	7	73
10	только в	1	72
11	не только	8	67
12	а не	1	67
13	таким образом	1	64
14	в этом	9	59
15	но и	4	59
16	том что	4	59
17	то же	5	56
18	не в	2	54
19	в себе	4	53
20	по себе	1	52
21	не может	5	52
22	того что	1	47
23	в душе	2	45
24	в нем	4	45
25	не есть	1	42
26	как и	5	42
27	так что	2	39
28	вместе с	1	39
29	что и	2	38
30	при этом	3	37
31	как в	3	37
32	так и	5	37
33	точно так	2	35
34	тем что	2	33
35	и что	4	32
36	что не	1	29
37	между тем	1	29
38	но не	1	29
39	для него	3	28
40	могут быть	1	27
41	не было	1	26
42	и т	1	26
43	то и	2	26
44	этого слова	1	25
45	в то	5	24
46	с тем	2	23
47	как бы	7	23
48	того как	1	23
49	не имеет	2	22
50	но в	6	22
51	и потому	1	21
52	не менее	1	21
53	вместе и	1	21
54	мысль о	1	20
55	в одном	2	20
56	это не	5	20
57	в ней	1	20
58	и как	3	19
59	но это	4	19
60	с ним	3	19
61	тем не	1	19
62	что это	5	19
63	и то	2	19
64	о том	2	19
65	тем самым	3	19
66	должно быть	3	19
67	в самом	2	18
68	в таком	2	18
69	по поводу	2	18
70	не могут	2	18
71	в человеке	1	18
72	бы не	1	18
73	тогда как	1	18
74	что я	4	18
75	еще не	4	18
76	что оно	1	17
77	уже в	3	17
78	в его	3	17
79	во всяком	1	17
80	слова в	1	17
81	только что	1	16
82	и на	7	16
83	к тому	2	16
84	так же	4	16
85	в своем	3	16
86	в которой	1	16
87	в них	1	16
88	если б	2	16
89	быть может	1	15
90	уже не	2	15
91	с одной	1	15
92	и по	1	15
93	что он	6	15
94	стало быть	1	15
95	прежде всего	4	15
96	на деле	1	14
97	все же	5	14
98	в котором	1	14
99	то в	1	14
100	связи с	1	14
101	так сказать	1	14
102	во всех	1	14
103	столь же	2	14
104	сам по	1	14
105	в истории	1	14
106	же время	6	14
107	например в	1	13
108	а между	1	13
109	что все	2	13
110	т п	1	13
111	и все	4	13
112	смысле этого	1	13
113	и его	6	13
114	от него	1	12
115	одно из	1	12
116	никогда не	2	12
117	и при	1	12
118	и вместе	1	12
119	в чем	1	12
120	под влиянием	2	12
121	всяком случае	1	12
