N	4gram	Savitsky_E	Psycholo
1	заключается в том что	2	23
2	в то время как	1	13
3	с этой точки зрения	5	10
4	в том случае если	1	7
5	только в том случае	1	6
6	один и тот же	1	5
7	так же как и	3	5
8	в двух противоположных направлениях	1	4
9	одного и того же	1	4
10	одна и та же	1	4
11	в то же время	14	3
12	несмотря на то что	1	3
13	и то и другое	1	3
14	в том смысле что	1	3
15	дело в том что	1	3
16	не заключает в себе	1	3
17	само по себе не	2	2
18	которая выпадает на долю	1	2
19	заключает в себе ничего	1	2
20	поскольку речь идет о	1	2
21	может быть сведена к	1	2
22	совершенно очевидно что в	1	2
23	то мы увидим что	1	2
24	с одной стороны и	6	2
25	указать на то что	1	2
26	о котором мы говорили	1	2
27	на то что в	1	2
28	и для того чтобы	1	2
29	роль которая выпадает на	1	2
30	бы то ни было	4	2
31	и с точки зрения	1	1
32	например в том что	1	1
33	того чтобы ответить на	1	1
34	если оставить в стороне	1	1
35	ту или иную идеологию	1	1
36	с другой стороны в	1	1
37	в связи с этим	1	1
38	то есть в порядке	1	1
39	не кто иной как	1	1
40	находит себе подтверждение в	1	1
41	но не только это	1	1
42	ответить на этот вопрос	1	1
43	но если оставить в	1	1
44	для того чтобы ответить	1	1
45	например с точки зрения	2	1
46	к тому или иному	1	1
47	чтобы ответить на этот	1	1
48	в том числе и	1	1
49	что само по себе	1	1
50	одну и ту же	1	1
51	и в этом смысле	2	1
