N	3gram	Tiupa_Narr	Dialekti
1	и т д	1	75
2	с точки зрения	2	46
3	по крайней мере	1	26
4	в том что	11	25
5	не может быть	6	18
6	что иное как	1	18
7	тем не менее	6	16
8	сам по себе	1	16
9	само по себе	1	16
10	то же время	7	15
11	в то же	7	14
12	в таком случае	1	14
13	и то же	2	12
14	с другой стороны	1	12
15	о том что	3	12
16	одно и то	2	12
17	ничего не говорит	1	11
18	на то что	2	11
19	в самом деле	3	10
20	той или другой	1	10
21	иметь в виду	1	9
22	содержит в себе	1	9
23	и не только	1	9
24	подобно тому как	4	9
25	не только не	2	8
26	только то что	1	8
27	в то время	1	8
28	и та же	1	8
29	то время как	1	8
30	одна и та	1	8
31	в этом смысле	1	8
32	можно сказать что	5	7
33	не в том	1	7
34	так или иначе	1	7
35	сами по себе	2	7
36	точно так же	2	7
37	в связи с	3	7
38	той или иной	6	7
39	только потому что	1	6
40	для того чтобы	4	6
41	более или менее	2	6
42	в зависимости от	3	6
43	и в то	2	6
44	то что мы	1	6
45	как и все	1	6
46	во всяком случае	2	6
47	с одной стороны	5	6
48	может быть и	1	6
49	тем более не	1	5
50	на самом деле	1	5
51	и даже не	1	5
52	по сравнению с	1	5
53	не отличается от	1	5
54	к тому что	4	5
55	в том смысле	1	5
56	до сих пор	3	5
57	одной стороны и	1	4
58	стало быть в	1	4
59	мы уже знаем	1	4
60	по себе а	1	4
61	и т п	2	4
62	ни в чем	1	4
63	с этой точки	1	4
64	так же как	1	4
65	этой точки зрения	1	4
66	может быть только	1	4
67	в данном случае	12	4
68	к тому же	8	4
69	не может не	1	4
70	как раз и	1	4
71	то же самое	3	4
72	я не могу	1	4
73	из того что	1	4
74	того и другого	1	4
75	связи с этим	1	4
76	с той или	2	4
77	можно было бы	1	4
78	в этом отношении	5	4
79	как она есть	1	3
80	в той или	1	3
81	и как бы	1	3
82	никак не могу	1	3
83	он не может	1	3
84	что это за	2	3
85	не может существовать	1	3
86	а стало быть	2	3
87	но все же	1	3
88	бы то ни	1	3
89	и не может	3	3
90	того или иного	3	3
91	в данный момент	1	3
92	как и в	1	3
93	то что я	1	3
94	хотя и не	2	3
95	с этой стороны	1	3
96	не только в	12	3
97	речь идет о	3	3
98	же как и	1	3
99	по себе но	1	2
100	ничего не знает	1	2
101	в силу своей	1	2
102	выше я уже	1	2
103	не говорит об	1	2
104	и не мог	1	2
105	стало быть и	2	2
106	далеко не всегда	1	2
107	друг от друга	1	2
108	и от его	1	2
109	в нем не	2	2
110	друг с другом	1	2
111	в обоих случаях	1	2
112	том что именно	1	2
113	ни о чем	2	2
114	сомневаться в том	1	2
115	но они не	1	2
116	в чем не	1	2
117	не было и	2	2
118	точки зрения в	1	2
119	в ней не	1	2
120	так как это	1	2
121	все что было	1	2
122	оно и не	1	2
123	перед нами не	2	2
124	или хотя бы	1	2
125	можно представить себе	1	2
126	в свою очередь	2	2
127	что с точки	1	2
128	как это было	1	2
129	как один из	1	2
130	в себе самом	2	2
131	о чем говорить	1	2
132	мы не можем	1	2
133	же можно сказать	1	2
134	дело в том	2	2
135	и все его	1	2
136	мы не видим	1	2
137	при условии что	1	2
138	и то что	1	2
139	не зависит от	1	2
140	на первый взгляд	1	2
141	мы имеем дело	4	2
142	есть все же	1	1
143	лишь в том	1	1
144	о котором уже	1	1
145	так быстро что	1	1
146	восприятия а мы	1	1
147	своей точки зрения	1	1
148	и дело не	1	1
149	человек и как	1	1
150	в сущности в	1	1
151	а не иначе	1	1
152	в нашем случае	1	1
153	это уже не	1	1
154	до известной степени	1	1
155	что в ней	1	1
156	проявляет себя в	1	1
157	в том как	2	1
158	вопроса о том	1	1
159	быть не только	1	1
160	то что не	1	1
161	и в другом	1	1
162	не говорит и	1	1
163	собой один из	1	1
164	ничего не доказывает	1	1
165	со своей точки	1	1
166	об этом не	1	1
167	хотя бы его	1	1
168	он и не	1	1
169	из этих двух	2	1
170	в себе момент	1	1
171	было и не	1	1
172	и что в	1	1
173	сказать и о	1	1
174	содержащий в себе	1	1
175	бы не было	1	1
176	можно свести к	1	1
177	не слышим и	1	1
178	потому что в	1	1
179	прийти в себя	1	1
180	собственно говоря и	2	1
181	то что человек	1	1
182	по природе своей	1	1
183	в качестве одного	1	1
184	что не только	1	1
185	друг на друга	2	1
186	в единую и	1	1
187	во втором случае	1	1
188	что у него	2	1
189	в общий контекст	1	1
190	но при этом	3	1
191	в том случае	1	1
192	так а не	1	1
193	а все остальное	1	1
194	в первом случае	3	1
195	таким образом что	1	1
196	бросается в глаза	1	1
197	и не по	1	1
198	исходя из того	1	1
199	не о том	1	1
200	если же в	1	1
201	в отличие от	6	1
202	а в том	2	1
203	не он сам	1	1
204	не существует ни	1	1
205	необходимо должно быть	1	1
206	не только на	2	1
207	чем иным как	2	1
208	то ни было	1	1
209	возможна только в	1	1
210	сказать что он	1	1
211	или другой стороны	1	1
212	в виду и	1	1
213	не входит в	1	1
214	перед нами два	1	1
215	на этот раз	1	1
216	и всякий другой	1	1
217	в конечном счете	4	1
218	о них как	2	1
219	а с другой	2	1
220	бытия и о	1	1
221	но и к	1	1
222	нет никаких оснований	1	1
223	от тех кто	1	1
224	да и не	1	1
225	не то что	1	1
226	имея в виду	1	1
227	но в зависимости	1	1
228	не мог бы	1	1
229	и не думал	1	1
230	это то что	1	1
231	том как он	1	1
232	реально и без	1	1
233	как формы бытия	1	1
234	в этих случаях	1	1
235	внимание на то	2	1
236	не знания но	1	1
237	потому что стало	1	1
238	а не в	1	1
239	ни о каких	1	1
240	качестве одного из	1	1
241	большей или меньшей	1	1
242	при всей своей	1	1
243	и очевидный пример	1	1
244	но и в	4	1
245	не понимают что	1	1
246	мере того как	1	1
247	первом случае мы	1	1
248	и быть может	1	1
249	по большей части	5	1
250	том или ином	1	1
251	не претендует на	1	1
252	самом деле не	1	1
253	в полной мере	1	1
254	оба эти момента	1	1
255	о бессмертии души	1	1
256	именно то что	1	1
257	и не происходит	1	1
258	не смог бы	1	1
259	в этом и	3	1
260	и не должен	1	1
261	и еще более	1	1
262	но в конце	1	1
263	одна из этих	1	1
264	и как будто	1	1
265	он видел как	1	1
266	вовсе еще не	1	1
267	и не претендует	1	1
268	как и на	1	1
269	при этом я	1	1
270	ни одна из	1	1
271	мы увидим впоследствии	1	1
272	его жизни и	1	1
273	именно в этом	1	1
274	к жизни и	1	1
275	как раз в	3	1
276	жизни и смерти	1	1
277	мы не знаем	1	1
278	слышим и не	1	1
279	может варьироваться на	1	1
280	личностного бытия в	1	1
281	так и его	1	1
282	которое может быть	1	1
283	не верит в	1	1
284	что каждый из	1	1
285	у меня в	1	1
286	стало быть не	1	1
287	и не то	1	1
288	она в самом	1	1
289	ничего не объясняет	1	1
290	и нет никакого	1	1
291	как мы увидим	1	1
292	но и самого	1	1
