N	4gram	Tiupa_Hudo	VLabPisa
1	в то же время	11	5
2	и в то же	2	3
3	в том числе и	1	2
4	с одной стороны и	1	2
5	в письме к а	1	2
6	приводит к тому что	2	2
7	в этом и заключается	1	2
8	не в том что	1	2
9	только в том что	3	1
10	с этой точки зрения	1	1
11	с того момента когда	1	1
12	т д перед нами	1	1
13	не чем иным как	1	1
14	является не чем иным	1	1
15	в том случае если	2	1
16	и так или иначе	1	1
17	не имеет ничего общего	1	1
18	и по отношению к	1	1
19	а если можно так	1	1
20	но с другой стороны	1	1
21	и т п все	1	1
22	учения о свободе воли	1	1
23	никак между собой не	1	1
24	и т д перед	1	1
25	имеет ничего общего с	1	1
26	только в том случае	1	1
27	же как и все	1	1
28	в сумасшедшем доме или	1	1
29	но в то же	3	1
30	так же как и	1	1
31	мы имеем дело с	1	1
32	если можно так выразиться	1	1
