N	4gram	Potebnia_M	VeschiIm
1	не что иное как	2	12
2	бы то ни было	1	12
3	и т д и	1	11
4	д и т д	1	10
5	с этой точки зрения	1	4
6	дело в том что	3	4
7	в то же время	3	4
8	в то время как	1	4
9	указывает на то что	1	3
10	или по крайней мере	2	2
11	заключается в том что	1	2
12	в том что он	1	2
13	то ни было но	1	2
14	по крайней мере как	1	1
15	только в том что	5	1
16	мы не можем потому	1	1
17	что несмотря на все	1	1
18	в том смысле что	2	1
19	одном и том же	3	1
20	что и та и	1	1
21	не можем потому что	1	1
22	и т д то	1	1
23	но и для всякого	1	1
24	и как бы ни	2	1
25	с одной стороны и	2	1
26	в одном и том	3	1
27	может в то же	1	1
28	между собою так что	1	1
29	одного и того же	6	1
30	и та и другая	1	1
31	но даже и в	1	1
32	не только потому что	1	1
33	и то и другое	2	1
34	и т д в	1	1
35	но само по себе	1	1
36	не может обойтись без	1	1
37	а в том что	2	1
38	и здесь как и	1	1
39	само по себе и	1	1
40	есть указание на то	1	1
41	и не может понять	1	1
42	указание на то что	1	1
43	подобно тому как в	1	1
44	еще и потому что	1	1
45	и в этом отношении	1	1
46	не только в смысле	1	1
47	один и тот же	1	1
48	что бы то ни	1	1
