N	3gram	Potebnia_M	Problemy
1	то же время	8	26
2	в то же	8	26
3	с точки зрения	2	25
4	по отношению к	10	18
5	и т п	7	18
6	в этом смысле	2	16
7	на самом деле	4	15
8	не может быть	7	14
9	в большинстве случаев	2	12
10	до сих пор	4	10
11	в самом деле	1	9
12	с другой стороны	4	9
13	во всяком случае	3	9
14	в том что	22	8
15	и не может	1	8
16	друг с другом	1	8
17	сама по себе	3	7
18	бы то ни	1	7
19	и т д	5	7
20	и в этом	1	7
21	между тем как	4	6
22	то ни было	1	6
23	том что он	2	6
24	бы он ни	1	5
25	он ни был	1	5
26	хотя бы и	1	5
27	сам по себе	9	5
28	к тому же	1	5
29	по крайней мере	8	5
30	а не как	2	5
31	подобно тому как	3	5
32	себе еще не	1	4
33	и не в	1	4
34	к тому чтобы	1	4
35	в одном слове	1	4
36	его отношение к	1	4
37	тем не менее	7	4
38	сами по себе	3	4
39	так и в	2	4
40	именно потому что	1	4
41	а между тем	6	4
42	по себе еще	1	4
43	более или менее	6	4
44	само по себе	6	4
45	смысле этого слова	9	4
46	о том что	5	4
47	как и в	3	4
48	в этом отношении	2	4
49	что в нем	1	4
50	слова и его	1	4
51	может быть и	1	4
52	друг к другу	1	4
53	для него самого	1	3
54	все то что	2	3
55	можно сказать что	3	3
56	а может быть	2	3
57	и то же	7	3
58	как мы уже	1	3
59	точек зрения и	1	3
60	в настоящее время	1	3
61	то же что	5	3
62	в данном случае	3	3
63	и в других	1	3
64	не только не	4	3
65	того что он	1	3
66	в том и	1	3
67	на то что	3	3
68	большей или меньшей	1	3
69	к другому и	1	3
70	в эту минуту	4	3
71	именно тем что	1	3
72	и в самом	3	3
73	того и другого	2	3
74	в большей или	1	3
75	то все же	1	3
76	как мы видели	1	3
77	одно и то	7	3
78	в этом случае	2	3
79	в то время	7	3
80	то что я	2	3
81	то время как	3	3
82	нам кажется что	3	3
83	что он не	3	2
84	рано или поздно	2	2
85	этого слова в	2	2
86	уже не могут	1	2
87	можем сказать что	1	2
88	в себе все	1	2
89	как бы ни	4	2
90	внутреннего и внешнего	1	2
91	не была бы	1	2
92	в том же	2	2
93	для того чтобы	5	2
94	никогда не может	1	2
95	в свою очередь	6	2
96	дело в том	1	2
97	но тем не	4	2
98	у него в	1	2
99	друг от друга	2	2
100	но и эта	1	2
101	и в словах	1	2
102	вместе с тем	5	2
103	но так что	1	2
104	в чем не	1	2
105	до настоящего времени	1	2
106	но не в	1	2
107	на котором мы	1	2
108	по себе и	1	2
109	самим по себе	1	2
110	а не в	1	2
111	то же самое	3	2
112	к тому что	3	2
113	только то что	1	2
114	не в силах	1	2
115	в этих случаях	1	2
116	в одном из	1	2
117	сводится к тому	1	2
118	таким образом все	1	2
119	в этом рассказе	1	2
120	что же касается	1	2
121	то что в	2	2
122	как один из	1	2
123	а следовательно и	1	2
124	конечно не в	1	2
125	и к тому	1	2
126	отношению к нему	1	2
127	но все это	1	2
128	он может быть	1	2
129	и та же	2	2
130	таким образом и	1	2
131	сплошь да рядом	1	2
132	таким образом как	1	2
133	не только в	4	2
134	этого слова и	2	2
135	и в том	3	2
136	и в слове	3	2
137	одна и та	2	2
138	в этом последнем	2	2
139	слово может быть	4	2
140	что и в	4	2
141	потому что я	1	1
142	до и после	1	1
143	одной стороны и	1	1
144	с большим количеством	1	1
145	он не видит	1	1
146	каждого из них	1	1
147	имеет значение только	2	1
148	не только их	1	1
149	и как бы	2	1
150	может быть назван	3	1
151	если б и	1	1
152	по себе он	1	1
153	не как средство	1	1
154	а потому и	1	1
155	на котором оно	1	1
156	человек не только	1	1
157	том что это	1	1
158	еще один пример	1	1
159	в себе в	1	1
160	но и по	2	1
161	по себе а	4	1
162	отношения между ними	1	1
163	сравнить его с	1	1
164	в сущности есть	1	1
165	для него прежде	1	1
166	не знал что	1	1
167	есть то что	2	1
168	не все в	1	1
169	же что и	1	1
170	самом деле в	1	1
171	мы ее понимаем	1	1
172	в собственном смысле	2	1
173	она так сказать	1	1
174	заключает в себе	10	1
175	мы должны признать	1	1
176	только в последнем	1	1
177	же что мы	1	1
178	для себя и	1	1
179	его слово не	1	1
180	то к чему	2	1
181	но в таком	1	1
182	исследования но в	1	1
183	не может но	2	1
184	положительное в котором	1	1
185	то что оно	1	1
186	мы могли бы	1	1
187	с самим предметом	1	1
188	то что есть	1	1
189	сознания и не	1	1
190	бы не было	1	1
191	и тот же	2	1
192	то есть не	4	1
193	не в том	6	1
194	потому что в	4	1
195	он сам не	1	1
196	и столь же	1	1
197	в строгом смысле	1	1
198	но и с	1	1
199	бы ни был	2	1
200	в таком случае	2	1
201	с нею в	1	1
202	большинстве случаев вовсе	1	1
203	одного и того	2	1
204	так или иначе	1	1
205	может быть только	4	1
206	образом как и	1	1
207	и все что	1	1
208	но не только	1	1
209	с такими же	1	1
