N	2gram	Tiupa_Vved	Retstnzi
1	не может	14	4
2	и в	23	3
3	если в	3	2
4	в центре	4	2
5	один из	3	2
6	общения и	1	2
7	может и	1	1
8	нуждаются в	1	1
9	в особенности	3	1
10	несмотря на	2	1
11	может быть	25	1
12	не только	32	1
13	точки зрения	1	1
14	событий и	2	1
15	для него	5	1
16	ситуации и	4	1
17	в ней	5	1
18	тех же	2	1
19	связи с	2	1
20	бы на	1	1
21	с другими	1	1
22	его от	1	1
23	если бы	10	1
24	смысл и	1	1
25	в школе	1	1
26	исходя из	4	1
27	литературного произведения	1	1
28	в его	9	1
29	не менее	4	1
30	но и	31	1
31	мы видим	1	1
32	к тому	9	1
33	во второй	1	1
34	можно назвать	2	1
35	тому что	2	1
36	и можно	1	1
37	языка как	1	1
38	в то	5	1
39	из этих	5	1
40	он в	1	1
41	же время	4	1
42	то же	8	1
43	по своим	3	1
44	а не	31	1
45	персонажей и	2	1
46	бы в	4	1
47	и не	24	1
48	так называемая	1	1
49	язык как	2	1
50	на нее	2	1
51	о литературе	1	1
52	и все	8	1
53	истории но	1	1
54	и на	5	1
55	художественного целого	2	1
