N	3gram	Trubetskoy	Morfolog
1	мы видим что	1	11
2	в этом случае	4	10
3	не может быть	4	9
4	в связи с	3	9
5	таким образом мы	1	7
6	по отношению к	11	7
7	с точки зрения	8	6
8	тем не менее	4	6
9	с другой стороны	4	5
10	в том что	16	4
11	независимо от того	1	4
12	на самом деле	7	4
13	образом мы видим	1	4
14	к тому что	1	4
15	но все же	2	4
16	на то что	7	3
17	о том что	4	3
18	как и в	2	3
19	для того чтобы	7	3
20	в настоящее время	3	3
21	в то время	2	3
22	бы то ни	3	3
23	состоит в том	1	3
24	в том случае	4	3
25	на первый взгляд	1	3
26	то время как	1	3
27	в научной литературе	1	2
28	более или менее	8	2
29	друг на друга	2	2
30	том случае если	4	2
31	должны рассматриваться как	1	2
32	хотя и не	1	2
33	можно было бы	1	2
34	точно так же	1	2
35	и таким образом	1	2
36	в данном случае	3	2
37	но так как	2	2
38	то ни было	3	2
39	тех случаях когда	1	2
40	во всяком случае	2	2
41	в тех случаях	1	2
42	с одной стороны	2	2
43	друг к другу	2	2
44	может быть и	4	2
45	сих пор не	5	1
46	ответить на вопрос	2	1
47	целый ряд вопросов	1	1
48	взгляд кажется что	1	1
49	в свою очередь	2	1
50	которые не могут	1	1
51	том что все	2	1
52	мы уже знаем	1	1
53	а на самом	1	1
54	те элементы которые	1	1
55	на русском языке	1	1
56	та же участь	1	1
57	и может быть	2	1
58	правильнее было бы	1	1
59	говорили лишь о	1	1
60	поясним нашу мысль	1	1
61	могут рассматриваться как	1	1
62	многие из таких	2	1
63	не более как	2	1
64	что же касается	2	1
65	с этой точки	1	1
66	а в с	1	1
67	то для того	1	1
68	лишь о тех	1	1
69	лишь при помощи	1	1
70	только в том	1	1
71	мало того ведь	1	1
72	в этом и	1	1
73	и что следовательно	1	1
74	в то же	2	1
75	но и его	2	1
76	мы можем определить	1	1
77	и то же	1	1
78	между тем мы	1	1
79	возможны три случая	1	1
80	а и в	7	1
81	во многих отношениях	1	1
82	друг с другом	9	1
83	заметим кстати что	2	1
84	и пр эта	1	1
85	на друга что	1	1
86	так как эта	1	1
87	до сих пор	15	1
88	совершенно ясно что	1	1
89	ни одна из	1	1
90	иметь в виду	1	1
91	о том кто	1	1
92	нет а есть	1	1
93	одно и то	1	1
94	все эти вопросы	1	1
95	вместо того чтобы	1	1
96	в этой области	4	1
97	надо сказать что	1	1
98	во всех этих	2	1
99	в том или	1	1
100	которые могут быть	1	1
101	и в нашем	1	1
102	а потому что	1	1
103	во всей своей	1	1
104	или вовсе не	1	1
105	с самого начала	1	1
106	том что он	2	1
107	стоит в связи	1	1
108	это было бы	1	1
109	тем что она	1	1
110	в высшей степени	2	1
111	ясно что и	1	1
112	и затем уже	1	1
113	дело идет об	1	1
114	что он может	1	1
115	этой точки зрения	1	1
116	между тем в	1	1
117	с тех пор	1	1
118	а для того	1	1
119	с тем как	1	1
120	в другом случае	1	1
121	мы говорили лишь	1	1
122	первый взгляд кажется	1	1
123	то же время	2	1
124	приводит к тому	1	1
125	является одним из	1	1
126	из которых каждый	1	1
127	для этой цели	1	1
128	при таких условиях	2	1
129	самого начала в	1	1
130	что несмотря на	2	1
131	по тем же	1	1
132	он не может	2	1
133	как бы то	2	1
134	они вступают в	1	1
