N	2gram	Propp_Russ	Tvorches
1	и в	59	56
2	как бы	18	41
3	в его	3	37
4	в то	3	30
5	то же	6	25
6	в году	5	24
7	не только	28	24
8	но в	5	24
9	как и	19	23
10	то есть	3	23
11	и не	6	23
12	а в	16	23
13	и его	2	23
14	в этом	18	22
15	и т	13	22
16	что в	35	21
17	в том	33	21
18	он не	1	19
19	том что	33	19
20	может быть	14	19
21	потому что	15	19
22	у него	2	18
23	то что	10	18
24	таким образом	10	17
25	и на	14	17
26	что он	2	17
27	т д	12	17
28	все это	12	17
29	при этом	11	16
30	но и	20	16
31	никогда не	1	16
32	как в	10	16
33	прежде всего	2	16
34	не может	6	16
35	и с	12	15
36	но это	5	15
37	в этой	4	15
38	с его	1	15
39	и даже	1	14
40	это не	14	14
41	там же	15	13
42	о том	14	13
43	а не	3	13
44	в котором	2	12
45	же с	1	12
46	в целом	2	12
47	в своей	1	11
48	все же	7	11
49	отнюдь не	3	11
50	для него	1	11
51	представление о	5	10
52	в русской	1	10
53	не в	2	10
54	в конце	1	10
55	только в	4	10
56	когда он	3	10
57	в основном	4	10
58	уже в	2	10
59	так и	8	10
60	но не	7	10
61	как будто	6	10
62	в своих	3	9
63	ю м	1	9
64	наряду с	1	9
65	а затем	5	9
66	и от	2	9
67	один из	10	9
68	в свою	3	9
69	в нем	3	9
70	в духе	1	8
71	именно в	3	8
72	не менее	3	8
73	так же	7	8
74	к этому	7	8
75	хотя и	3	8
76	одним из	2	8
77	вместе с	16	8
78	тогда как	4	8
79	еще не	7	8
80	в себе	1	8
81	так как	25	8
82	в их	5	8
83	об этом	11	8
84	человека и	1	8
85	в этих	3	7
86	и сам	1	7
87	года в	2	7
88	например в	3	7
89	уже не	9	7
90	в дальнейшем	2	7
91	что она	4	7
92	влияние на	3	7
93	и он	1	7
94	в которой	3	7
95	в чем	1	7
96	не случайно	2	7
97	своего рода	3	7
98	самом деле	1	7
99	не столько	3	6
100	и как	2	6
101	если он	1	6
102	ф м	1	6
103	на эту	1	6
104	но у	1	6
105	одна из	12	6
106	его в	9	6
107	так что	4	6
108	и ее	3	6
109	с ним	2	6
110	если бы	1	6
111	и все	4	6
112	приводит к	4	6
113	все эти	5	6
114	ли не	1	6
115	место в	2	6
116	и другие	24	5
117	из всех	1	5
118	быть может	1	5
119	в них	10	5
120	что этот	4	5
121	с другой	1	5
122	приходит к	1	5
123	по отношению	1	5
124	как правило	4	5
125	в своем	3	5
126	в одной	1	5
127	во всей	2	5
128	все время	1	5
129	из них	12	5
130	что они	8	5
131	что у	3	5
132	в петербурге	1	5
133	на него	1	5
134	что и	8	5
135	не было	3	5
136	что не	1	5
137	в таком	5	5
138	и это	2	5
139	и у	5	5
140	а с	6	5
141	что это	4	5
142	т п	1	5
143	если не	1	5
144	между тем	9	5
145	в первой	1	5
146	дело не	2	5
147	значит что	2	5
148	показывает что	9	5
149	не так	1	5
150	та же	4	5
151	с этим	4	5
152	в белых	1	5
153	в россии	4	5
154	не имеют	1	5
155	это все	1	5
156	в истории	1	5
157	начиная с	4	5
158	до конца	5	5
159	в образе	3	5
160	том же	6	5
161	но если	2	5
162	тот же	2	5
163	ничего не	4	5
164	мы не	11	5
165	в литературе	1	5
166	как у	2	5
167	в виде	10	5
168	но эта	2	5
169	в ту	1	5
170	и по	10	5
171	и других	9	5
172	что я	1	5
173	это как	1	5
174	как он	2	5
175	отношению к	1	5
176	с этой	2	4
177	говорит о	3	4
178	него в	1	4
179	с собой	4	4
180	на земле	3	4
181	тем что	7	4
182	так в	5	4
183	а а	33	4
184	но эти	3	4
185	представляет собой	5	4
186	только на	4	4
187	говорить о	2	4
188	превращается в	1	4
189	не вполне	1	4
190	что все	2	4
191	точки зрения	3	4
192	к нему	3	4
193	мы видим	2	4
194	и мы	1	4
195	по преимуществу	1	4
196	и потому	3	4
197	с точки	3	4
198	и через	2	4
199	не знает	1	4
200	что его	1	4
201	который в	2	4
202	же как	5	4
203	в такой	1	4
204	не был	3	4
205	в каждом	2	4
206	тут же	2	4
