N	3gram	Vinokur_St	Literetu
1	в том что	29	21
2	в то же	5	21
3	то же время	5	21
4	по отношению к	3	12
5	с одной стороны	2	12
6	не может быть	5	11
7	в данном случае	7	11
8	в отличие от	1	11
9	так или иначе	3	10
10	о том что	19	10
11	в этом отношении	13	10
12	с точки зрения	10	8
13	не говоря уже	2	8
14	с другой стороны	8	7
15	говоря уже о	2	6
16	в том числе	3	6
17	к тому же	2	6
18	не только в	4	6
19	тем не менее	4	5
20	в соответствии с	1	5
21	в том чтобы	1	5
22	то ни было	1	4
23	бы то ни	2	4
24	и то что	2	4
25	и т п	11	3
26	в самом деле	7	3
27	в том же	3	3
28	ничего общего с	3	3
29	речь идет о	3	3
30	той или иной	1	3
31	только в том	3	3
32	быть не может	1	3
33	на то что	5	3
34	не столько в	1	3
35	на самом деле	7	3
36	по крайней мере	2	3
37	ту или иную	1	3
38	в целом ряде	1	3
39	в одном из	4	3
40	во всяком случае	8	3
41	том числе и	2	3
42	но с другой	2	3
43	в этой системе	1	2
44	же время не	1	2
45	дело не только	1	2
46	ему кажется что	1	2
47	для того чтобы	13	2
48	и то же	1	2
49	в отношении к	1	2
50	что он в	1	2
51	в то что	1	2
52	в этой книге	1	2
53	и вместе с	1	2
54	на мой взгляд	1	2
55	а во второй	2	2
56	для своего времени	1	2
57	а с другой	1	2
58	не могло быть	1	2
59	не только не	2	2
60	потому что не	1	2
61	то что ей	1	2
62	имел в виду	1	2
63	к тому что	4	2
64	только то что	1	2
65	в другом месте	1	2
66	в равной мере	2	2
67	в значительной степени	2	2
68	мы имеем дело	1	2
69	даже по отношению	1	2
70	то что было	1	2
71	за то что	5	2
72	чуть ли не	2	2
73	вместе с тем	2	2
74	может быть вообще	1	2
75	тем что в	2	2
76	но и в	2	2
77	и в самом	3	2
78	в свое время	3	2
79	что он сам	1	2
80	я не могу	2	2
81	дело в том	7	2
82	одно и то	1	2
83	можно было бы	8	2
84	с легкой руки	1	2
85	это прежде всего	2	2
86	в этом случае	3	2
87	во второй половине	1	2
88	что же касается	3	2
89	на эту тему	4	2
90	но то что	1	1
91	в той или	1	1
92	как и во	1	1
93	имеет ничего общего	2	1
94	каждого из них	3	1
95	что он не	5	1
96	как будто бы	1	1
97	читателя в качестве	1	1
98	в той мере	2	1
99	до него никто	1	1
100	в борисе годунове	19	1
101	на том что	1	1
102	что не может	2	1
103	для него не	1	1
104	которых он писал	1	1
105	то что в	3	1
106	такое отношение к	1	1
107	хотя бы и	2	1
108	в начале своего	1	1
109	художественного произведения в	1	1
110	не в том	3	1
111	друг от друга	1	1
112	более или менее	2	1
113	знает и не	1	1
114	и не имеет	1	1
115	но даже и	1	1
116	но и он	1	1
117	говорит о себе	1	1
118	во многих отношениях	1	1
119	внимание лишь на	1	1
120	борисе годунове и	1	1
121	а в том	1	1
122	одних и тех	1	1
123	и некоторые другие	1	1
124	и всякая иная	1	1
125	собственную личность но	1	1
126	до сих пор	12	1
127	как правило к	1	1
128	иметь в виду	2	1
129	в конце концов	2	1
130	начале xix века	1	1
131	не имеет ничего	2	1
132	в зависимости от	2	1
133	и не было	1	1
134	том что этот	1	1
135	во многих случаях	2	1
136	и в то	1	1
137	но он и	1	1
138	том что в	4	1
139	но и с	2	1
140	и сам в	3	1
141	или иначе в	1	1
142	самого себя и	1	1
143	моцарта и сальери	1	1
144	права на существование	1	1
145	в высшей степени	1	1
146	в наше время	1	1
147	во время чумы	2	1
148	по этому поводу	4	1
149	с тех пор	1	1
150	и у пушкина	1	1
151	в капитанской дочке	1	1
152	но все же	3	1
153	по этому пути	1	1
154	о том как	1	1
155	некоторые из них	1	1
156	имея в виду	1	1
157	но это не	1	1
158	в истории русской	1	1
159	и в том	3	1
160	как в наше	1	1
161	но не менее	1	1
162	а не в	1	1
163	и в этом	4	1
164	к литературным фактам	1	1
165	а также и	2	1
166	могло бы показаться	1	1
167	не только по	1	1
168	в ответ на	1	1
169	и только в	3	1
170	после того как	5	1
171	я нашел в	1	1
172	в россии в	1	1
173	по мнению автора	1	1
174	в основе этой	1	1
175	и тем же	2	1
176	вовсе не является	1	1
177	по собственному усмотрению	1	1
178	именно там где	1	1
179	может быть ни	1	1
180	но дело в	1	1
181	с того что	2	1
182	свою собственную личность	1	1
183	в чем он	1	1
184	когда речь идет	2	1
185	в это время	3	1
186	и говорит я	1	1
187	но одно дело	1	1
188	а потому не	1	1
189	в начале xix	1	1
190	что у меня	1	1
191	искусства и жизни	1	1
192	и тех же	1	1
193	бы между прочим	1	1
194	при этом и	1	1
195	тем более что	2	1
196	он не может	1	1
197	между прочим и	1	1
198	каждый из нас	1	1
199	в одной из	3	1
200	всяком случае в	2	1
201	писал что в	1	1
202	горя от ума	1	1
203	одним и тем	2	1
204	в этом утверждении	1	1
205	и мн др	3	1
206	это еще не	1	1
207	и вы увидите	1	1
208	но в то	2	1
209	и во всей	1	1
210	содержит в себе	1	1
211	в лучшем случае	1	1
212	как раз в	4	1
213	мысль о том	1	1
214	в этих словах	2	1
215	однако и в	1	1
216	только потому что	2	1
217	на два года	1	1
218	о пушкине и	2	1
219	во всех этих	1	1
220	именно в том	1	1
221	в этом его	1	1
222	с самого начала	3	1
223	в году писал	1	1
224	том что он	6	1
225	в первую очередь	2	1
226	тем обстоятельством что	1	1
227	и вовсе не	1	1
228	то что для	1	1
229	а во втором	1	1
230	из того же	1	1
231	и притом в	1	1
232	и не может	1	1
233	вопрос о том	4	1
234	и находя в	1	1
235	имеем дело с	2	1
236	может быть и	2	1
