N	3gram	Vygotskiy_	VelikijI
1	за то что	1	3
2	к тому что	1	3
3	то что мы	2	3
4	в том что	41	2
5	но и в	1	2
6	том что он	1	2
7	не могли бы	2	1
8	так и в	2	1
9	тем что они	2	1
10	если оно не	1	1
11	в конце концов	1	1
12	вместе с тем	11	1
13	и во всяком	2	1
14	и вместе с	2	1
15	мы видим что	2	1
16	видим что все	1	1
17	потому что оно	2	1
18	по сравнению с	4	1
19	как и в	3	1
20	и менее всего	1	1
21	и что в	2	1
22	не могут быть	1	1
23	то и другое	5	1
24	хотя бы и	2	1
25	как бы в	1	1
26	но все же	1	1
27	что он так	2	1
28	с другой стороны	5	1
29	в известном смысле	2	1
30	в истории человечества	1	1
31	его личности и	1	1
32	бы то ни	1	1
33	раз и навсегда	1	1
34	что уже сказано	1	1
35	после того как	1	1
36	и не случайно	1	1
37	и в этом	2	1
38	я думаю что	1	1
39	так как она	2	1
