N	3gram	Berdyaev_O	Formalny
1	не может быть	2	29
2	во всяком случае	1	16
3	в самом деле	1	11
4	в этом отношении	1	11
5	и не может	1	9
6	для того чтобы	3	8
7	в первый период	1	7
8	а вовсе не	1	7
9	и в этом	2	7
10	в том что	1	6
11	с тем что	2	6
12	сам по себе	1	6
13	смысле этого слова	1	6
14	прежде всего в	1	5
15	и не в	1	4
16	не в том	1	4
17	не могут быть	2	4
18	а не в	2	4
19	но и в	2	4
20	как и все	2	4
21	друг с другом	1	3
22	вместо того чтобы	1	3
23	между этими двумя	1	3
24	о том как	1	2
25	в строгом смысле	1	2
26	в том случае	1	2
27	как например в	1	2
28	и прежде всего	1	2
29	не было и	1	2
30	и в том	1	2
31	и все же	1	2
32	так и не	1	2
33	как и в	1	2
34	от того что	1	2
35	в самом начале	1	1
36	еще одну особенность	1	1
37	в этот период	1	1
38	того чтобы овладеть	1	1
39	и заключается в	1	1
40	же это за	2	1
41	по сравнению с	1	1
42	к ней не	1	1
43	он и не	1	1
44	ни к каким	1	1
45	находится в противоречии	1	1
46	чем на западе	2	1
47	т е от	1	1
48	что он был	1	1
49	возможен лишь для	1	1
50	прежде всего и	1	1
51	и все эти	1	1
52	есть одно из	1	1
53	в нем нет	3	1
54	в одном месте	1	1
55	и никогда не	2	1
56	есть уже не	1	1
57	строгом смысле этого	1	1
58	что не в	1	1
59	ее как бы	1	1
60	что же это	2	1
61	в самой природе	1	1
62	и в его	1	1
63	а не только	1	1
64	может быть что	1	1
65	на то что	1	1
66	же вопрос о	1	1
67	рассказ ведется от	1	1
68	о том что	1	1
69	а иногда и	1	1
70	и в самом	1	1
71	а в его	1	1
72	в душе не	1	1
73	он в корне	1	1
74	хотя и не	1	1
75	в своих художественных	1	1
76	уже указывали на	1	1
77	и больше всего	1	1
78	от всех тех	1	1
79	с разных сторон	2	1
80	том случае если	1	1
81	должен был бы	1	1
