N	2gram	Propp_Isto	VelikijI
1	и не	16	20
2	и в	43	16
3	так как	13	9
4	то что	20	9
5	к богу	2	8
6	еще не	15	8
7	и потому	2	7
8	что они	14	7
9	а не	13	7
10	на земле	2	7
11	к людям	1	6
12	человека и	1	6
13	не есть	3	6
14	что есть	1	5
15	хотя и	4	5
16	того что	8	5
17	все это	4	5
18	ты не	3	5
19	как бы	5	5
20	на себя	5	5
21	в мире	1	5
22	но и	24	5
23	все что	4	4
24	в котором	5	4
25	в этом	25	4
26	что мы	5	4
27	потому что	8	4
28	в его	7	4
29	в ней	3	4
30	так и	6	4
31	это еще	2	4
32	говорить о	1	4
33	и есть	3	4
34	и все	4	4
35	что не	3	4
36	в образе	2	4
37	как и	9	4
38	что он	17	4
39	нет у	1	4
40	и я	1	4
41	в нем	11	4
42	во всех	1	3
43	что в	29	3
44	нет ничего	3	3
45	за ним	4	3
46	то это	5	3
47	этого мира	1	3
48	тех которые	1	3
49	если не	2	3
50	хотя бы	3	3
51	в том	13	3
52	тому что	1	3
53	этих трех	1	3
54	не в	9	3
55	и что	6	3
56	что и	17	3
57	же ты	2	3
58	ни в	2	3
59	они в	2	3
60	превращается в	10	3
61	в этих	18	3
62	в них	6	3
63	не было	2	3
64	к чему	2	3
65	что ты	5	3
66	не верит	1	3
67	в жизни	3	3
68	что я	2	3
69	по этому	2	3
70	и они	4	3
71	как не	2	3
72	их от	2	3
73	их в	6	3
74	в своей	4	3
75	должна быть	2	3
76	с его	1	3
77	от этого	1	3
78	не имеет	3	3
79	но это	5	3
80	и для	3	3
81	жизни и	2	3
82	в чем	4	3
83	все эти	8	3
84	тот же	2	3
85	но в	15	3
86	к тому	9	3
87	за то	1	3
88	никогда не	9	3
89	что было	3	2
90	во всяком	2	2
91	от него	3	2
92	его и	6	2
93	уже на	3	2
94	над ними	2	2
95	а к	1	2
96	один из	7	2
97	превращаются в	2	2
98	мы и	1	2
99	не могли	1	2
100	они и	3	2
101	а остальные	1	2
102	в человека	2	2
103	которые не	1	2
104	более чем	1	2
105	в земной	1	2
106	превратились в	1	2
107	на том	3	2
108	ли ты	1	2
109	не создает	1	2
110	его не	3	2
111	это не	10	2
112	земли и	2	2
113	это все	1	2
114	между тем	2	2
115	не только	28	2
116	вот почему	3	2
117	кто эти	1	2
118	человека как	1	2
119	с ним	1	2
120	является в	2	2
121	не будет	1	2
122	ее в	3	2
123	для нас	6	2
124	и то	4	2
125	и за	3	2
126	не с	2	2
127	с тобой	2	2
128	прежде всего	3	2
129	для них	3	2
130	можно было	3	2
131	так не	1	2
132	в форме	1	2
133	и это	5	2
134	мы не	3	2
135	конечно не	3	2
136	нет еще	2	2
137	только в	8	2
138	все равно	3	2
139	под этим	2	2
140	а в	13	2
141	до того	1	2
142	люди не	1	2
143	и сам	1	2
144	нет и	1	2
145	это мы	2	2
146	но не	10	2
147	и будут	1	2
148	тем что	8	2
149	вера в	1	2
150	духа и	1	2
151	и во	1	2
152	могут быть	9	2
153	ничего и	1	2
154	мы это	2	2
155	с тем	3	2
156	и т	33	2
157	к нам	1	2
158	одна из	2	2
159	мы слышим	1	2
160	его к	5	2
161	т д	30	2
162	да и	2	2
163	и новые	2	2
164	том что	12	2
165	почему в	3	2
166	так много	1	2
167	для человека	1	2
168	но мы	1	2
169	в себя	3	2
170	уже не	11	2
171	не к	1	2
172	с радостью	1	1
173	в новом	1	1
174	в самом	1	1
175	во всем	3	1
176	превращает в	1	1
177	перестает быть	1	1
178	которых этот	1	1
179	связь с	12	1
180	и другие	6	1
181	нельзя так	1	1
182	тебе все	2	1
183	человека в	2	1
184	но как	2	1
185	чудо и	1	1
186	мы видим	15	1
187	и быть	1	1
188	и скажет	1	1
189	с братьями	3	1
190	идет к	1	1
191	на котором	2	1
192	человеческой жизни	1	1
193	из сторон	1	1
194	и столь	1	1
195	он говорит	1	1
196	будто бы	1	1
197	и на	7	1
198	ничем не	2	1
199	она и	1	1
200	на части	1	1
201	вопрос о	4	1
202	вот ты	1	1
203	а ты	4	1
