N	3gram	Savitsky_P	Problemy
1	то же время	7	26
2	в то же	7	26
3	с точки зрения	3	25
4	в этом смысле	1	16
5	не может быть	1	14
6	в большинстве случаев	1	12
7	но в то	1	11
8	в отношении к	5	10
9	в творчестве достоевского	1	9
10	с другой стороны	1	9
11	во всяком случае	1	9
12	в том что	4	8
13	и не может	1	8
14	друг с другом	1	8
15	и в то	2	7
16	и т д	1	7
17	и в этом	1	7
18	в отличие от	1	6
19	хотя бы и	1	5
20	сами по себе	3	4
21	именно потому что	1	4
22	более или менее	1	4
23	само по себе	1	4
24	в настоящее время	1	3
25	там где он	1	3
26	в противоречии с	1	2
27	которые были бы	1	2
28	для того чтобы	1	2
29	вместе с тем	1	2
30	но в этом	1	2
31	что дело идет	1	2
32	но в общем	1	2
33	не только в	4	2
34	так же как	1	1
35	как она есть	1	1
36	одной стороны и	2	1
37	и необходимы и	1	1
38	и это ощущение	1	1
39	в том числе	2	1
40	по сравнению с	1	1
41	из тех кто	1	1
42	в собственном смысле	1	1
43	заключает в себе	2	1
44	не в том	1	1
45	он живет в	1	1
46	в тот же	2	1
47	воспринимает не как	1	1
48	высшая реальность и	1	1
49	том числе и	1	1
50	в полной мере	2	1
51	в этом мире	1	1
52	еще не решают	1	1
53	с ними как	1	1
54	и пр в	1	1
55	что с точки	1	1
56	одна из важнейших	1	1
57	в нем в	1	1
58	мы не только	1	1
59	но в отличие	1	1
60	за то что	1	1
61	в различных формах	1	1
62	в известном смысле	1	1
63	в выборе и	1	1
64	но и в	2	1
65	тем же в	1	1
66	и в формах	1	1
67	заключается в том	2	1
68	для них в	1	1
69	по всему лицу	1	1
70	творчества если бы	1	1
71	не было бы	1	1
72	она не только	1	1
73	если мы не	1	1
74	в этом не	1	1
75	и в частности	1	1
76	бы оно ни	1	1
77	мира а не	1	1
78	как одна из	1	1
79	и именно в	1	1
80	есть прежде всего	1	1
81	и то что	1	1
82	или хотя бы	1	1
83	та или иная	1	1
84	только в россии	1	1
85	или иная форма	1	1
86	с одной стороны	3	1
87	все это в	1	1
88	в рамках этого	1	1
89	большинстве случаев только	1	1
90	не решают вопроса	1	1
91	не только как	1	1
