N	4gram	Kanaev_Sov	Myslijsy
1	в то же время	1	13
2	но тем не менее	1	10
3	одной и той же	1	7
4	один и тот же	1	4
5	не что иное как	1	4
6	все более и более	1	4
7	дело в том что	1	4
8	с одной стороны и	1	3
9	и до сих пор	1	2
10	во всяком случае не	1	2
11	то же самое что	1	2
12	в том случае когда	1	2
13	одна и та же	1	2
14	бы то ни было	1	2
15	мы не можем определить	1	1
16	очень важную роль в	1	1
17	а может быть и	1	1
18	заключает в себе в	1	1
19	каждый раз мы получаем	1	1
20	может иметь место только	1	1
21	это не более как	1	1
22	это то же самое	1	1
23	есть не что иное	1	1
