N	2gram	Bakhtin_Pr	ViktorSh
1	конце концов	1	2
2	в конце	5	2
3	и в	83	2
4	в том	22	2
5	том что	9	2
6	в другом	1	1
7	все время	2	1
8	но это	7	1
9	одно и	1	1
10	столь же	1	1
11	слово по	2	1
12	их как	1	1
13	по существу	7	1
14	ведь это	2	1
15	главным образом	3	1
16	связанным с	1	1
17	в самом	7	1
18	отношений но	1	1
19	и т.д	5	1
20	для них	2	1
21	говорили в	2	1
22	а только	2	1
23	именно в	3	1
24	все то	4	1
25	жизни которое	1	1
26	речи и	3	1
27	с большой	3	1
28	в частности	1	1
29	и то	2	1
30	так в	1	1
31	крайней мере	2	1
32	и заключается	2	1
33	не хочу	1	1
34	к созданию	1	1
35	этом и	1	1
36	каждая новая	1	1
37	время в	2	1
38	и его	13	1
39	даже не	1	1
40	под влиянием	1	1
41	бы уже	1	1
42	прозы в	2	1
43	хотя бы	6	1
44	с головой	1	1
45	других и	2	1
46	далеко не	4	1
47	тем более	2	1
48	по крайней	2	1
49	в которых	2	1
50	к этому	5	1
51	только в	10	1
52	потому что	9	1
53	языка если	1	1
54	в их	7	1
55	и почти	3	1
56	оно с	1	1
57	то же	10	1
58	по своим	2	1
59	не будем	4	1
60	без учета	1	1
61	и не	41	1
62	я не	6	1
63	дело в	3	1
64	да и	3	1
65	в этом	24	1
66	так как	12	1
67	все это	11	1
