N	3gram	Losev_Dial	Komedia
1	в том что	12	29
2	к тому же	2	21
3	в то же	7	16
4	то же время	8	16
5	до сих пор	4	16
6	в самом деле	3	13
7	о том что	6	13
8	и т п	3	11
9	для того чтобы	1	11
10	в то время	2	11
11	вместе с тем	1	9
12	с одной стороны	3	9
13	то время как	2	9
14	речь идет о	1	8
15	с другой стороны	7	8
16	так или иначе	3	7
17	в конце концов	4	7
18	с самого начала	2	7
19	в первую очередь	1	7
20	во всяком случае	3	7
21	говоря уже о	1	6
22	в связи с	3	6
23	с точки зрения	18	6
24	не говоря уже	1	6
25	что он не	2	5
26	то же самое	3	5
27	и т д	28	5
28	в этом отношении	2	5
29	тем не менее	3	5
30	том что он	1	5
31	в обоих случаях	1	4
32	т е в	3	4
33	к тому что	3	4
34	но все же	2	4
35	в это время	1	4
36	так как он	2	4
37	при всем том	1	4
38	не в состоянии	1	4
39	по сравнению с	2	4
40	можно было бы	4	4
41	что и в	1	4
42	то что он	1	3
43	несмотря на всю	5	3
44	друг от друга	1	3
45	более или менее	5	3
46	друг с другом	2	3
47	в чем не	1	3
48	хотя и не	1	3
49	сих пор не	1	3
50	вместе с ним	1	3
51	равно как и	1	3
52	в какой мере	1	3
53	на то что	4	3
54	но и в	1	3
55	в чем же	1	3
56	сомневаться в том	2	3
57	в новое время	1	3
58	ни в чем	2	3
59	одной стороны и	3	2
60	одного из них	1	2
61	как будто бы	3	2
62	и даже не	3	2
63	в каждом из	2	2
64	к одному и	1	2
65	в этом смысле	4	2
66	то что не	1	2
67	можно сомневаться в	1	2
68	том что она	1	2
69	их точки зрения	1	2
70	и чаще всего	1	2
71	в отношении к	1	2
72	в зависимости от	2	2
73	точно так же	3	2
74	и в то	3	2
75	том что в	1	2
76	не было и	1	2
77	каждой из них	1	2
78	с их точки	1	2
79	с тех пор	2	2
80	и в том	1	2
81	одних и тех	1	2
82	как это было	1	2
83	и тому же	1	2
84	только в том	1	2
85	и тех же	1	2
86	но и все	1	2
87	таким образом и	1	2
88	подобно тому как	1	2
89	так же как	1	2
90	только потому что	4	2
91	не только в	2	2
92	одному и тому	1	2
93	в разной степени	2	2
94	я думаю что	1	2
95	этого нет и	1	1
96	но все эти	1	1
97	а в другом	1	1
98	только что в	1	1
99	имеет ничего общего	3	1
100	как раз на	1	1
101	что она не	1	1
102	каждая из них	1	1
103	все проявления его	1	1
104	можем сказать что	3	1
105	отнюдь не является	1	1
106	не может быть	4	1
107	тому и другому	1	1
108	ты мне не	1	1
109	она и в	1	1
110	несмотря на то	2	1
111	имеется в виду	3	1
112	можно сказать что	6	1
113	представить себе как	1	1
114	важно что это	1	1
115	если они не	1	1
116	в коем случае	1	1
117	из них есть	1	1
118	что все это	1	1
119	все что ни	1	1
120	всякому ясно что	1	1
121	а с точки	2	1
122	далеко не всегда	1	1
123	потому что она	3	1
124	и даже до	1	1
125	в голову не	1	1
126	в качестве примера	2	1
127	сказать несколько слов	1	1
128	может быть только	2	1
129	сам по себе	8	1
130	на всю ее	2	1
131	как например в	1	1
132	в себе самом	2	1
133	ничего общего с	3	1
134	а между тем	1	1
135	реальная жизнь и	1	1
136	и без нее	1	1
137	даже если бы	1	1
138	не отличаются от	1	1
139	каждом из них	1	1
140	мы можем сказать	3	1
141	ни в коем	1	1
142	том что именно	2	1
143	все же это	1	1
144	ни о чем	2	1
145	что ни в	1	1
146	не связанное с	1	1
147	что в нем	4	1
148	бросается в глаза	1	1
149	никому и в	1	1
150	чтобы убедиться в	1	1
151	большей или меньшей	1	1
152	само по себе	7	1
153	в полной мере	1	1
154	все что угодно	1	1
155	о чем я	1	1
156	бы только один	1	1
157	в данном случае	1	1
158	собственного дома и	1	1
159	не забудем что	1	1
160	можно говорить о	1	1
161	по себе не	7	1
162	и всякий другой	1	1
163	ничем не отличаются	1	1
164	которых говорится в	1	1
165	я мог бы	2	1
166	мы уже знаем	4	1
167	не имеет ничего	3	1
168	об этом не	1	1
169	и что не	1	1
170	и стало быть	5	1
171	точки зрения одного	1	1
172	точки зрения самого	2	1
173	что это не	1	1
174	но как раз	1	1
175	и не требует	1	1
176	том как надо	1	1
177	это вовсе не	2	1
178	не нуждается в	6	1
179	пришли к выводу	1	1
180	и не дает	1	1
181	потому что и	2	1
182	имея в виду	1	1
183	и в голову	1	1
184	или хотя бы	2	1
185	и не может	1	1
186	и в этом	4	1
187	мы имеем дело	1	1
188	из других источников	1	1
189	может и не	2	1
190	т е о	2	1
191	однако не будем	1	1
192	о которых говорится	1	1
193	т д все	2	1
194	на задний план	1	1
195	те и другие	1	1
196	той или иной	4	1
197	и что же?	1	1
198	и с тех	2	1
199	мы находим в	2	1
200	это не мешает	1	1
201	с такой же	1	1
202	все то же	1	1
203	в том чтобы	1	1
204	по крайней мере	11	1
205	в любой другой	1	1
206	не с точки	2	1
207	мы имели бы	1	1
208	себя в театре	1	1
209	потому что он	5	1
210	т е явление	1	1
211	она ни в	1	1
212	самого начала что	1	1
213	не заметить что	1	1
214	ясно что это	1	1
215	и вовсе не	1	1
216	об этом уже	1	1
217	то оно все	1	1
218	к нему с	1	1
219	это как раз	1	1
220	что же касается	1	1
221	самом деле не	1	1
222	может быть в	2	1
223	по одному из	1	1
224	в разной мере	1	1
225	как один из	2	1
226	к выводу что	2	1
227	не был бы	1	1
228	том что для	1	1
229	но никак не	1	1
230	со всеми ее	1	1
231	идти речь о	1	1
232	связи с этим	2	1
233	так как все	1	1
234	и не должен	1	1
235	так как будто	2	1
236	то ясно что	1	1
237	мы убеждаемся в	1	1
238	не было бы	2	1
239	и до сих	1	1
240	не больше того	1	1
241	и еще более	1	1
242	другой стороны в	1	1
243	не раз в	1	1
244	не что иное	4	1
245	и в частности	4	1
246	и та же	5	1
247	даже если она	1	1
248	все тем же	1	1
249	одну из самых	1	1
250	в одной точке	1	1
251	и все его	1	1
252	и ничего не	1	1
253	и в своей	1	1
254	и о том	1	1
255	которые могут быть	1	1
256	не менее в	1	1
257	никто не может	1	1
258	как раз в	1	1
259	и в отношении	1	1
260	хотя бы в	1	1
261	же как и	1	1
262	главным образом в	1	1
263	могла идти речь	1	1
264	на себе все	1	1
265	не обязательно было	1	1
266	одна и та	5	1
267	можем судить о	1	1
268	что под этим	1	1
269	но только не	1	1
270	с которым они	1	1
271	и в литературе	1	1
272	что иное как	4	1
273	в нем и	2	1
274	вопрос о том	1	1
275	о чем другом	2	1
276	и не только	4	1
277	в виду что	2	1
278	сама по себе	12	1
279	в другом случае	1	1
280	потому что они	2	1
281	голову не приходит	1	1
282	если бы не	1	1
