N	4gram	Medvedev_U	Myslijsy
1	в то же время	3	13
2	не в том что	1	7
3	или по крайней мере	1	4
4	а между тем в	1	3
5	то же самое что	1	2
6	бы то ни было	3	2
7	конечно не в том	1	1
8	художественное произведение состоит из	1	1
9	сам по себе еще	1	1
10	с другой стороны в	1	1
11	если бы это было	1	1
12	в том что она	1	1
13	то же самое делает	1	1
14	в противном случае пришлось	1	1
15	в большей или меньшей	1	1
16	это то же самое	1	1
17	противном случае пришлось бы	1	1
18	то же время не	1	1
19	и быть не может	1	1
