N	2gram	Propp_Isto	VLabPisa
1	таким образом	15	32
2	в этом	19	29
3	не только	30	26
4	и в	41	26
5	и т	29	25
6	может быть	19	23
7	во сне	2	21
8	и не	12	20
9	хотя бы	1	20
10	т е	34	18
11	не может	19	17
12	т д	25	16
13	в его	4	15
14	в том	14	15
15	в силу	2	14
16	все это	9	13
17	прежде всего	6	13
18	в качестве	5	12
19	вот что	1	12
20	в частности	3	12
21	как это	6	12
22	что в	21	11
23	с другой	20	11
24	из них	2	11
25	то же	12	10
26	не могут	3	10
27	о том	15	10
28	но и	20	10
29	по этому	3	10
30	и др	4	10
31	об этом	7	9
32	он пишет	1	9
33	т п	1	9
34	к этому	5	9
35	могут быть	3	8
36	другой стороны	17	8
37	только в	10	8
38	на основании	1	8
39	все эти	8	8
40	вместе с	17	8
41	том что	18	8
42	ни один	1	8
43	было бы	4	8
44	в своем	3	8
45	в основном	2	7
46	это не	14	7
47	говорит о	2	7
48	не было	3	7
49	по отношению	3	7
50	очевидно что	1	7
51	тому что	2	7
52	как и	8	7
53	их в	3	7
54	во всех	8	7
55	а не	9	7
56	то что	12	7
57	главным образом	3	7
58	отношению к	3	7
59	же в	1	7
60	в нем	12	7
61	из этих	6	7
62	один из	7	6
63	у него	16	6
64	более или	3	6
65	все же	14	6
66	приводит к	1	6
67	он же	2	6
68	не в	12	6
69	так и	8	6
70	в себе	3	6
71	или менее	3	6
72	в зависимости	3	6
73	и его	11	6
74	в то	6	6
75	утверждать что	3	5
76	даже в	2	5
77	в результате	1	5
78	в их	4	5
79	в них	4	5
80	связи с	3	5
81	одним из	1	5
82	зависимости от	4	5
83	к тому	4	5
84	перед нами	4	5
85	он говорит	4	5
86	на основе	1	5
87	вот почему	1	5
88	и при	2	5
89	в одном	2	5
90	как бы	8	5
91	в целом	2	5
92	сказать что	5	5
93	и есть	2	5
94	показывают что	7	5
95	никогда не	16	5
96	в самом	2	4
97	ее в	3	4
98	только что	1	4
99	вот как	1	4
100	в ее	3	4
101	можно сказать	3	4
102	в этой	2	4
103	следующим образом	4	4
104	что все	1	4
105	что он	29	4
106	равно как	1	4
107	по существу	5	4
108	с тем	8	4
109	с ними	2	4
110	в своей	4	4
111	должен быть	2	4
112	с его	4	4
113	для его	1	4
114	в связи	3	4
115	когда он	5	4
116	них не	1	4
117	в сознании	1	4
118	из его	2	4
119	одна из	7	4
120	рассказывает о	1	4
121	и подобных	1	4
122	во время	7	4
123	и ее	6	4
124	и к	1	3
125	что они	5	3
126	видели что	4	3
127	что оно	1	3
128	и он	8	3
129	что у	6	3
130	этот процесс	1	3
131	мы знаем	4	3
132	мы имеем	27	3
133	того что	7	3
134	никак не	2	3
135	в комнату	1	3
136	но как	4	3
137	видеть в	3	3
138	него в	1	3
139	со своим	4	3
140	что и	13	3
141	у нас	4	3
142	сводится к	3	3
143	его в	7	3
144	в форме	4	3
145	др в	1	3
146	если бы	3	3
147	или в	11	3
148	из приведенных	1	3
149	это мы	1	3
150	дают возможность	1	3
151	именно в	2	3
152	в конце	4	3
153	например в	6	3
154	момент в	1	3
155	между ними	1	3
156	и как	3	3
157	же и	1	3
158	в которых	2	3
159	что например	1	3
160	том как	3	3
161	мира и	2	3
162	вовсе не	6	3
163	бы в	1	3
164	с этим	3	3
165	а в	12	3
166	попал в	2	3
167	что не	3	3
168	как о	1	3
169	в котором	3	3
170	даже и	1	3
171	она не	3	3
172	в противоположность	1	3
173	его не	4	3
174	но даже	1	3
175	того чтобы	1	3
176	в работе	1	3
177	для того	2	3
178	и их	1	3
179	всех других	2	3
180	как он	11	3
181	вслед за	2	3
182	далеко не	3	3
183	этот вопрос	3	3
184	так же	6	3
185	при помощи	6	3
186	при всем	1	3
187	образом не	1	3
188	как на	3	3
189	это делает	1	3
190	и от	5	3
191	точки зрения	4	3
192	жизни и	3	3
193	и по	7	3
194	всех этих	6	3
195	мы видели	17	3
196	на время	1	2
197	мы наблюдаем	1	2
198	в особенности	2	2
199	этом и	2	2
200	отметить что	2	2
201	и весь	1	2
202	как особый	1	2
203	все его	3	2
204	том чтобы	3	2
205	и этот	1	2
206	из которых	3	2
207	они и	1	2
208	нет ни	2	2
209	от его	2	2
210	они не	4	2
211	эта теория	1	2
212	на вопрос	5	2
213	если в	3	2
214	также что	1	2
215	самого себя	2	2
216	должно быть	1	2
217	того как	5	2
218	зависит от	1	2
219	при всей	1	2
220	ее как	2	2
221	с одной	12	2
222	должна быть	3	2
223	тогда когда	3	2
224	хотя и	3	2
225	в пользу	1	2
226	связанное с	1	2
227	о чем	2	2
228	что при	3	2
229	не приходится	1	2
230	после этого	8	2
231	в науке	1	2
232	что такое	2	2
233	а затем	1	2
234	как у	2	2
235	и через	2	2
236	не столько	4	2
237	его от	1	2
238	из многочисленных	1	2
239	по себе	2	2
240	но с	2	2
241	и даже	3	2
242	что ни	2	2
243	этой точки	3	2
244	и наконец	6	2
245	в которой	2	2
246	такое понимание	2	2
247	не о	1	2
248	и некоторые	2	2
249	а о	1	2
250	что его	2	2
251	всех его	2	2
252	мысль о	1	2
253	что она	6	2
254	но не	8	2
255	в ней	4	2
256	но вот	2	2
257	самый факт	1	2
258	в жизни	2	2
259	начинается с	4	2
260	же как	6	2
261	на эти	2	2
262	между прочим	3	2
263	что мы	3	2
264	другом месте	2	2
265	не вполне	5	2
266	не менее	5	2
267	можно ли	2	2
268	отличается от	4	2
269	после того	6	2
270	на то	5	2
271	себе и	3	2
272	в чем	5	2
273	например у	1	2
274	так например	5	2
275	сих пор	5	2
276	по его	2	2
277	от них	2	2
278	еще не	13	2
279	все они	1	2
280	в каждом	1	2
281	во всяком	3	2
282	и потому	1	2
283	до сих	4	2
284	человека в	1	2
285	а как	2	2
286	значит что	3	2
287	в целях	2	2
288	ли это	1	2
289	эти примеры	1	2
290	то это	7	2
291	лица и	1	2
292	этих способностей	1	2
293	всяком случае	3	2
294	одной стороны	12	2
295	относится к	2	2
296	ту же	3	2
297	в другом	2	2
298	но то	1	2
299	не по	2	2
300	не всегда	6	2
301	из себя	1	2
302	формы и	2	2
303	е в	2	2
