N	2gram	Tiupa_Anal	VrazhdaK
1	в году	1	18
2	не только	30	9
3	в этом	31	8
4	и в	30	8
5	и что	2	8
6	что в	7	7
7	и все	5	7
8	но и	29	7
9	то что	11	7
10	о нем	4	6
11	как и	23	6
12	и даже	10	6
13	и с	2	6
14	в романе	2	6
15	все же	4	6
16	в котором	5	6
17	в начале	3	6
18	в нем	3	6
19	но в	11	6
20	то же	12	5
21	у него	5	5
22	и не	33	5
23	между тем	7	5
24	об этом	1	5
25	не было	1	5
26	же время	7	5
27	в то	10	5
28	это не	7	4
29	при этом	20	4
30	несмотря на	5	4
31	с ним	6	4
32	для нас	1	4
33	все это	2	4
34	х годов	2	4
35	в виду	2	4
36	в своих	1	4
37	что он	3	4
38	уже в	1	4
39	о том	11	4
40	может быть	33	4
41	в ней	1	4
42	как бы	15	4
43	так же	1	4
44	что достоевский	1	4
45	в его	15	3
46	в том	36	3
47	его в	2	3
48	раз в	1	3
49	связи с	2	3
50	но он	1	3
51	в связи	2	3
52	я не	2	3
53	и как	6	3
54	далеко не	6	3
55	тем что	2	3
56	речь идет	2	3
57	в чем	2	3
58	о себе	2	3
59	человека в	1	3
60	он был	3	3
61	эти слова	1	3
62	чтобы он	1	3
63	том что	21	3
64	он не	4	3
65	и уже	1	3
66	в конце	4	3
67	и о	3	3
68	одним из	3	3
69	в своем	2	3
70	на то	2	3
71	с его	3	3
72	и его	9	3
73	к этому	2	3
74	и во	3	3
75	в той	8	2
76	таким образом	5	2
77	начиная с	1	2
78	и то	4	2
79	ответ на	3	2
80	и он	1	2
81	от сознания	1	2
82	время и	1	2
83	его с	1	2
84	к себе	1	2
85	и далее	1	2
86	с точки	6	2
87	для него	5	2
88	его и	3	2
89	о чем	3	2
90	как раз	5	2
91	нашего времени	3	2
92	же не	3	2
93	в них	1	2
94	а также	8	2
95	же в	1	2
96	отношения к	4	2
97	его на	1	2
98	в мире	14	2
99	в в	1	2
100	их в	1	2
101	в своей	7	2
102	вместе с	6	2
103	что ж	1	2
104	в известном	2	2
105	не менее	5	2
106	в эту	3	2
107	и стал	2	2
108	на первый	1	2
109	еще не	5	2
110	сказал он	1	2
111	но как	1	2
112	а с	3	2
113	это в	1	2
114	в свою	1	2
115	на основе	3	2
116	и т.п	13	2
117	личность и	1	2
118	в этой	12	2
119	человека с	1	2
120	при помощи	2	2
121	тогда как	30	2
122	а в	11	2
123	на это	2	2
124	к ним	1	2
125	отношение к	2	2
126	уже не	6	2
127	из них	2	2
128	в себе	17	2
129	что я	1	2
130	в глазах	1	2
131	не может	26	2
132	место в	3	2
133	столь же	7	2
134	том же	2	2
135	точки зрения	10	2
136	тем более	2	2
137	одна из	1	2
138	время он	1	2
139	он сам	1	2
140	на место	3	2
141	довольно много	1	2
142	отнюдь не	22	2
143	эту сцену	1	2
144	но это	1	2
145	во время	1	2
146	не мог	3	2
147	в него	1	2
148	и ее	1	2
149	а н	1	2
150	никогда не	4	2
151	могли быть	1	2
152	в особенности	1	1
153	своего рода	12	1
154	в самом	12	1
155	эпизод не	1	1
156	во всем	1	1
157	то в	2	1
158	как к	2	1
159	связан с	1	1
160	именно к	1	1
161	так и	16	1
162	в свое	3	1
163	попадает в	2	1
164	в литературе	4	1
165	все что	3	1
166	для всех	1	1
167	и пошел	2	1
168	до сих	1	1
169	в душе	1	1
170	один из	4	1
171	его биографической	1	1
172	еще раз	1	1
173	короче говоря	1	1
174	ему в	3	1
175	этого в	1	1
176	из которых	4	1
177	приближается к	1	1
178	у друга	1	1
179	для русской	1	1
180	они не	1	1
181	с героем	1	1
182	ни с	5	1
183	только что	1	1
184	ее уже	1	1
185	не слишком	1	1
186	этот процесс	1	1
187	если в	3	1
188	рассказ о	3	1
189	за которую	1	1
190	к этой	1	1
191	н и	1	1
192	и уж	1	1
193	второй половине	1	1
194	об одном	1	1
195	собой в	2	1
196	сколько в	1	1
197	в литературной	1	1
198	героя в	2	1
199	выступают как	1	1
200	он всегда	1	1
201	он как	1	1
202	или по	1	1
203	еще более	1	1
204	второй раз	1	1
205	однако некоторые	1	1
206	от которого	4	1
207	что это	1	1
208	хотя и	4	1
209	от нас	1	1
210	и романа	2	1
211	одному из	2	1
212	и был	1	1
213	он и	3	1
214	романа в	4	1
215	в ее	2	1
216	целого ряда	1	1
217	только не	6	1
218	того что	5	1
219	говорит о	5	1
220	знаю что	2	1
221	в качестве	38	1
222	восходящая к	3	1
223	сама жизнь	1	1
224	не являются	2	1
225	прежде всего	8	1
226	и другими	2	1
227	романа однако	1	1
228	ее и	1	1
229	это слово	1	1
230	другой стороны	2	1
231	иными словами	1	1
232	быть может	2	1
233	нет ничего	2	1
234	себе не	2	1
235	уже говорилось	5	1
236	в этих	3	1
237	но на	1	1
238	третий раз	1	1
239	в их	8	1
240	все равно	2	1
241	мы находим	1	1
242	на мое	1	1
243	тому же	6	1
244	литературу как	1	1
245	они выступают	1	1
246	первая часть	1	1
247	этот персонаж	1	1
248	ко всем	2	1
249	а между	1	1
250	он уже	1	1
251	что ни	2	1
252	в разные	1	1
253	в н	1	1
254	а о	1	1
255	самим собой	3	1
256	этого не	1	1
257	и сам	4	1
258	как по	1	1
259	в одном	3	1
260	их и	1	1
261	равно как	1	1
262	следует рассматривать	1	1
263	в будущее	1	1
264	что о	1	1
265	еще в	4	1
266	о своей	2	1
267	но не	13	1
268	аналогичному эпизоду	1	1
269	в ту	1	1
270	в глубине	2	1
271	в составе	2	1
272	именно в	6	1
273	о смерти	1	1
274	жизни и	1	1
275	в третий	1	1
276	героя другого	1	1
277	в таком	5	1
278	в процессе	2	1
279	нам не	2	1
280	внимание в	2	1
281	в жизни	1	1
282	и эстетический	1	1
283	человек и	2	1
284	как говорит	3	1
285	но ведь	1	1
286	впервые на	1	1
287	полемично по	1	1
288	страстью к	1	1
289	как о	2	1
290	похож на	1	1
291	имеет никаких	1	1
292	я всегда	3	1
293	в соответствии	2	1
294	поскольку сам	1	1
295	этот раз	1	1
296	человек в	3	1
297	себя как	1	1
298	не есть	8	1
299	а их	1	1
300	нам уже	1	1
301	между прочим	1	1
302	одном из	1	1
303	меня я	1	1
304	молодого человека	1	1
305	как в	3	1
306	внимание к	1	1
307	роль в	3	1
308	слова часто	2	1
309	ли не	1	1
310	по своему	1	1
311	в авторском	1	1
312	как нам	1	1
313	начале х	2	1
314	по преимуществу	4	1
315	что никто	1	1
316	эту сторону	1	1
317	сразу же	1	1
318	никто не	3	1
319	отличается от	3	1
320	да и	2	1
321	его жизни	1	1
322	по его	2	1
323	прочим и	1	1
324	который не	2	1
325	ли он	3	1
326	служит для	2	1
327	ему и	1	1
328	о котором	1	1
329	том как	1	1
330	это было	1	1
331	в итоге	1	1
332	пока не	1	1
333	к своим	1	1
334	в сторону	6	1
335	не имеет	1	1
336	но мы	2	1
337	полагает что	1	1
338	тем не	3	1
339	что тот	1	1
340	раз и	2	1
341	и сомнения	1	1
342	что как	3	1
343	сих пор	1	1
344	встрече с	4	1
345	не был	2	1
346	которой был	1	1
347	жизнь и	1	1
348	первый взгляд	1	1
349	еще один	1	1
350	во всех	5	1
351	человека к	4	1
352	во всяком	1	1
353	было не	1	1
354	то он	3	1
355	во все	1	1
356	того в	1	1
357	в полной	3	1
358	его судьбу	1	1
359	не учитывать	1	1
360	и ушел	1	1
361	было в	1	1
362	что этот	1	1
363	человека он	1	1
364	которой он	1	1
365	имеется в	1	1
366	это как	2	1
367	за мною	2	1
368	совпадает с	6	1
369	упоминание о	1	1
370	на той	1	1
371	но при	2	1
372	и всего	2	1
373	существенно что	2	1
374	говорить не	1	1
375	потому что	3	1
376	не знаю	2	1
377	при участии	1	1
378	также и	3	1
379	одну из	2	1
380	героя нашего	2	1
381	и речи	1	1
382	нельзя не	1	1
383	анализу в	1	1
384	человека как	1	1
385	реванш за	1	1
386	не всегда	4	1
387	в рассказе	2	1
388	больше не	1	1
389	тех пор	1	1
390	в ответ	2	1
391	какую-то таинственную	1	1
392	но искусство	1	1
393	быть и	1	1
394	во второй	3	1
395	в частности	32	1
396	не будет	3	1
397	традиционного для	1	1
398	характерно для	1	1
399	целым рядом	1	1
400	и их	2	1
401	говорить о	3	1
402	не с	8	1
403	одно и	2	1
404	отношении к	1	1
405	не об	1	1
406	всех этих	2	1
407	хотя в	1	1
408	как он	4	1
409	и выражение	1	1
410	говорит я	1	1
411	это была	2	1
412	е годы	1	1
413	вслед за	3	1
414	встреча с	2	1
415	себя на	1	1
416	б в	1	1
417	этот факт	1	1
418	этом смысле	3	1
419	тем самым	9	1
420	проникнуть в	1	1
421	что ее	1	1
422	ему было	1	1
423	по своей	6	1
424	стал смотреть	2	1
425	в обоих	3	1
426	что из	2	1
427	человека и	1	1
428	в каком	1	1
429	каждый из	3	1
430	а от	1	1
431	свою очередь	1	1
432	и т.д	4	1
433	идет о	1	1
434	как известно	4	1
435	с другой	7	1
436	было бы	4	1
437	а тем	1	1
438	имело бы	1	1
439	которого у	1	1
440	что же	3	1
441	в эпизоде	5	1
442	как на	1	1
443	текста к	2	1
444	соответствии с	3	1
445	себя в	8	1
446	последнего в	1	1
447	известном смысле	2	1
448	я с	1	1
449	которых он	1	1
450	привлекает внимание	1	1
451	однако в	4	1
452	что для	1	1
453	по которой	1	1
454	а вот	1	1
455	ключ к	2	1
456	той же	4	1
457	ее участников	1	1
458	заключается в	2	1
459	с пушкиным	1	1
460	говорилось выше	1	1
461	как правило	7	1
462	могут быть	12	1
463	такая же	1	1
464	из первых	1	1
465	в первой	2	1
466	и от	1	1
467	и есть	3	1
468	во всей	1	1
469	слово за	1	1
470	в силу	4	1
471	на этот	2	1
472	никому не	1	1
473	по крайней	4	1
474	такой же	3	1
475	но я	1	1
476	однажды в	1	1
477	из этого	2	1
478	ли эта	1	1
479	не все	3	1
480	от них	1	1
481	этом отношении	5	1
482	хотя он	1	1
483	тут же	2	1
484	не имело	1	1
485	печорина из	2	1
486	всяком случае	1	1
487	в окно	2	1
488	независимо от	2	1
489	момент его	1	1
490	друг друга	1	1
491	событий и	2	1
492	эпизода с	2	1
493	с ее	2	1
494	всего романа	1	1
495	из него	1	1
496	бы в	3	1
497	не просто	2	1
498	того же	7	1
499	себе знать	1	1
500	глубине души	1	1
501	в целом	9	1
502	крайней мере	4	1
503	друг у	1	1
504	не должна	1	1
505	едва ли	4	1
506	одного и	2	1
507	и наконец	2	1
508	ничего не	10	1
509	вплоть до	2	1
510	в е	1	1
511	органическое единство	1	1
512	постановки вопроса	1	1
513	человека но	1	1
514	к нему	4	1
515	более того	4	1
