N	3gram	Tiupa_Vved	Istorich
1	в этих случаях	2	47
2	с другой стороны	2	46
3	в этом случае	1	29
4	с одной стороны	9	28
5	так же как	1	27
6	в том что	10	25
7	не может быть	6	24
8	тем не менее	3	23
9	о том что	6	22
10	не только в	3	19
11	здесь мы имеем	1	17
12	в связи с	1	17
13	о том как	1	15
14	в данном случае	15	15
15	по отношению к	11	14
16	на то что	2	14
17	мы увидим ниже	1	13
18	но и в	3	12
19	как мы видели	3	12
20	не что иное	1	11
21	что иное как	1	11
22	как и в	2	10
23	можно было бы	2	10
24	как мы увидим	1	9
25	более или менее	2	9
26	же как и	1	9
27	то же самое	2	8
28	с того что	2	8
29	подобно тому как	3	8
30	в зависимости от	1	8
31	начинается с того	2	7
32	во всяком случае	3	7
33	если бы мы	1	7
34	на первый взгляд	3	7
35	к тому же	6	6
36	но это не	1	6
37	все же не	1	6
38	с самого начала	1	6
39	мы не можем	1	6
40	то что он	1	5
41	для того чтобы	1	5
42	в отличие от	11	5
43	в том чтобы	2	5
44	в том числе	1	5
45	на самом деле	4	5
46	к себе в	1	4
47	состоит в том	2	4
48	не означает что	1	4
49	содержит в себе	1	4
50	мы должны были	1	4
51	он не может	1	4
52	друг на друга	2	4
53	иметь в виду	1	4
54	сами по себе	1	4
55	можно сказать что	1	4
56	но не всегда	1	4
57	ничего не говорится	1	4
58	это и есть	1	4
59	одной стороны и	3	3
60	все то что	1	3
61	как будто бы	3	3
62	в этом направлении	2	3
63	не превращается в	1	3
64	и то же	1	3
65	не только с	1	3
66	в обоих случаях	1	3
67	и тем самым	2	3
68	к тому что	1	3
69	это своего рода	3	3
70	в одном из	1	3
71	это не так	1	3
72	один и тот	1	3
73	если бы она	1	3
74	дело в том	1	3
75	она может быть	1	3
76	в другом случае	1	3
77	потому что я	1	3
78	и тот же	1	3
79	по сравнению с	1	3
80	дело не только	1	3
81	в ответ на	1	3
82	не в том	3	3
83	само по себе	1	3
84	в соответствии с	8	3
85	не могло быть	1	3
86	все тех же	1	3
87	жизнью и смертью	1	3
88	но и здесь	1	3
89	в том смысле	1	3
90	каждый из этих	1	3
91	внимание на то	1	3
92	при встрече с	1	3
93	но и по	1	2
94	в том как	2	2
95	бы мы ни	1	2
96	в самом деле	2	2
97	и тем более	1	2
98	друг от друга	2	2
99	в частности в	2	2
100	в таком случае	1	2
101	другой стороны эта	1	2
102	том числе и	1	2
103	а в том	3	2
104	как если бы	1	2
105	означало бы что	1	2
106	что это не	1	2
107	это означало бы	1	2
108	а не с	1	2
109	из того что	1	2
110	а не только	1	2
111	и для нас	2	2
112	мы имеем дело	5	2
113	же не может	1	2
114	то что и	1	2
115	говорят о том	1	2
116	на нее и	1	2
117	непосредственной связи с	1	2
118	но в целом	1	2
119	к тому чтобы	1	2
120	и даже в	1	2
121	в этом и	1	2
122	том что и	1	2
123	вместо того чтобы	1	2
124	у него нет	1	2
125	не говорится но	1	2
126	смерть и воскресение	1	2
127	может быть только	1	2
128	лет тому назад	1	2
129	и прежде всего	1	2
130	что они не	1	2
131	из них не	1	2
132	при этом он	1	2
133	а не в	1	2
134	на то чтобы	1	2
135	при всей своей	3	2
136	и не может	1	2
137	восходит к обряду	1	2
138	в свою очередь	5	2
139	большей или меньшей	1	2
140	далее мы видим	1	2
141	и не могло	1	2
142	здесь как и	1	2
143	одна из них	1	2
144	имеются и в	1	2
145	и той же	1	2
146	прямо не говорится	1	2
147	ничего не говорит	1	2
148	хотя и не	2	2
149	одна из этих	1	2
150	тем что они	1	2
151	другой стороны в	1	2
152	одно и то	1	2
153	объясняется тем что	1	2
154	одной и той	1	2
155	только потому что	1	2
156	иначе обстоит дело	1	2
157	в общих чертах	1	2
158	тогда как в	2	2
159	имеем дело с	4	2
160	не само по	1	1
161	через смерть в	1	1
162	это не вполне	1	1
163	а исключительно в	1	1
164	но забота о	1	1
165	а не как	1	1
166	и в другом	1	1
167	здесь как будто	1	1
168	с большей или	1	1
169	и по своим	1	1
170	свидетельствует о том	1	1
171	необходимо отличать от	1	1
172	но и с	1	1
173	о ней при	1	1
174	в котором дети	1	1
175	о рыбаке и	1	1
176	но при этом	3	1
177	одно без другого	1	1
178	речь идет о	3	1
179	в том значении	1	1
180	здесь не в	1	1
181	и др а	1	1
182	совсем не в	1	1
183	по аналогии с	2	1
