N	4gram	Nazirov_Vr	Tvorches
1	в то же время	4	24
2	в преступлении и наказании	1	16
3	и в то же	1	6
4	но в то же	2	6
5	и не может быть	1	3
6	в зимних заметках о	1	2
7	заключается в том что	1	2
8	заметках о летних впечатлениях	1	2
9	зимних заметках о летних	1	2
10	для начала дать лишь	1	1
11	достоевский признавал этот роман	1	1
12	нас испанцев настоящий юмор	1	1
13	потерпело неудачу наше чувство	1	1
14	грустной из книг такое	1	1
15	считает односторонним интересно в	1	1
16	души любил и что	1	1
17	самой сложности понятия юмор	1	1
18	тем что он сам	1	1
19	романа идиот и их	1	1
20	в конце х годов	1	1
21	самом потерпело неудачу наше	1	1
22	не с точки зрения	1	1
23	испанского писателя для нас	1	1
24	а с другой стороны	1	1
25	от апреля года достоевский	1	1
26	роман величайшей книгой в	1	1
27	истории человечества и в	1	1
28	он сам в глубине	1	1
29	и сам достоевский в	1	1
30	достоевского не стоит преувеличивать	1	1
31	рассматривать в связи с	1	1
32	и что в нем	1	1
33	кихота сервантеса достоевский признавал	1	1
34	и начинается с дон	1	1
35	так же быть может	1	1
36	в этот период достоевский	1	1
37	с дон кихота сервантеса	1	1
38	что в нем самом	1	1
39	дон кихота сервантеса достоевский	1	1
40	сравнивал достоевского с маркизом	1	1
41	признавал этот роман величайшей	1	1
42	может как и у	1	1
43	достоевского с маркизом де	1	1
44	идиот и их прототипы	1	1
45	же быть может как	1	1
46	дать лишь характеристику самой	1	1
47	как и у чехова	1	1
48	романтизма и считает односторонним	1	1
49	современного испанского писателя для	1	1
50	и считает односторонним интересно	1	1
51	специальных обзоров попытаемся для	1	1
52	достоевского не подменяя специальных	1	1
53	чувство юмора так же	1	1
54	не подменяя специальных обзоров	1	1
55	в глубине души любил	1	1
56	юмора так же быть	1	1
57	в войне и мире	1	1
58	что он сам в	1	1
59	а с точки зрения	1	1
60	мнение современного испанского писателя	1	1
61	человечества и в то	1	1
62	то же время самой	1	1
63	попытаемся для начала дать	1	1
64	величайшей книгой в истории	1	1
65	сам в глубине души	1	1
66	любил и что в	1	1
67	в истории человечества и	1	1
68	от архаического смеха и	1	1
69	неудачу наше чувство юмора	1	1
70	герои романа идиот и	1	1
71	смеха и начинается с	1	1
72	эпохой романтизма и считает	1	1
73	смеявшегося над тем что	1	1
74	в нем самом потерпело	1	1
75	книгой в истории человечества	1	1
76	юмор сервантеса смеявшегося над	1	1
77	писателя для нас испанцев	1	1
78	обзоров попытаемся для начала	1	1
79	книг такое понимание юмора	1	1
80	подменяя специальных обзоров попытаемся	1	1
81	начала дать лишь характеристику	1	1
82	же время самой грустной	1	1
83	следует рассматривать в связи	1	1
84	юмор достоевского не подменяя	1	1
85	этот роман величайшей книгой	1	1
86	в страшной мести гоголя	1	1
87	время самой грустной из	1	1
88	во всяком случае о	1	1
89	отличается от архаического смеха	1	1
90	над тем что он	1	1
91	характеристику самой сложности понятия	1	1
92	это юмор сервантеса смеявшегося	1	1
93	но нас интересует другое	1	1
94	нас интересует другое достоевский	1	1
95	нем самом потерпело неудачу	1	1
96	из книг такое понимание	1	1
97	самой грустной из книг	1	1
98	с маркизом де садом	1	1
99	быть может как и	1	1
100	начинается с дон кихота	1	1
101	для нас испанцев настоящий	1	1
102	наше чувство юмора так	1	1
103	архаического смеха и начинается	1	1
104	сервантеса достоевский признавал этот	1	1
105	сервантеса смеявшегося над тем	1	1
106	глубине души любил и	1	1
107	лишь характеристику самой сложности	1	1
