N	4gram	Losev_Prob	OGranits
1	не чем иным как	2	2
2	не что иное как	6	2
3	одно и то же	3	2
4	есть не что иное	6	2
5	и есть не что	1	1
6	с этой точки зрения	1	1
7	в узком смысле слова	1	1
8	является не чем иным	1	1
9	углубляться в этот вопрос	1	1
10	только в связи с	2	1
11	в тех случаях когда	1	1
12	ничего общего не имеет	1	1
13	может быть и речи	1	1
14	не может быть и	1	1
15	в эстетике и в	1	1
16	а вовсе не на	1	1
17	в собственном смысле слова	1	1
18	один и тот же	1	1
19	само собой разумеется что	1	1
